window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,0,3072,3071,4710.150721461803,1.5337514560279397,evo21,3072
1,3072,6144,3072,6144,3071,3154.553778058267,1.0272073520215783,evo21,3072
2,6144,9216,6144,9216,3071,4257.646851230762,1.386404054454823,evo21,3072
3,9216,12288,9216,12288,3071,3364.3995810822817,1.0955387759955328,evo21,3072
4,12288,15360,12288,15360,3071,3979.885809318279,1.2959576064208007,evo21,3072
5,15360,18432,15360,18432,3071,4258.878780548403,1.3868052036953444,evo21,3072
6,18432,21504,18432,21504,3071,3339.4473739109235,1.087413667831626,evo21,3072
7,21504,24576,21504,24576,3071,4088.7604394208174,1.3314101072682571,evo21,3072
8,24576,27648,24576,27648,3071,3928.0193725400604,1.2790685029436861,evo21,3072
9,27648,30720,27648,30720,3071,3984.738122970157,1.2975376499414382,evo21,3072
10,30720,33792,30720,33792,3071,4473.6582828336395,1.4567431725280493,evo21,3072
11,33792,36864,33792,36864,3071,5378.231245949166,1.75129640050445,evo21,3072
12,36864,39936,36864,39936,3071,4350.156659558939,1.4165277302373622,evo21,3072
13,39936,43008,39936,43008,3071,5327.794600113877,1.7348728753220048,evo21,3072
14,43008,46080,43008,46080,961,1204.0981695292285,1.2529637560137654,evo21,3072
