window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.937046528,1.749901930,1.869982600
1,0.004608000,1.920481602,1.602780580,1.860990047
2,0.007680000,1.928111970,1.749611376,1.877281864
3,0.010752000,1.887666384,1.663795205,1.853488048
4,0.013824000,1.911646048,1.776557803,1.890146971
5,0.016896000,1.901806990,1.734848917,1.882541895
6,0.019968000,1.879748782,1.677183928,1.863017559
7,0.023040000,1.903536956,1.794245791,1.885588725
8,0.026112000,1.868958871,1.610139748,1.853037357
9,0.029184000,1.857118130,1.708657056,1.849007130
10,0.032256000,1.931750615,1.829780022,1.903930942
11,0.035328000,1.861463785,1.640606554,1.848619501
12,0.038400000,1.830601692,1.686802785,1.841109196
13,0.041472000,1.836961587,1.493968311,1.818433464
14,0.044544000,1.872335990,1.666873703,1.872157335
15,0.047616000,1.922342062,1.797621917,1.916813533
16,0.050688000,1.849157572,1.742505029,1.843738953
17,0.053760000,1.845537345,1.768635154,1.844896535
18,0.056832000,1.847809156,1.706776910,1.837857803
19,0.059904000,1.888063908,1.462905523,1.883209467
20,0.062976000,1.840469996,1.615516325,1.849554857
21,0.066048000,1.828145504,1.669989320,1.808310111
22,0.069120000,1.839123726,1.731703440,1.816919143
23,0.072192000,1.851816416,1.561710398,1.859774272
24,0.075264000,1.857087135,1.745818046,1.858753681
25,0.078336000,1.836976528,1.718301713,1.851556540
26,0.081408000,1.792551299,1.453444137,1.809678008
27,0.084480000,1.837121884,1.604515761,1.838453313
28,0.087552000,1.868084987,1.611148874,1.866807381
29,0.090624000,1.830379168,1.735561093,1.805880507
30,0.093696000,1.832803965,1.702656845,1.850781282
31,0.096768000,1.845136484,1.674430993,1.858941396
32,0.099840000,1.837107579,1.749139490,1.858722130
33,0.102912000,1.851418972,1.657235182,1.860683600
34,0.105984000,1.802512248,1.513821603,1.824713469
35,0.109056000,1.847608924,1.662981063,1.855824232
36,0.112128000,1.839682261,1.695403457,1.856660525
37,0.115200000,1.868530989,1.725838463,1.870259841
38,0.118272000,1.843206167,1.691879087,1.856050452
39,0.121344000,1.811874866,1.632668590,1.835803946
40,0.124416000,1.795860211,1.631169468,1.815497955
41,0.127488000,1.827266534,1.705013512,1.849743843
42,0.130560000,1.800271273,1.630750520,1.823974689
43,0.133632000,1.784466267,1.646257063,1.814928532
