window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,7776439,7779511,3072,5791.478276823659,1.885246834903535,megabyte1,3072
1,3072,6144,7779511,7782583,3072,5756.398313146205,1.8738275758939469,megabyte1,3072
2,6144,9216,7782583,7785655,3072,5812.737290500632,1.892167086751508,megabyte1,3072
3,9216,12288,7785655,7788727,3072,5787.371734447673,1.8839100698071851,megabyte1,3072
4,12288,15360,7788727,7791799,3072,5810.452450047376,1.8914233235831304,megabyte1,3072
5,15360,18432,7791799,7794871,3072,5752.96457059372,1.8727098211568098,megabyte1,3072
6,18432,21504,7794871,7797943,3072,5733.601253482328,1.866406658034612,megabyte1,3072
7,21504,24576,7797943,7801015,3072,5811.95624709762,1.8919128408520898,megabyte1,3072
8,24576,27648,7801015,7804087,3072,5886.669802374552,1.9162336596271328,megabyte1,3072
9,27648,30720,7804087,7807159,3072,5840.597309456157,1.9012361033385927,megabyte1,3072
10,30720,33792,7807159,7810231,3072,5857.683597421648,1.9067980460356928,megabyte1,3072
11,33792,36864,7810231,7813303,3072,5731.762676363791,1.865808162878838,megabyte1,3072
12,36864,39936,7813303,7816375,3072,5844.538906989011,1.902519175452152,megabyte1,3072
13,39936,43008,7816375,7819447,3072,5794.321014998695,1.886172205403221,megabyte1,3072
14,43008,46080,7819447,7822519,3072,5818.855890767903,1.8941588186093432,megabyte1,3072
15,46080,49152,7822519,7825591,3072,5813.138827321458,1.892297795352037,megabyte1,3072
