window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,144627355,144630427,3072,5818.821792602539,1.894147718946139,megabyte1,3072
1,3072,6144,144630427,144633499,3072,5798.208953857422,1.8874378105004628,megabyte1,3072
2,6144,9216,144633499,144636571,3072,4970.997451782227,1.6181632330020268,megabyte1,3072
3,9216,12288,144636571,144639643,3072,4469.006477355957,1.4547547126809757,megabyte1,3072
4,12288,15360,144639643,144642715,3072,5652.412109375,1.8399779001871746,megabyte1,3072
5,15360,18432,144642715,144645787,3072,5671.66357421875,1.8462446530659993,megabyte1,3072
6,18432,21504,144645787,144648859,3072,5553.504745483398,1.807781492670377,megabyte1,3072
7,21504,24576,144648859,144651931,3072,5314.082046508789,1.7298444161812465,megabyte1,3072
8,24576,27648,144651931,144655003,3072,4356.819225311279,1.4182354249060154,megabyte1,3072
9,27648,30720,144655003,144658075,3072,5670.84033203125,1.8459766705830891,megabyte1,3072
10,30720,33792,144658075,144661147,3072,4854.490608215332,1.580237828195095,megabyte1,3072
11,33792,36864,144661147,144664219,3072,5350.591552734375,1.7417290210723877,megabyte1,3072
12,36864,39936,144664219,144667291,3072,5392.512855529785,1.7553752784927685,megabyte1,3072
13,39936,43008,144667291,144670363,3072,4741.001373291016,1.543294717868169,megabyte1,3072
14,43008,46080,144670363,144673435,3072,5360.858688354492,1.7450711876153946,megabyte1,3072
15,46080,49152,144673435,144676507,3072,4512.768062591553,1.4690000203748543,megabyte1,3072
16,49152,52224,144676507,144679579,848,858.8648223876953,1.0128122905515275,megabyte1,3072
0,0,3072,144627355,144630427,3072,2333.379535675049,0.7595636509358883,geco22,3072
1,3072,6144,144630427,144633499,3072,3516.264205932617,1.1446172545353572,geco22,3072
2,6144,9216,144633499,144636571,3072,5169.349319458008,1.6827308982610703,geco22,3072
3,9216,12288,144636571,144639643,3072,4442.363052368164,1.4460817227760951,geco22,3072
4,12288,15360,144639643,144642715,3072,5736.897705078125,1.867479721705119,geco22,3072
5,15360,18432,144642715,144645787,3072,5795.838684082031,1.8866662383079529,geco22,3072
6,18432,21504,144645787,144648859,3072,5033.5718994140625,1.6385325193405151,geco22,3072
7,21504,24576,144648859,144651931,3072,4972.721878051758,1.6187245696783066,geco22,3072
8,24576,27648,144651931,144655003,3072,4034.6170349121094,1.3133518993854523,geco22,3072
9,27648,30720,144655003,144658075,3072,5808.111572265625,1.890661319096883,geco22,3072
10,30720,33792,144658075,144661147,3072,5042.281440734863,1.6413676564892132,geco22,3072
11,33792,36864,144661147,144664219,3072,5580.633850097656,1.8166125814119976,geco22,3072
12,36864,39936,144664219,144667291,3072,5513.072189331055,1.7946198532978694,geco22,3072
13,39936,43008,144667291,144670363,3072,5202.646667480469,1.6935698787371318,geco22,3072
14,43008,46080,144670363,144673435,3072,5507.942474365234,1.792950024207433,geco22,3072
15,46080,49152,144673435,144676507,3072,4363.317321777344,1.420350690682729,geco22,3072
16,49152,52224,144676507,144679579,848,954.0107498168945,1.1250126766708661,geco22,3072
