split,species,source_name,sample_bytes,sample_bases,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_bpb,experiment_baseline_percent
full,OrSa,OrSa,43262523,43262523,8646543,10,1.5988975955008449,79.94487977504224
full,HoSa,HoSa,189752667,189752667,38845642,12,1.6377379085796986,81.88689542898493
full,DaRe,DaRe,62565020,62565020,11488819,10,1.469040559724907,73.45202798624535
full,ScPo,ScPo,10652155,10652155,2518963,8,1.8917959793112287,94.58979896556143
full,EsCo,EsCo,4641652,4641652,1098552,6,1.893381063466197,94.66905317330985
full,YeMi,YeMi,73689,73689,16798,3,1.8236643189621247,91.18321594810624
full,BuEb,BuEb,18940,18940,4686,1,1.9793030623020063,98.9651531151003
full,AgPh,AgPh,43970,43970,10708,2,1.94823743461451,97.4118717307255
full,GaGa,GaGa,148532294,148532294,33877671,11,1.8246629113531365,91.23314556765682
full,DrMe,DrMe,32181429,32181429,7481093,10,1.8597292245785606,92.98646122892804
full,EnIn,EnIn,26403087,26403087,5170889,9,1.5667528573458096,78.33764286729048
full,PlFa,PlFa,8986712,8986712,1925726,7,1.7142874946921633,85.71437473460817
full,HePy,HePy,1667825,1667825,375481,4,1.801057065339589,90.05285326697945
full,AeCa,AeCa,1591049,1591049,380115,5,1.9112673462602345,95.56336731301172
full,HaHi,HaHi,3890005,3890005,902831,5,1.8567194643708684,92.83597321854342
full,AnCa,AnCa,142189675,142189675,29481172,5,1.6586955135807153,82.93477567903577
full,WaMe,WaMe,9144432,9144432,2217655,5,1.9401139403737706,97.00569701868854
