record_index	seqid	official_length	official_acgt_length	local_acgt_start_0based	local_acgt_end_0based_exclusive
0	NC_004325.2	640851	640851	0	640851
1	NC_037280.1	947102	947102	640851	1587953
2	NC_000521.4	1067971	1067971	1587953	2655924
3	NC_004318.2	1200490	1200490	2655924	3856414
4	NC_004326.2	1343557	1343557	3856414	5199971
5	NC_004327.3	1418242	1418242	5199971	6618213
6	NC_004328.3	1445207	1445207	6618213	8063420
7	NC_004329.3	1472805	1472805	8063420	9536225
8	NC_004330.2	1541735	1541735	9536225	11077960
9	NC_037281.1	1687656	1687656	11077960	12765616
10	NC_037282.1	2038340	2038340	12765616	14803956
11	NC_037284.1	2271494	2271494	14803956	17075450
12	NC_004331.3	2925236	2925236	17075450	20000686
13	NC_037283.1	3291936	3291936	20000686	23292622
14	NC_036769.1	34250	34250	23292622	23326872
