window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,5.676813000,1.945363084,1.934783777,1.936283767
1,5.679885000,1.774928654,1.916653534,1.810424959
2,5.682957000,1.820162972,1.921039442,1.864195615
3,5.686029000,1.767543311,1.881122231,1.751379810
4,5.689101000,1.828475197,1.826332053,1.835113272
5,5.692173000,1.916566173,1.880882412,1.911619107
6,5.695245000,1.791010827,1.874125441,1.741592626
7,5.698317000,1.773295229,1.836515903,1.805300444
8,5.701389000,1.862506126,1.848294397,1.860575338
9,5.704461000,1.915432801,1.929269264,1.952734828
10,5.707533000,1.885096212,1.886520147,1.857191284
11,5.710605000,1.845748832,1.896825969,1.814930290
12,5.713677000,1.862636556,1.901246309,1.872271513
13,5.716749000,1.727187224,1.924558242,1.779603443
14,5.719821000,1.952896913,1.886711121,1.953130563
15,5.722893000,1.878429770,1.926710924,1.865703583
16,5.725965000,1.966074944,1.925880233,1.971892913
17,5.729037000,1.902209282,1.846000622,1.957519452
18,5.732109000,1.964603861,1.829053665,1.966837962
19,5.735181000,1.840613465,1.764905150,1.702064614
20,5.738253000,1.972886721,1.576689459,1.977637291
21,5.741325000,1.695746491,1.918467323,1.815334121
22,5.744397000,1.867665256,1.917585691,1.835769281
23,5.747469000,1.785931577,1.863410354,1.788181663
24,5.750541000,1.643496667,1.909079075,1.668125031
25,5.753613000,1.538589130,1.907945871,1.540752098
26,5.756685000,1.963149389,1.932058652,1.959462216
27,5.759757000,1.914436022,1.904114525,1.943089624
28,5.762829000,1.949260632,1.875812968,1.950445334
29,5.765901000,1.970199267,1.737901234,1.967680852
30,5.768973000,1.918213149,1.891207774,1.961361408
31,5.772045000,1.757212525,1.832562079,1.626345824
32,5.775117000,1.965629419,1.928861062,1.884730657
33,5.778189000,1.796684682,1.842516422,1.802576164
34,5.781261000,1.812268424,1.924977859,1.831833919
35,5.784333000,1.529060254,1.862358888,1.649333028
36,5.787405000,1.845997264,1.901307960,1.895868818
37,5.790477000,1.964475314,1.880407214,1.958458046
