window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.867720624,1.540586821,1.774103527
1,0.004608000,1.931192279,1.609194650,1.741009514
2,0.007680000,1.920814077,1.391985597,1.826470176
3,0.010752000,1.909373045,1.683063669,1.871002197
4,0.013824000,1.870583216,1.784744461,1.840438207
5,0.016896000,1.892168204,1.805627310,1.871679227
6,0.019968000,1.882647196,1.767890687,1.870727380
7,0.023040000,1.856980761,1.847236911,1.796434641
8,0.026112000,1.869005740,1.715981317,1.865933577
9,0.029184000,1.905292670,1.580366880,1.901523590
10,0.032256000,1.902838389,1.698570904,1.895281951
11,0.035328000,1.837686221,1.647898779,1.848674933
12,0.038400000,1.840642611,1.799181988,1.845058918
13,0.041472000,1.848323822,1.478112579,1.858085712
14,0.044544000,1.867663066,1.757863541,1.838615576
15,0.047616000,1.828357697,1.761831611,1.843679349
16,0.050688000,1.840023836,1.708752476,1.850181897
17,0.053760000,1.857403596,1.775239081,1.866964420
18,0.056832000,1.861826897,1.613240659,1.872904460
19,0.059904000,1.860758464,1.728913956,1.869642417
20,0.062976000,1.736301740,1.707809488,1.736045400
21,0.066048000,1.879045963,1.826937397,1.893139362
22,0.069120000,1.848790507,1.794092659,1.857842247
23,0.072192000,1.895597816,1.744144991,1.901241541
24,0.075264000,1.914083958,1.671021878,1.921576420
25,0.078336000,1.870677272,1.612194077,1.877416770
26,0.081408000,1.868560632,1.594213245,1.879387697
27,0.084480000,1.895420671,1.747545719,1.901565075
28,0.087552000,1.840324223,1.701801190,1.855941375
29,0.090624000,1.849736849,1.770725681,1.855761369
30,0.093696000,1.848773321,1.582833681,1.857623378
31,0.096768000,1.856616656,1.739449070,1.864771684
32,0.099840000,1.848678589,1.730178166,1.860602379
33,0.102912000,1.837371826,1.743334885,1.855341593
34,0.105984000,1.760279457,1.723296088,1.791222711
35,0.109056000,1.826995631,1.684135220,1.835145632
36,0.112128000,1.890163422,1.738783200,1.901214600
37,0.115200000,1.883854389,1.600121425,1.901544730
38,0.118272000,1.855872790,1.361578058,1.871769905
39,0.121344000,1.840163231,1.826490561,1.858103275
40,0.124416000,1.876094341,1.595013704,1.894437313
41,0.127488000,1.766314298,1.643255583,1.308497809
42,0.130560000,0.852631815,1.672234093,0.815107296
43,0.133632000,1.811343829,1.445536216,1.841796974
44,0.136704000,1.844521999,1.365052876,1.867631118
45,0.139776000,1.887378534,1.812940478,1.899416924
46,0.142848000,1.831507683,1.700275231,1.846764803
47,0.145920000,1.856415272,1.683536137,1.872178078
48,0.148992000,1.862298648,1.688145524,1.877889077
49,0.152064000,1.748114626,1.658192739,1.768305699
50,0.155136000,1.839402676,1.726809786,1.862864494
51,0.158208000,1.894305865,1.554599826,1.908095996
52,0.161280000,1.801163356,1.791477521,1.830458482
53,0.164352000,1.850285053,1.312686603,1.879638990
54,0.167424000,1.850950718,1.789979585,1.869942347
55,0.170496000,1.826834212,1.672054412,1.774047057
56,0.173568000,1.841357629,1.688058468,1.861391385
57,0.176640000,1.846441954,1.581319588,1.859648804
58,0.179712000,1.820604165,1.738087357,1.843646367
59,0.182784000,1.887521267,1.607973811,1.895451705
60,0.185856000,1.807763974,1.697250389,1.829487681
61,0.188928000,1.835848808,1.509554466,1.865168730
62,0.192000000,1.858768940,1.687495116,1.880939484
63,0.195072000,1.883136431,1.824911807,1.895778418
64,0.198144000,1.879814625,1.667817775,1.896285852
65,0.201216000,1.829252243,1.619443047,1.854158084
