species,source_name,total_size,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_bpb,paper_baseline_percent
OrSa,OrSa,43262523.0,8646543,10,1.5988975955008449,79.94487977504224
HoSa,HoSa,189752667.0,38845642,12,1.6377379085796986,81.88689542898493
DaRe,DaRe,62565020.0,11488819,10,1.469040559724907,73.45202798624535
ScPo,ScPo,10652155.0,2518963,8,1.8917959793112287,94.58979896556143
EsCo,EsCo,4641652.0,1098552,6,1.893381063466197,94.66905317330985
YeMi,YeMi,73689.0,16798,3,1.8236643189621247,91.18321594810624
BuEb,BuEb,18940.0,4686,1,1.9793030623020063,98.9651531151003
AgPh,AgPh,43970.0,10708,2,1.94823743461451,97.4118717307255
GaGa,GaGa,148532294.0,33877671,11,1.8246629113531365,91.23314556765682
DrMe,DrMe,32181429.0,7481093,10,1.8597292245785606,92.98646122892804
EnIn,EnIn,26403087.0,5170889,9,1.5667528573458096,78.33764286729048
PlFa,PlFa,8986712.0,1925726,7,1.7142874946921633,85.71437473460817
HePy,HePy,1667825.0,375481,4,1.801057065339589,90.05285326697945
AeCa,AeCa,1591049.0,380115,5,1.9112673462602345,95.56336731301172
HaHi,HaHi,3890005.0,902831,5,1.8567194643708684,92.83597321854342
