species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HePy,intergenic,128733,1228,0.07718499865095782,223933.5596723209,1.739519467986615,0.012535947510581118,7.524288582980867
HePy,cds,1526441,1183,0.9152147974937794,2765002.3935248307,1.8114046946621787,0.007481952756645326,8.752072486556415
HePy,rna,12676,46,0.007600203855262763,17660.630046356753,1.3932336735844708,0.030568068404197672,6.354363554055264
HePy,exon_non_cds,0,0,0.0,0.0,,,
HePy,intron,0,0,0.0,0.0,,,
HePy,gene_other,0,0,0.0,0.0,,,
HePy,repeat_mobile_existing,0,0,0.0,0.0,,,
ScPo,intergenic,1237740,4602,0.09830471347806435,2175468.0405723806,1.7576131017599663,0.0052708239125273,9.205606147597157
ScPo,cds,7188107,10215,0.5708992188057821,13695620.925070243,1.9053167857782645,0.0038574778567096314,9.370665393867654
ScPo,rna,2516991,8189,0.19990634469425458,4521351.433981389,1.7963319829039472,0.004497642480579245,9.218662300422604
ScPo,exon_non_cds,1362461,6680,0.10821039816927386,2546688.302146636,1.8691825323048776,0.006774022750826783,8.245134511783796
ScPo,intron,209346,2624,0.01662683483427768,387735.1845440874,1.8521260714037402,0.0060664399556717135,8.22525696862927
ScPo,gene_other,0,0,0.0,0.0,,,
ScPo,repeat_mobile_existing,76206,231,0.006052490018347449,77480.36061500825,1.0167225758471543,0.00414445173719843,9.460863202839233
PlFa,intergenic,9353538,5636,0.40097695053155863,12311470.662993966,1.3162367719032055,0.0016960575738423276,10.912559172696925
PlFa,cds,12205712,13684,0.5232468373813686,20531814.750702024,1.6821480590974147,0.0017621781119536897,11.0
PlFa,rna,114036,202,0.00488861086904408,149118.66451760512,1.3076455199902235,0.002269202938821913,8.705401265055636
PlFa,exon_non_cds,0,0,0.0,0.0,,,
PlFa,intron,1653586,8563,0.07088760121802871,2196230.8774548247,1.3281624768562534,0.00211487217088883,10.912537158749661
PlFa,gene_other,0,0,0.0,0.0,,,
PlFa,repeat_mobile_existing,0,0,0.0,0.0,,,
EnIn,intergenic,24399207,11981,0.602508958475832,29274436.091529477,1.1998109648206796,0.0017621781119536897,10.573757259245166
EnIn,cds,15562764,17411,0.384303667272677,26689076.973353874,1.714931677519101,0.0031733857986565714,10.415037499278844
EnIn,rna,0,0,0.0,0.0,,,
EnIn,exon_non_cds,0,0,0.0,0.0,,,
EnIn,intron,534036,5450,0.013187374251491017,840899.5477320559,1.5746121005551235,0.0032837012893246393,9.850274894442581
EnIn,gene_other,0,0,0.0,0.0,,,
EnIn,repeat_mobile_existing,0,0,0.0,0.0,,,
