window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,0,3072,3072,5744.3717041015625,1.8699126640955608,megabyte1,3072
1,3072,6144,3072,6144,3072,5720.2679443359375,1.862066388130188,megabyte1,3072
2,6144,9216,6144,9216,3072,5543.166442871094,1.8044161597887676,megabyte1,3072
3,9216,12288,9216,12288,3072,5567.388916015625,1.8123010794321697,megabyte1,3072
4,12288,15360,12288,15360,3072,5674.2078857421875,1.8470728794733684,megabyte1,3072
5,15360,18432,15360,18432,3072,5553.217178344727,1.8076878835757573,megabyte1,3072
6,18432,21504,18432,21504,3072,5437.559097290039,1.7700387686491013,megabyte1,3072
7,21504,24576,21504,24576,3072,5464.887798309326,1.778934830178817,megabyte1,3072
8,24576,27648,24576,27648,3072,5698.944722652435,1.8551252352384229,megabyte1,3072
9,27648,30720,27648,30720,3072,5583.8564453125,1.8176616032918294,megabyte1,3072
10,30720,33792,30720,33792,3072,5636.230712890625,1.8347105185190837,megabyte1,3072
11,33792,36864,33792,36864,3072,5817.363220214844,1.8936729232470195,megabyte1,3072
12,36864,39936,36864,39936,3072,5646.9173583984375,1.8381892442703247,megabyte1,3072
13,39936,43008,39936,43008,3072,5730.5367431640625,1.8654090960820515,megabyte1,3072
14,43008,46080,43008,46080,960,1590.3415126800537,1.656605742375056,megabyte1,3072
0,0,3072,0,3072,3072,6050.8662109375,1.969683011372884,geco22,3072
1,3072,6144,3072,6144,3072,5980.98046875,1.9469337463378906,geco22,3072
2,6144,9216,6144,9216,3072,5958.703125,1.9396820068359375,geco22,3072
3,9216,12288,9216,12288,3072,5900.037109375,1.920584996541341,geco22,3072
4,12288,15360,12288,15360,3072,5931.1015625,1.9306971232096355,geco22,3072
5,15360,18432,15360,18432,3072,5927.12060546875,1.9294012387593586,geco22,3072
6,18432,21504,18432,21504,3072,5920.3583984375,1.9271999994913738,geco22,3072
7,21504,24576,21504,24576,3072,5950.5849609375,1.9370393753051758,geco22,3072
8,24576,27648,24576,27648,3072,5955.1806640625,1.9385353724161785,geco22,3072
9,27648,30720,27648,30720,3072,5838.8651123046875,1.9006722370783489,geco22,3072
10,30720,33792,30720,33792,3072,6021.87158203125,1.9602446556091309,geco22,3072
11,33792,36864,33792,36864,3072,6010.6005859375,1.9565757115681965,geco22,3072
12,36864,39936,36864,39936,3072,5996.5986328125,1.9520177841186523,geco22,3072
13,39936,43008,39936,43008,3072,5990.3466796875,1.9499826431274414,geco22,3072
14,43008,46080,43008,46080,962,1792.1797180175781,1.8629726798519524,geco22,3072
