source,sample_bases,old_fused_arithmetic_bpb,new_fused_arithmetic_bpb,delta_bpb_new_minus_old,relative_change_percent,better,old_nc_prefix_level,new_nc_prefix_preset,new_nc_prefix_geco2_level,old_speed_bases_per_second,new_speed_bases_per_second,geco2_full_bpb
AeCa,1591049,1.7728731170441638,1.7554305367088003,-0.0174425803353635,-0.9838594859199384,new,10_implicit,geco2_paper,5,96077.52928311765,135937.26629334167,1.9112673462602345
AgPh,43970,1.8323402319763475,1.8176029110757335,-0.014737320900614082,-0.8042895442359264,new,10_implicit,geco2_paper,2,2730.945057328523,3988.085274436946,1.94823743461451
AnCa,142189675,1.6009426282182584,1.684705334617299,0.08376270639904071,5.2320867045849715,old,10_implicit,geco2_paper,5,620232.3513375113,1168500.1907748394,1.6586955135807153
BuEb,18940,1.937064413938754,1.9319957761351636,-0.005068637803590459,-0.2616659398168428,new,10_implicit,geco2_paper,1,1371.3076907445818,1689.256496519132,1.9793030623020063
DaRe,62565020,1.5085779242138817,1.5071836626920283,-0.0013942615218534016,-0.09242224080535646,new,10_implicit,geco2_paper,10,594133.812886797,976946.423366799,1.469040559724907
DrMe,32181429,1.8220712324490003,1.8235113176608784,0.001440085211878106,0.07903561541567854,old,10_implicit,geco2_paper,10,532098.6206818448,860003.8600633455,1.8597292245785606
EnIn,26403087,1.5669852544136222,1.5681133043268767,0.0011280499132544364,0.07198854680202854,old,10_implicit,geco2_paper,9,462090.76088847173,758639.0357897326,1.5667528573458096
EsCo,4641652,1.585040843217027,1.5644171514796887,-0.020623691737338357,-1.301145760728799,new,10_implicit,geco2_paper,6,248893.82811532423,391368.58511702856,1.893381063466197
GaGa,148532294,1.8104157739595674,1.8074160222692044,-0.0029997516903630395,-0.165694076107295,new,10_implicit,geco2_paper,11,626036.9236053462,1019805.7063508468,1.8246629113531365
HaHi,3890005,1.6665685519684421,1.656098642546732,-0.010469909421710222,-0.6282315485518941,new,10_implicit,geco2_paper,5,178758.24365310016,328318.2694349637,1.8567194643708684
HePy,1667825,1.62111012846072,1.6020337865183698,-0.019076341942350084,-1.1767455897930572,new,10_implicit,geco2_paper,4,82216.64639981906,141677.98875572643,1.801057065339589
HoSa,189752667,1.59956636604217,1.5944218164796597,-0.005144549562510203,-0.32162151391313865,new,10_implicit,geco2_paper,12,590054.2141881819,868950.11610353,1.6377379085796986
OrSa,43262523,1.6001983055865696,1.5991219004957247,-0.0010764050908449452,-0.06726698104147645,new,10_implicit,geco2_paper,10,638630.2428947706,1014867.198054312,1.5988975955008449
PlFa,8986712,1.698184608564289,1.6927534786916505,-0.005431129872638607,-0.319819756064701,new,10_implicit,geco2_paper,7,406396.6817043067,671234.8145121299,1.7142874946921633
ScPo,10652155,1.8571866443926135,1.852313264311306,-0.0048733800813074435,-0.26240658665199834,new,10_implicit,geco2_paper,8,495738.5361793856,758250.9118407269,1.8917959793112287
WaMe,9144432,1.8970031162132324,1.8975848910025248,0.0005817747892924441,0.030668098766952673,old,10_implicit,geco2_paper,5,406371.6482499788,711100.525579742,1.9401139403737706
YeMi,73689,1.7191168288346972,1.6967525682259224,-0.022364260608774833,-1.3009156930849453,new,10_implicit,geco2_paper,3,4772.639789271674,6487.0820453966135,1.8236643189621247
