window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,58881582,58884654,3071,4885.6422508992255,1.5908962067402233,evo21,3072
1,3072,6144,58884654,58887726,3071,3863.5950553938746,1.2580902166700991,evo21,3072
2,6144,9216,58887726,58890798,3071,3911.498142627999,1.2736887471924452,evo21,3072
3,9216,12288,58890798,58893870,3071,3900.0447664260864,1.2699592205881103,evo21,3072
4,12288,15360,58893870,58896942,3071,4035.1928985323757,1.3139670786494222,evo21,3072
5,15360,18432,58896942,58900014,3071,5006.018290190026,1.6300938750211742,evo21,3072
6,18432,21504,58900014,58903086,3071,3782.98492729757,1.231841396059124,evo21,3072
7,21504,24576,58903086,58906158,3071,4296.57181417197,1.3990790668094986,evo21,3072
8,24576,27648,58906158,58909230,3071,4901.716351149604,1.5961303650763932,evo21,3072
9,27648,30720,58909230,58912302,3071,3798.7957625929266,1.2369898282621057,evo21,3072
10,30720,33792,58912302,58915374,3071,4218.6490685697645,1.373705330045511,evo21,3072
11,33792,36864,58915374,58918446,3071,3634.5418759807944,1.1835043555782463,evo21,3072
12,36864,39936,58918446,58921518,3071,4142.80630521616,1.3490088913110256,evo21,3072
13,39936,43008,58921518,58924590,3071,4021.908795841038,1.3096414183787164,evo21,3072
14,43008,46080,58924590,58927662,3071,3527.8054342009127,1.1487481062197697,evo21,3072
15,46080,49152,58927662,58930734,3071,3837.951890287921,1.249740114063146,evo21,3072
16,49152,52224,58930734,58933806,847,566.2458391152322,0.6685310969483261,evo21,3072
