window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,2.012630463,1.972855012,1.766046941
1,0.004608000,2.021197001,1.944653988,1.918970009
2,0.007680000,2.000451724,1.947192033,1.962620179
3,0.010752000,1.996671836,1.890245159,1.962111155
4,0.013824000,1.997493585,1.889604966,1.963685830
5,0.016896000,1.983274619,1.764362153,1.956058979
6,0.019968000,1.994398117,1.921028803,1.887387802
7,0.023040000,1.991093636,1.935445150,1.959672133
8,0.026112000,1.974559943,1.914411068,1.952937524
9,0.029184000,1.963803450,1.913373987,1.950813770
10,0.032256000,1.974023819,1.918976863,1.956138929
11,0.035328000,1.982079665,1.934279601,1.962387403
12,0.038400000,1.979516665,1.905038555,1.961030801
13,0.041472000,1.964146932,1.935559432,1.900466204
14,0.044544000,1.943682174,1.918121894,1.867365479
15,0.047616000,1.965360959,1.856734061,1.963410219
16,0.050688000,1.976960341,1.921397527,1.966038545
17,0.053760000,1.979203860,1.875714605,1.965648969
18,0.056832000,1.972082615,1.936288039,1.959311962
19,0.059904000,1.968401591,1.926884651,1.966602008
20,0.062976000,1.983505885,1.931857129,1.964069684
21,0.066048000,1.971181870,1.926081707,1.925704420
22,0.069120000,1.832123180,1.941110094,1.869526049
23,0.072192000,1.761960665,1.867176168,1.875062883
24,0.075264000,1.967282136,1.908750017,1.962784767
25,0.078336000,1.958683332,1.904697736,1.953304609
26,0.081408000,1.982064088,1.939941843,1.974160512
27,0.084480000,1.962657293,1.934451421,1.959836960
28,0.087552000,1.954747677,1.918694337,1.957039038
29,0.090624000,1.952089787,1.909037075,1.952500820
30,0.093696000,1.948374430,1.903313955,1.951464335
31,0.096768000,1.902001321,1.913823677,1.914286892
32,0.099840000,1.954803785,1.923693498,1.961661180
33,0.102912000,1.945058505,1.878754000,1.956062953
34,0.105984000,1.981824875,1.959188461,1.972529729
35,0.109056000,1.954136054,1.914908230,1.963136037
36,0.112128000,1.943171978,1.890846154,1.953885555
37,0.115200000,1.947532972,1.907692830,1.953445435
38,0.118272000,1.969457308,1.948069096,1.966788928
39,0.121344000,1.954685211,1.928806305,1.960585594
40,0.124416000,1.966650963,1.853258429,1.965854009
41,0.127488000,1.959608714,1.881691089,1.961324851
42,0.130560000,1.981515249,1.960434397,1.977444967
43,0.133632000,1.961071809,1.942530314,1.961457570
44,0.136704000,1.974702040,1.885886834,1.975704670
45,0.139776000,1.965674877,1.954264482,1.965760867
46,0.142848000,1.977033297,1.951815794,1.798766558
47,0.145920000,1.955647786,1.925318758,1.963089307
48,0.148992000,1.970998128,1.941937923,1.973100821
49,0.152064000,1.971567472,1.973453840,1.975318114
50,0.155136000,1.962332249,1.925742472,1.963591059
51,0.158208000,1.756839732,1.969193776,1.708432257
52,0.161280000,1.849746823,1.950220029,1.893999855
53,0.164352000,1.949843884,1.888155341,1.956990083
54,0.167424000,1.971396128,1.893545573,1.967863878
55,0.170496000,1.956950823,1.942729473,1.965425173
56,0.173568000,1.950754484,1.938323736,1.955282291
57,0.176640000,1.939684391,1.907397668,1.954686960
58,0.179712000,1.952754339,1.853169107,1.960408847
59,0.182784000,1.955587069,1.824977936,1.960145950
60,0.185856000,1.940226555,1.943291823,1.955956777
61,0.188928000,1.923011998,1.923928748,1.958346367
62,0.192000000,1.961143672,1.911172736,1.977858941
63,0.195072000,1.968035539,1.947702408,1.967157284
64,0.198144000,1.965159416,1.894273599,1.966029247
65,0.201216000,1.956195672,1.893455545,1.960315704
66,0.204288000,1.947070440,1.913962921,1.954869827
67,0.207360000,1.960699081,1.943353407,1.966532230
68,0.210432000,1.960602442,1.924620469,1.965762933
