window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1777087.9652724266,1.7770879652724265,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1842151.010515213,1.842151010515213,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1852519.365726471,1.852519365726471,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1842112.0760917664,1.8421120760917664,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1849970.484073639,1.8499704840736388,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1848207.5885849,1.8482075885848999,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1861095.1290340424,1.8610951290340423,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1851512.2031440735,1.8515122031440734,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1863077.6724357605,1.8630776724357605,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1862363.7837524414,1.8623637837524414,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1858591.4638252258,1.8585914638252259,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1839960.111782074,1.839960111782074,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1845874.4028253555,1.8458744028253555,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1867034.329050064,1.8670343290500642,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1869923.3571720123,1.8699233571720124,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1862826.7353572845,1.8628267353572845,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1869355.5052554607,1.8693555052554607,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1869144.820842743,1.869144820842743,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1852366.2048988342,1.8523662048988343,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1861623.5526542664,1.8616235526542664,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1866223.9328198433,1.8662239328198433,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1859204.0816802979,1.859204081680298,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1866958.698753357,1.8669586987533568,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1865250.3924446106,1.8652503924446107,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1861733.0732650757,1.8617330732650756,megabyte1,1000000
25,25000000,26000000,25000000,26000000,1000000,1833650.1414527893,1.8336501414527893,megabyte1,1000000
26,26000000,27000000,26000000,27000000,1000000,1849538.146402359,1.849538146402359,megabyte1,1000000
27,27000000,28000000,27000000,28000000,1000000,1846093.7386360168,1.8460937386360168,megabyte1,1000000
28,28000000,29000000,28000000,29000000,1000000,1861497.8973464966,1.8614978973464966,megabyte1,1000000
29,29000000,30000000,29000000,30000000,1000000,1856704.5251464844,1.8567045251464844,megabyte1,1000000
30,30000000,31000000,30000000,31000000,1000000,1864493.5499954224,1.8644935499954223,megabyte1,1000000
31,31000000,32000000,31000000,32000000,1000000,1870248.1753044128,1.870248175304413,megabyte1,1000000
32,32000000,33000000,32000000,33000000,1000000,1875734.2630767822,1.8757342630767821,megabyte1,1000000
33,33000000,34000000,33000000,34000000,1000000,1866502.1300430298,1.8665021300430298,megabyte1,1000000
34,34000000,35000000,34000000,35000000,1000000,1858541.0359725952,1.8585410359725951,megabyte1,1000000
35,35000000,36000000,35000000,36000000,1000000,1840638.0547447205,1.8406380547447205,megabyte1,1000000
36,36000000,37000000,36000000,37000000,1000000,1849250.4068756104,1.8492504068756104,megabyte1,1000000
37,37000000,38000000,37000000,38000000,1000000,1862391.8401508331,1.862391840150833,megabyte1,1000000
38,38000000,39000000,38000000,39000000,1000000,1855969.307914734,1.855969307914734,megabyte1,1000000
39,39000000,40000000,39000000,40000000,1000000,1862515.321097374,1.862515321097374,megabyte1,1000000
40,40000000,41000000,40000000,41000000,1000000,1863182.2521572113,1.8631822521572112,megabyte1,1000000
41,41000000,42000000,41000000,42000000,1000000,1856822.0211544037,1.8568220211544038,megabyte1,1000000
42,42000000,43000000,42000000,43000000,1000000,1862345.1234207153,1.8623451234207153,megabyte1,1000000
43,43000000,44000000,43000000,44000000,1000000,1860612.9349441528,1.860612934944153,megabyte1,1000000
44,44000000,45000000,44000000,45000000,1000000,1863257.5293579102,1.8632575293579101,megabyte1,1000000
45,45000000,46000000,45000000,46000000,1000000,1870861.0532989502,1.8708610532989502,megabyte1,1000000
46,46000000,47000000,46000000,47000000,1000000,1860374.1980991364,1.8603741980991364,megabyte1,1000000
47,47000000,48000000,47000000,48000000,1000000,1857596.383392334,1.857596383392334,megabyte1,1000000
48,48000000,49000000,48000000,49000000,1000000,1853271.0251083374,1.8532710251083373,megabyte1,1000000
49,49000000,50000000,49000000,50000000,1000000,1840014.2747716904,1.8400142747716903,megabyte1,1000000
50,50000000,51000000,50000000,51000000,1000000,1837687.4676480293,1.8376874676480293,megabyte1,1000000
51,51000000,52000000,51000000,52000000,1000000,1836747.7800569534,1.8367477800569534,megabyte1,1000000
52,52000000,53000000,52000000,53000000,1000000,1807067.721426487,1.807067721426487,megabyte1,1000000
53,53000000,54000000,53000000,54000000,1000000,1795653.1610474586,1.7956531610474586,megabyte1,1000000
54,54000000,55000000,54000000,55000000,1000000,1790222.137752533,1.790222137752533,megabyte1,1000000
55,55000000,56000000,55000000,56000000,1000000,1810765.5200510025,1.8107655200510024,megabyte1,1000000
56,56000000,57000000,56000000,57000000,1000000,1832677.3228740692,1.8326773228740691,megabyte1,1000000
57,57000000,58000000,57000000,58000000,1000000,1827362.7817287445,1.8273627817287446,megabyte1,1000000
58,58000000,59000000,58000000,59000000,1000000,1844209.6755046844,1.8442096755046844,megabyte1,1000000
59,59000000,60000000,59000000,60000000,1000000,1851669.4173326492,1.8516694173326493,megabyte1,1000000
60,60000000,61000000,60000000,61000000,1000000,1865660.1083536148,1.8656601083536148,megabyte1,1000000
61,61000000,62000000,61000000,62000000,1000000,1866502.852859497,1.8665028528594971,megabyte1,1000000
62,62000000,63000000,62000000,63000000,1000000,1860708.3013877869,1.8607083013877868,megabyte1,1000000
63,63000000,64000000,63000000,64000000,1000000,1862245.5568828583,1.8622455568828582,megabyte1,1000000
64,64000000,65000000,64000000,65000000,1000000,1854013.1684265137,1.8540131684265138,megabyte1,1000000
65,65000000,66000000,65000000,66000000,1000000,1851652.389637947,1.851652389637947,megabyte1,1000000
66,66000000,67000000,66000000,67000000,1000000,1873578.487953186,1.873578487953186,megabyte1,1000000
67,67000000,68000000,67000000,68000000,1000000,1865279.8408184052,1.8652798408184053,megabyte1,1000000
68,68000000,69000000,68000000,69000000,1000000,1857380.9392719269,1.857380939271927,megabyte1,1000000
69,69000000,70000000,69000000,70000000,1000000,1822869.6357402802,1.82286963574028,megabyte1,1000000
70,70000000,71000000,70000000,71000000,1000000,1819233.4460659027,1.8192334460659028,megabyte1,1000000
71,71000000,72000000,71000000,72000000,1000000,1820460.7374353409,1.820460737435341,megabyte1,1000000
72,72000000,73000000,72000000,73000000,1000000,1824714.0294589996,1.8247140294589996,megabyte1,1000000
73,73000000,74000000,73000000,74000000,1000000,1816018.4560604095,1.8160184560604096,megabyte1,1000000
74,74000000,75000000,74000000,75000000,1000000,1835656.220659256,1.835656220659256,megabyte1,1000000
75,75000000,76000000,75000000,76000000,1000000,1859398.1718711853,1.8593981718711854,megabyte1,1000000
76,76000000,77000000,76000000,77000000,1000000,1833566.023659706,1.8335660236597062,megabyte1,1000000
77,77000000,78000000,77000000,78000000,1000000,1849658.2960300446,1.8496582960300445,megabyte1,1000000
78,78000000,79000000,78000000,79000000,1000000,1839676.505104065,1.8396765051040649,megabyte1,1000000
79,79000000,80000000,79000000,80000000,1000000,1844346.8927268982,1.8443468927268982,megabyte1,1000000
80,80000000,81000000,80000000,81000000,1000000,1861697.2523422241,1.8616972523422242,megabyte1,1000000
81,81000000,82000000,81000000,82000000,1000000,1822606.089884758,1.822606089884758,megabyte1,1000000
82,82000000,83000000,82000000,83000000,1000000,1836728.0965442657,1.8367280965442658,megabyte1,1000000
83,83000000,84000000,83000000,84000000,1000000,1860671.6001281738,1.8606716001281738,megabyte1,1000000
