model,model_window_position,base_count,mean_bpb
evo21,1,1,2.2054309844970703
evo21,2,1,1.8675310611724854
evo21,3,1,1.7615079879760742
evo21,4,1,1.853609561920166
evo21,5,1,2.189053535461426
evo21,6,1,1.8958156108856201
evo21,7,1,1.821101188659668
evo21,8,1,2.0325820446014404
evo21,9,1,1.6102465391159058
evo21,10,1,2.1027188301086426
evo21,11,1,1.68144690990448
evo21,12,1,2.0562186241149902
evo21,13,1,2.165422201156616
evo21,14,1,1.6061874628067017
evo21,15,1,2.118168830871582
evo21,16,1,1.6875027418136597
evo21,17,1,2.1330699920654297
evo21,18,1,1.7517393827438354
evo21,19,1,2.3407020568847656
evo21,20,1,2.156261444091797
evo21,21,1,1.2657991647720337
evo21,22,1,2.0347752571105957
evo21,23,1,2.349240779876709
evo21,24,1,1.8096951246261597
evo21,25,1,1.972693681716919
evo21,26,1,1.9584081172943115
evo21,27,1,1.7138627767562866
evo21,28,1,2.09610915184021
evo21,29,1,1.9023869037628174
evo21,30,1,1.5408686399459839
evo21,31,1,2.051194190979004
evo21,32,1,1.9369697570800781
evo21,33,1,2.448138952255249
evo21,34,1,1.5063871145248413
evo21,35,1,1.6994190216064453
evo21,36,1,1.9136576652526855
evo21,37,1,2.066132068634033
evo21,38,1,1.7347081899642944
evo21,39,1,1.3523263931274414
evo21,40,1,1.9537019729614258
evo21,41,1,1.7529065608978271
evo21,42,1,1.6737184524536133
evo21,43,1,1.718949556350708
evo21,44,1,1.8864469528198242
evo21,45,1,3.95574951171875
evo21,46,1,1.9814786911010742
evo21,47,1,1.8533259630203247
evo21,48,1,2.244218349456787
evo21,49,1,2.0441970825195312
evo21,50,1,2.125777244567871
evo21,51,1,1.7819409370422363
evo21,52,1,1.759337306022644
evo21,53,1,2.3372623920440674
evo21,54,1,1.7592352628707886
evo21,55,1,2.0721564292907715
evo21,56,1,2.0885891914367676
evo21,57,1,2.2191858291625977
evo21,58,1,1.7174139022827148
evo21,59,1,1.610807180404663
evo21,60,1,2.0370261669158936
evo21,61,1,1.999444842338562
evo21,62,1,3.271653175354004
evo21,63,1,1.97325599193573
evo21,64,1,2.311582088470459
evo21,65,1,1.8546627759933472
evo21,66,1,2.7748684883117676
evo21,67,1,1.9472942352294922
evo21,68,1,1.394669532775879
evo21,69,1,2.116133451461792
evo21,70,1,1.5843812227249146
evo21,71,1,1.6317237615585327
evo21,72,1,2.1216394901275635
evo21,73,1,1.8027045726776123
evo21,74,1,2.6384084224700928
evo21,75,1,1.7723056077957153
evo21,76,1,3.458617925643921
evo21,77,1,1.920736312866211
evo21,78,1,2.0797948837280273
evo21,79,1,1.733568549156189
evo21,80,1,1.8240625858306885
evo21,81,1,1.4710164070129395
evo21,82,1,2.0266499519348145
evo21,83,1,2.213853120803833
evo21,84,1,1.68180513381958
evo21,85,1,2.4954564571380615
evo21,86,1,2.0071730613708496
evo21,87,1,1.8182071447372437
evo21,88,1,2.238175630569458
evo21,89,1,2.0903491973876953
evo21,90,1,1.7976937294006348
evo21,91,1,2.6643733978271484
evo21,92,1,1.9301248788833618
evo21,93,1,2.070444107055664
evo21,94,1,2.1539037227630615
evo21,95,1,1.7023605108261108
evo21,96,1,2.183074712753296
evo21,97,1,2.461989641189575
evo21,98,1,2.4446399211883545
evo21,99,1,1.5170018672943115
evo21,100,1,2.0220632553100586
evo21,101,1,1.9608137607574463
evo21,102,1,1.874833106994629
evo21,103,1,1.934052586555481
evo21,104,1,1.6270973682403564
evo21,105,1,2.2364516258239746
evo21,106,1,2.042407989501953
evo21,107,1,1.6464028358459473
evo21,108,1,2.080864667892456
evo21,109,1,1.7875456809997559
evo21,110,1,2.2866132259368896
evo21,111,1,1.8993148803710938
evo21,112,1,1.965467929840088
evo21,113,1,2.1526477336883545
evo21,114,1,2.197556257247925
evo21,115,1,1.7169177532196045
evo21,116,1,2.420978546142578
evo21,117,1,1.4894908666610718
evo21,118,1,1.937894344329834
evo21,119,1,2.25295352935791
evo21,120,1,1.7034322023391724
evo21,121,1,1.715295433998108
evo21,122,1,2.2480084896087646
evo21,123,1,2.023254632949829
evo21,124,1,2.020686149597168
evo21,125,1,1.3998467922210693
evo21,126,1,1.9507091045379639
evo21,127,1,2.22098970413208
evo21,128,1,1.3159680366516113
evo21,129,1,2.3224446773529053
evo21,130,1,1.3295961618423462
evo21,131,1,1.86427640914917
evo21,132,1,2.1905605792999268
evo21,133,1,1.5998586416244507
evo21,134,1,1.509425163269043
evo21,135,1,2.09598445892334
evo21,136,1,2.5836877822875977
evo21,137,1,1.737093210220337
evo21,138,1,2.163224935531616
evo21,139,1,2.156972646713257
evo21,140,1,1.2932122945785522
evo21,141,1,2.112807035446167
evo21,142,1,1.8470878601074219
evo21,143,1,1.3339407444000244
evo21,144,1,2.085639238357544
evo21,145,1,2.457834243774414
evo21,146,1,1.7754530906677246
evo21,147,1,2.115375518798828
evo21,148,1,1.6254299879074097
evo21,149,1,1.577165126800537
evo21,150,1,1.8627779483795166
evo21,151,1,2.3153858184814453
evo21,152,1,1.3407692909240723
evo21,153,1,2.068413734436035
