species,sample_bases,core_base_count,window_bases,trace_emission_order,trace_selection,fusion_eta,fusion_initial_carbon_weight,fusion_final_mean_carbon_weight,fused_theoretical_bpb,carbon3b_only_theoretical_bpb,nc_prefix_only_theoretical_bpb,fused_minus_carbon3b_bpb,fused_minus_nc_prefix_bpb,process_seconds,bases_per_second,trace_left,trace_right
HoSa,189752667,189752667,8192,position_major_v1,position_major,0.05,0.5,0.7277110465996433,1.4209145336153566,1.429414354139928,1.640347839025435,-0.008499820524571433,-0.21943330541007833,71.18922900198959,2665468.774703218,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HoSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HoSa
GaGa,148532294,148532294,8192,position_major_v1,position_major,0.05,0.5,0.5682439603509647,1.736914083233996,1.7565044813787858,1.8256031147530771,-0.0195903981447898,-0.08868903151908114,54.619032557995524,2719423.7437707377,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/GaGa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/GaGa
AnCa,142189675,142189675,8192,position_major_v1,position_major,0.05,0.5,0.6152282416392626,1.4317187628920194,1.4821611031344835,1.5565593792199641,-0.05044234024246408,-0.12484061632794474,52.064312661997974,2731039.1269946606,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AnCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AnCa
DaRe,62565020,62565020,8192,position_major_v1,position_major,0.05,0.5,0.6316118180224016,1.27203046285409,1.3509430659030903,1.474287964158913,-0.07891260304900038,-0.20225750130482312,22.820109769992996,2741661.6585372016,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DaRe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DaRe
OrSa,43262523,43262523,8192,position_major_v1,position_major,0.05,0.5,0.552622422841813,1.4269679512910702,1.5942965463313046,1.6020771255895818,-0.16732859504023434,-0.17510917429851158,16.749986021983204,2582839.3494311525,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/OrSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/OrSa
DrMe,32181429,32181429,8192,position_major_v1,position_major,0.05,0.5,0.6583858381946354,1.6658017474121833,1.6961821757648483,1.8613661167881657,-0.030380428352664968,-0.19556436937598232,12.230218273005448,2631304.550878776,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DrMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DrMe
WaMe,9144432,9144432,8192,position_major_v1,position_major,0.05,0.5,0.7501167501881317,1.7027595030788498,1.7116795190549094,1.9424551738471993,-0.008920015976059625,-0.23969567076834952,3.570204161980655,2561319.06891479,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/WaMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/WaMe
EsCo,4641652,4641652,8192,position_major_v1,position_major,0.05,0.5,0.9172398439266147,1.159249354876312,1.1718664556422524,1.8962380432202748,-0.012617100765940359,-0.7369886883439627,1.6812940430245362,2760761.5807940275,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/EsCo,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EsCo
HaHi,3890005,3890005,8192,position_major_v1,position_major,0.05,0.5,0.8727603699657023,1.4558033526400471,1.461911903224992,1.8590655277184847,-0.006108550584944972,-0.40326217507843753,1.2849505500053056,3027357.745388675,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HaHi,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HaHi
AeCa,1591049,1591049,8192,position_major_v1,position_major,0.05,0.5,0.82360522364751,1.621414081129632,1.6199345655773,1.9108651234779364,0.0014795155523319448,-0.2894510423483043,0.589655463991221,2698268.8996564406,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AeCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AeCa
YeMi,73689,73689,8192,position_major_v1,position_major,0.05,0.5,0.6872767299392878,1.7158009621258388,1.7133479216412417,1.8166345902484298,0.0024530404845970466,-0.100833628122591,0.18163070201990195,405707.84113318915,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/YeMi,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/YeMi
AgPh,43970,43970,8192,position_major_v1,position_major,0.05,0.5,0.7205265422855067,1.8279946279989825,1.8203309654853668,1.941196622077699,0.007663662513615721,-0.11320199407871656,0.16933298599906266,259665.88695390627,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AgPh,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AgPh
BuEb,18940,18940,8192,position_major_v1,position_major,0.05,0.5,0.7048796660077753,1.9284571428467079,1.9277192540692547,1.9599469325961165,0.0007378887774531773,-0.031489789749408637,0.16046429699053988,118032.48669775185,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/BuEb,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/BuEb
