source,sample_bases,window_bases,window_count,geco2_level,single_window_mean_bpb,single_window_std_bpb,full_sequence_theoretical_bpb,full_sequence_arithmetic_bpb,delta_full_minus_window_mean_bpb,trace_index_path,curve_data_path,plot_path,trace_read_seconds
HoSa,189752667,8192,23164,12,1.640348655568763,0.283229206365527,1.6403478393029765,1.6403471999684727,-8.162657865184997e-07,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/HoSa/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_HoSa.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_HoSa.png,0.0
GaGa,148532294,8192,18132,11,1.8255973892627884,0.14764735668292056,1.8256031150564564,1.825601050772164,5.725793668087675e-06,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/GaGa/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_GaGa.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_GaGa.png,0.0
AnCa,142189675,8192,17358,10,1.556560785386135,0.2483496861501719,1.5565593795137986,1.5565652850672878,-1.4058723363241654e-06,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/AnCa/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_AnCa.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_AnCa.png,0.0
DaRe,62565020,8192,7638,10,1.4742804091081363,0.28076851312420475,1.4742879644182967,1.4742920564877946,7.555310160389794e-06,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DaRe/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_DaRe.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_DaRe.png,0.0
OrSa,43262523,8192,5282,10,1.602135118298777,0.399534320391725,1.6020771257899085,1.602088347921826,-5.799250886862062e-05,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/OrSa/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_OrSa.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_OrSa.png,0.0
DrMe,32181429,8192,3929,10,1.8613368000775448,0.14319998676190476,1.8613661170608848,1.8613699223859823,2.9316983340077485e-05,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DrMe/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_DrMe.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_DrMe.png,0.0
EnIn,26403087,8192,3224,9,1.568419148604716,0.33736608892538694,1.568468759662274,1.5684775041645698,4.9611057557852334e-05,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/EnIn/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_EnIn.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_EnIn.png,0.0
ScPo,10652155,8192,1301,8,1.8926365193520758,0.21882184325435894,1.892622247687573,1.8926266093574493,-1.4271664502851777e-05,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/ScPo/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_ScPo.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_ScPo.png,0.0
WaMe,9144432,8192,1117,5,1.9422743834868648,0.04785850221918553,1.9424551740830287,1.9424567868184706,0.00018079059616393778,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/WaMe/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_WaMe.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_WaMe.png,0.0
PlFa,8986712,8192,1098,7,1.7155427908039702,0.2656087009246528,1.7152956122917882,1.715301436164862,-0.00024717851218203357,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/PlFa/position_index.json,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v2/curve_data/nc_prefix_w8192_curve_PlFa.npz,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/species_curves_v3/nc_prefix_w8192_curve_PlFa.png,0.0
