species,sample_bases,core_base_count,window_bases,trace_emission_order,fusion_eta,fusion_initial_megabyte_weight,fusion_final_mean_megabyte_weight,fused_theoretical_bpb,megabyte_only_theoretical_bpb,nc_prefix_only_theoretical_bpb,fused_minus_megabyte_bpb,fused_minus_nc_prefix_bpb,process_seconds,bases_per_second,trace_left,trace_right
HoSa,189752667,189752667,8192,position_major_v1,0.05,0.5,0.5688193167765808,1.573895798232721,1.649172921742005,1.640347839025435,-0.07527712350928395,-0.06645204079271383,70.40883376801503,2695012.214308255,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HoSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HoSa
GaGa,148532294,148532294,8192,position_major_v1,0.05,0.5,0.5300330776784172,1.799559694005965,1.8413164873702605,1.8256031147530771,-0.0417567933642955,-0.026043420747112078,54.04421924697817,2748347.4841447547,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/GaGa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/GaGa
AnCa,142189675,142189675,8192,position_major_v1,0.05,0.5,0.35747997825697597,1.5440564624519597,1.8576275283207417,1.5565593792199641,-0.31357106586878203,-0.012502916768004413,51.99722953001037,2734562.5196806835,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AnCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AnCa
DaRe,62565020,62565020,8192,position_major_v1,0.05,0.5,0.312526812835864,1.4542633584575548,1.8189467324341233,1.474287964158913,-0.36468337397656847,-0.020024605701358222,22.544243412005017,2775210.454243213,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DaRe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DaRe
OrSa,43262523,43262523,8192,position_major_v1,0.05,0.5,0.4119844046674286,1.5640664938346713,1.8716275494916954,1.6020771255895818,-0.3075610556570241,-0.038010631754910484,15.762253263994353,2744691.52826166,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/OrSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/OrSa
DrMe,32181429,32181429,8192,position_major_v1,0.05,0.5,0.5465383966930012,1.817376961743862,1.8838415758390235,1.8613661167881657,-0.06646461409516147,-0.043989155044303674,11.38977398199495,2825466.866232172,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DrMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DrMe
EnIn,26403087,26403087,8192,position_major_v1,0.05,0.5,0.332896103136779,1.5444457688352593,1.8818485147748938,1.568468759259903,-0.3374027459396345,-0.02402299042464362,9.426700237003388,2800883.271577665,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/EnIn,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EnIn
ScPo,10652155,10652155,8192,position_major_v1,0.05,0.5,0.5508796154715884,1.8498613693396053,1.9053601742727586,1.8926222474323156,-0.05549880493315329,-0.04276087809271023,3.7375822470057756,2850012.199339179,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/ScPo,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/ScPo
WaMe,9144432,9144432,8192,position_major_v1,0.05,0.5,0.5841065346927177,1.8955882504810333,1.9122915277113797,1.9424551738471993,-0.01670327723034637,-0.04686692336616605,3.3750281910179183,2709438.7016785224,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/WaMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/WaMe
PlFa,8986712,8986712,8192,position_major_v1,0.05,0.5,0.4572683675925112,1.6897272204895228,1.79602613092097,1.7152956120505691,-0.10629891043144712,-0.02556839156104629,3.2842591410153545,2736298.0855468325,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/PlFa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/PlFa
EsCo,4641652,4641652,8192,position_major_v1,0.05,0.5,0.8395500234673131,1.5619937352954951,1.5852927306308182,1.8962380432202748,-0.02329899533532309,-0.33424430792477966,1.725816988007864,2689538.9443106176,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/EsCo,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EsCo
HaHi,3890005,3890005,8192,position_major_v1,0.05,0.5,0.8102872048111335,1.6541143634354256,1.6622011587458476,1.8590655277184847,-0.008086795310422001,-0.20495116428305904,1.2717639780021273,3058747.587827569,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HaHi,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HaHi
HePy,1667825,1667825,8192,position_major_v1,0.05,0.5,0.7123165556022484,1.5993495026482958,1.642677315509578,1.8026851372753214,-0.04332781286128218,-0.20333563462702564,0.6258804179960862,2664766.226973456,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HePy,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HePy
AeCa,1591049,1591049,8192,position_major_v1,0.05,0.5,0.7225089828738314,1.7532434851634502,1.7572145040974794,1.9108651234779364,-0.00397101893402918,-0.15762163831448617,0.5983799219829962,2658927.7840863317,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AeCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AeCa
YeMi,73689,73689,8192,position_major_v1,0.05,0.5,0.66427845913138,1.6943039706199075,1.695236096471931,1.8166345902484298,-0.0009321258520236242,-0.12233061962852232,0.19207884700153954,383639.3291105572,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/YeMi,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/YeMi
AgPh,43970,43970,8192,position_major_v1,0.05,0.5,0.6901729900721546,1.8163222022336443,1.8092676095423632,1.941196622077699,0.007054592691281059,-0.12487441984405478,0.19128041400108486,229871.94078192773,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AgPh,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AgPh
BuEb,18940,18940,8192,position_major_v1,0.05,0.5,0.7442361360988988,1.9300944088739433,1.9303963350263103,1.9599469325961165,-0.0003019261523669048,-0.029852523722173174,0.18540356500307098,102155.53298387915,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/BuEb,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/BuEb
