window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,25819926,25822998,3072,5661.061721801758,1.842793529232343,megabyte1,3072
1,3072,6144,25822998,25826070,3072,5716.682674407959,1.8608993080755074,megabyte1,3072
2,6144,9216,25826070,25829142,3072,5753.2440185546875,1.8728007872899373,megabyte1,3072
3,9216,12288,25829142,25832214,3072,5793.25537109375,1.8858253161112468,megabyte1,3072
4,12288,15360,25832214,25835286,3072,5751.8876953125,1.872359275817871,megabyte1,3072
5,15360,18432,25835286,25838358,3072,5814.4671630859375,1.8927301963170369,megabyte1,3072
6,18432,21504,25838358,25841430,3072,5512.981506347656,1.7945903340975444,megabyte1,3072
7,21504,24576,25841430,25844502,3072,5659.44743347168,1.8422680447498958,megabyte1,3072
8,24576,27648,25844502,25847574,3072,5833.504821777344,1.898927350838979,megabyte1,3072
9,27648,30720,25847574,25850646,3072,5809.3546142578125,1.8910659551620483,megabyte1,3072
10,30720,33792,25850646,25853718,3072,5619.6480712890625,1.829312523206075,megabyte1,3072
11,33792,36864,25853718,25856790,3072,5819.470703125,1.8943589528401692,megabyte1,3072
12,36864,39936,25856790,25859862,3072,5687.2091064453125,1.8513050476710002,megabyte1,3072
13,39936,43008,25859862,25862934,3072,5720.75048828125,1.862223466237386,megabyte1,3072
14,43008,46080,25862934,25866006,3072,5793.565185546875,1.8859261671702068,megabyte1,3072
15,46080,49152,25866006,25869078,3072,5789.224548339844,1.8845131993293762,megabyte1,3072
16,49152,52224,25869078,25872150,848,1535.5161743164062,1.8107502055617999,megabyte1,3072
0,0,3072,25819926,25822998,3072,5613.447174072266,1.827294001976649,geco22,3072
1,3072,6144,25822998,25826070,3072,4276.58927154541,1.392118903497855,geco22,3072
2,6144,9216,25826070,25829142,3072,5806.4193115234375,1.890110452969869,geco22,3072
3,9216,12288,25829142,25832214,3072,5423.074111938477,1.7653236041466396,geco22,3072
4,12288,15360,25832214,25835286,3072,5766.845031738281,1.8772282004356384,geco22,3072
5,15360,18432,25835286,25838358,3072,5357.615043640137,1.7440153136849403,geco22,3072
6,18432,21504,25838358,25841430,3072,4865.174850463867,1.5837157716353734,geco22,3072
7,21504,24576,25841430,25844502,3072,4775.482360839844,1.55451899766922,geco22,3072
8,24576,27648,25844502,25847574,3072,5123.677284240723,1.6678636992971103,geco22,3072
9,27648,30720,25847574,25850646,3072,5747.324279785156,1.870873788992564,geco22,3072
10,30720,33792,25850646,25853718,3072,4799.6335525512695,1.5623807137211163,geco22,3072
11,33792,36864,25853718,25856790,3072,5609.461250305176,1.8259965007503827,geco22,3072
12,36864,39936,25856790,25859862,3072,5584.639183044434,1.81791640073061,geco22,3072
13,39936,43008,25859862,25862934,3072,5784.926361083984,1.8831140498320262,geco22,3072
14,43008,46080,25862934,25866006,3072,5815.4429931640625,1.89304784933726,geco22,3072
15,46080,49152,25866006,25869078,3072,5823.8974609375,1.895799954732259,geco22,3072
16,49152,52224,25869078,25872150,848,1072.606460571289,1.264866109164256,geco22,3072
