window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.738839090,1.790144682,0.545406801
1,0.004608000,1.709320426,1.866768916,0.644791978
2,0.007680000,1.690154105,1.637194778,1.067982741
3,0.010752000,1.731304407,1.757078568,1.104199164
4,0.013824000,1.996170123,1.874607662,1.630074471
5,0.016896000,1.956309279,1.820594018,1.091529608
6,0.019968000,1.846442143,1.844204307,1.117104679
7,0.023040000,1.891741633,1.826399604,1.023514507
8,0.026112000,1.876852393,1.813030402,1.205938568
9,0.029184000,1.779567579,1.837320884,1.000018577
10,0.032256000,1.891908248,1.833819628,0.427457703
11,0.035328000,1.693991075,1.852187713,0.937249387
12,0.038400000,1.846649011,1.818753481,1.454397336
13,0.041472000,1.790641680,1.712227374,1.441082309
14,0.044544000,1.779634913,1.724328304,1.738787393
15,0.047616000,1.912052472,1.758422971,1.875449816
16,0.050688000,1.883906047,1.822279453,1.839121342
17,0.053760000,1.880908648,1.826484084,1.846203486
18,0.056832000,1.759160082,1.737417440,1.732955302
19,0.059904000,1.880832513,1.839680354,1.855923812
20,0.062976000,1.744653374,1.728496830,1.759749224
21,0.066048000,1.791383406,1.788833419,1.786355664
22,0.069120000,1.894255002,1.881432851,1.881544113
23,0.072192000,1.874192317,1.866121213,1.862563610
24,0.075264000,1.881212433,1.847845753,1.859396656
25,0.078336000,1.843745828,1.798972969,1.824088415
26,0.081408000,1.814250991,1.776668807,1.799370239
27,0.084480000,1.770162076,1.748003125,1.765216957
28,0.087552000,1.877492746,1.851807356,1.863101006
29,0.090624000,1.861595472,1.833555301,1.843852838
30,0.093696000,1.854609807,1.844358285,1.846526702
31,0.096768000,1.716444423,1.660340791,1.718222365
32,0.099840000,1.836794615,1.768803557,1.835510910
33,0.102912000,1.820489809,1.787454893,1.808568984
34,0.105984000,1.889890671,1.835331354,1.880142450
35,0.109056000,1.864523093,1.823417187,1.853361209
36,0.112128000,1.823841155,1.785457810,1.820209478
37,0.115200000,1.850788911,1.827838739,1.843515078
38,0.118272000,1.870267073,1.852324128,1.718881239
39,0.121344000,1.673611323,1.852807681,1.818379541
40,0.124416000,1.843830744,1.821909308,1.842125495
41,0.127488000,1.851756732,1.836178859,1.836999893
42,0.130560000,1.862270355,1.844817638,1.848740737
43,0.133632000,1.841662238,1.795321574,1.840837677
44,0.136704000,1.792708347,1.748078977,1.792928398
45,0.139776000,1.787472427,1.754178216,1.793249011
46,0.142848000,1.847705682,1.806945006,1.841440519
47,0.145920000,1.857821147,1.843109767,1.854636113
48,0.148992000,1.860007604,1.843260447,1.853202820
49,0.152064000,1.856262306,1.853210052,1.862338583
50,0.155136000,1.838995119,1.817324559,1.834596038
51,0.158208000,1.854917526,1.853761117,1.856050412
52,0.161280000,1.887191137,1.866448144,1.882290800
53,0.164352000,1.861455441,1.849279165,1.861352921
54,0.167424000,1.822117607,1.788881103,1.820468962
55,0.170496000,1.860373974,1.839871724,1.855349859
56,0.173568000,1.858548085,1.851283391,1.860971292
57,0.176640000,1.810266693,1.796657602,1.808283289
58,0.179712000,1.839491208,1.795510431,1.836637656
59,0.182784000,1.926577409,1.815188901,0.883564875
60,0.185856000,1.980901241,1.865063633,0.842308760
61,0.188928000,1.800472339,1.774337634,1.806116641
62,0.192000000,1.781679899,1.779182946,1.649603258
63,0.195072000,1.824454029,1.785476704,1.827491293
64,0.198144000,1.875427485,1.799848060,1.875442902
65,0.201216000,1.632165561,1.826381207,1.778805017
66,0.204288000,1.856949806,1.830000877,1.851916234
67,0.207360000,1.832156758,1.761082729,1.835939050
68,0.210432000,1.433567946,1.555822780,1.453237894
69,0.213504000,1.191264763,1.568997731,1.056909281
70,0.216576000,1.791751961,1.841424942,1.697463219
71,0.219648000,1.800045033,1.835448742,1.676308284
72,0.222720000,1.848574400,1.822256962,1.122538969
73,0.225792000,1.827081283,1.772622625,0.792126497
74,0.228864000,1.620787412,1.825668017,1.382377103
75,0.231936000,1.360304092,1.833377361,1.117136983
76,0.235008000,1.474195033,1.816393067,1.070800241
77,0.238080000,1.728258451,1.866942843,1.553812360
78,0.241152000,1.595043967,1.741610448,1.008154158
79,0.244224000,1.378035525,1.740978758,1.314742312
80,0.247296000,0.950909500,1.763219754,0.603478011
81,0.250368000,0.994267101,1.856183608,0.480437047
82,0.253440000,1.367756198,1.713624706,1.039663958
83,0.256512000,1.344538204,1.764706900,1.122709706
84,0.259584000,1.707010522,1.834841013,1.532726283
85,0.262656000,1.517689134,1.831094503,1.044088955
86,0.265728000,1.499586662,1.833031634,1.410795517
87,0.268800000,0.977408354,1.848649104,0.808218166
88,0.271872000,1.430153072,1.824404716,1.294826095
89,0.274944000,1.770899455,1.832120419,1.738035659
90,0.278016000,1.836712797,1.784112990,1.838345389
91,0.281088000,1.808370968,1.759912993,1.783482023
92,0.284160000,0.228247061,0.818109506,0.284794887
93,0.287232000,1.349987097,1.533433785,1.361982043
94,0.290304000,1.802012861,1.711176497,1.818072081
95,0.293376000,1.800219466,1.786118428,1.809324980
96,0.296448000,1.682947253,1.629877672,1.681928277
97,0.299520000,1.815010627,1.780275464,1.817037225
98,0.302592000,1.819315235,1.776310126,1.817307035
99,0.305664000,1.796221683,1.781312714,1.801886320
100,0.308736000,1.814068993,1.812345326,1.825868885
101,0.311808000,1.846235995,1.825237999,1.850579878
102,0.314880000,1.793467497,1.766905641,1.799004103
103,0.317952000,1.746073405,1.724496961,1.744051330
104,0.321024000,1.826833447,1.807909499,1.833795100
105,0.324096000,1.860901833,1.854111989,1.859001478
106,0.327168000,1.876527627,1.857825756,1.877877712
107,0.330240000,1.825659593,1.804763317,1.829952240
108,0.333312000,1.837996801,1.832247615,1.840516885
109,0.336384000,1.856873671,1.843903224,1.858508587
110,0.339456000,1.862841924,1.831568241,1.864211082
111,0.342528000,1.890907307,1.818108290,1.881061395
112,0.345600000,1.806718022,1.809069897,1.804433078
113,0.348672000,1.794343457,1.745855590,1.797524442
114,0.351744000,1.849611799,1.802667389,1.862745663
