window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,123880486,123883558,3072,5876.885696973514,1.9130487294835659,megabyte1,3072
1,3072,6144,123883558,123886630,3072,5863.413895248501,1.908663377359538,megabyte1,3072
2,6144,9216,123886630,123889702,3072,5849.614561447706,1.9041714067212585,megabyte1,3072
3,9216,12288,123889702,123892774,3072,5853.061961575448,1.9052936072836744,megabyte1,3072
4,12288,15360,123892774,123895846,3072,5826.2102170660155,1.8965528050345102,megabyte1,3072
5,15360,18432,123895846,123898918,3072,5844.810295900525,1.9026075181967854,megabyte1,3072
6,18432,21504,123898918,123901990,3072,5754.42281391825,1.8731845097390136,megabyte1,3072
7,21504,24576,123901990,123905062,3072,5778.930436641425,1.8811622515108806,megabyte1,3072
8,24576,27648,123905062,123908134,3072,5839.620215467831,1.900918038889268,megabyte1,3072
9,27648,30720,123908134,123911206,3072,5826.37730516121,1.896607195690498,megabyte1,3072
10,30720,33792,123911206,123914278,3072,5824.609592454186,1.8960317683770136,megabyte1,3072
11,33792,36864,123914278,123917350,3072,5829.081018510977,1.8974873107132086,megabyte1,3072
12,36864,39936,123917350,123920422,3072,5878.587154892943,1.9136025894833797,megabyte1,3072
13,39936,43008,123920422,123923494,3072,5779.4265437705235,1.8813237447169673,megabyte1,3072
14,43008,46080,123923494,123926566,3072,5735.278733419118,1.8669527127015357,megabyte1,3072
15,46080,49152,123926566,123929638,3072,5126.239581002761,1.6686977802743364,megabyte1,3072
