window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1920495.6376134753,1.9204956376134754,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1917280.6397844553,1.9172806397844553,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1917709.0052794814,1.9177090052794814,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1921786.5585114956,1.9217865585114955,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1918631.9474681616,1.9186319474681617,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1917609.278701067,1.917609278701067,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1922467.9656176567,1.9224679656176566,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1924157.116682291,1.924157116682291,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1915798.3695047498,1.9157983695047498,megabyte1,1000000
9,9000000,9144432,9000000,9144432,144432,278224.01396632195,1.9263322114650627,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1950853.354309082,1.950853354309082,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1947850.399383545,1.947850399383545,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1944170.5354003906,1.9441705354003906,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1943338.8916168213,1.9433388916168213,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1947613.0413284302,1.9476130413284303,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1950283.9508972168,1.9502839508972167,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1938314.6505203247,1.9383146505203248,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1942180.0518493652,1.9421800518493653,geco22,1000000
8,8000000,9000000,8000000,9000000,1000000,1922116.3021774292,1.9221163021774292,geco22,1000000
9,9000000,9144432,9000000,9144432,144432,253954.48872375488,1.7582979445258313,geco22,1000000
