window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10981140,10984212,3072,4576.9079590309175,1.4898788929137101,megabyte1,3072
1,3072,6144,10984212,10987284,3072,5523.094494694125,1.7978823224915772,megabyte1,3072
2,6144,9216,10987284,10990356,3072,5806.927976142012,1.8902760339003946,megabyte1,3072
3,9216,12288,10990356,10993428,3072,5728.206082348043,1.8646504174310037,megabyte1,3072
4,12288,15360,10993428,10996500,3072,3039.7082001217195,0.9894883463937889,megabyte1,3072
5,15360,18432,10996500,10999572,3072,5377.618489855185,1.7505268521664012,megabyte1,3072
6,18432,21504,10999572,11002644,3072,4935.216057979933,1.606515643873676,megabyte1,3072
7,21504,24576,11002644,11005716,3072,4821.145029830494,1.5693831477312807,megabyte1,3072
8,24576,27648,11005716,11008788,3072,5751.407238289874,1.872202877047485,megabyte1,3072
9,27648,30720,11008788,11011860,3072,5764.575379360256,1.8764893813021668,megabyte1,3072
10,30720,33792,11011860,11014932,3072,5489.209055964197,1.7868519062383454,megabyte1,3072
11,33792,36864,11014932,11018004,3072,5901.356119989976,1.9210143619759037,megabyte1,3072
12,36864,39936,11018004,11021076,3072,5536.798023892241,1.8023431067357556,megabyte1,3072
13,39936,43008,11021076,11024148,3072,4964.973346179103,1.61620226112601,megabyte1,3072
14,43008,46080,11024148,11027220,3072,5817.981072281662,1.8938740469666868,megabyte1,3072
15,46080,49152,11027220,11030292,3072,5580.1486823963,1.8164546492175455,megabyte1,3072
16,49152,52224,11030292,11033364,846,1329.5050738462928,1.571518999818313,megabyte1,3072
0,0,1024,10981140,10982164,1024,2544.0,2.484375,geco22,1024
1,1024,2048,10982164,10983188,1024,2016.0,1.96875,geco22,1024
2,2048,3072,10983188,10984212,1024,2008.0,1.9609375,geco22,1024
3,3072,4096,10984212,10985236,1024,2000.0,1.953125,geco22,1024
4,4096,5120,10985236,10986260,1024,2008.0,1.9609375,geco22,1024
5,5120,6144,10986260,10987284,1024,2000.0,1.953125,geco22,1024
6,6144,7168,10987284,10988308,1024,2032.0,1.984375,geco22,1024
7,7168,8192,10988308,10989332,1024,2000.0,1.953125,geco22,1024
8,8192,9216,10989332,10990356,1024,2024.0,1.9765625,geco22,1024
9,9216,10240,10990356,10991380,1024,1984.0,1.9375,geco22,1024
10,10240,11264,10991380,10992404,1024,1976.0,1.9296875,geco22,1024
11,11264,12288,10992404,10993428,1024,1968.0,1.921875,geco22,1024
12,12288,13312,10993428,10994452,1024,2000.0,1.953125,geco22,1024
13,13312,14336,10994452,10995476,1024,1848.0,1.8046875,geco22,1024
14,14336,15360,10995476,10996500,1024,1936.0,1.890625,geco22,1024
15,15360,16384,10996500,10997524,1024,1968.0,1.921875,geco22,1024
16,16384,17408,10997524,10998548,1024,1960.0,1.9140625,geco22,1024
17,17408,18432,10998548,10999572,1024,1960.0,1.9140625,geco22,1024
18,18432,19456,10999572,11000596,1024,1800.0,1.7578125,geco22,1024
19,19456,20480,11000596,11001620,1024,1960.0,1.9140625,geco22,1024
20,20480,21504,11001620,11002644,1024,1736.0,1.6953125,geco22,1024
21,21504,22528,11002644,11003668,1024,1760.0,1.71875,geco22,1024
22,22528,23552,11003668,11004692,1024,1952.0,1.90625,geco22,1024
23,23552,24576,11004692,11005716,1024,1568.0,1.53125,geco22,1024
24,24576,25600,11005716,11006740,1024,1944.0,1.8984375,geco22,1024
25,25600,26624,11006740,11007764,1024,1928.0,1.8828125,geco22,1024
26,26624,27648,11007764,11008788,1024,1968.0,1.921875,geco22,1024
27,27648,28672,11008788,11009812,1024,1968.0,1.921875,geco22,1024
28,28672,29696,11009812,11010836,1024,1944.0,1.8984375,geco22,1024
29,29696,30720,11010836,11011860,1024,1920.0,1.875,geco22,1024
30,30720,31744,11011860,11012884,1024,1896.0,1.8515625,geco22,1024
31,31744,32768,11012884,11013908,1024,1976.0,1.9296875,geco22,1024
32,32768,33792,11013908,11014932,1024,2032.0,1.984375,geco22,1024
33,33792,34816,11014932,11015956,1024,2024.0,1.9765625,geco22,1024
34,34816,35840,11015956,11016980,1024,2032.0,1.984375,geco22,1024
35,35840,36864,11016980,11018004,1024,1976.0,1.9296875,geco22,1024
36,36864,37888,11018004,11019028,1024,2008.0,1.9609375,geco22,1024
37,37888,38912,11019028,11020052,1024,1992.0,1.9453125,geco22,1024
38,38912,39936,11020052,11021076,1024,2032.0,1.984375,geco22,1024
39,39936,40960,11021076,11022100,1024,1992.0,1.9453125,geco22,1024
40,40960,41984,11022100,11023124,1024,1696.0,1.65625,geco22,1024
41,41984,43008,11023124,11024148,1024,1896.0,1.8515625,geco22,1024
42,43008,44032,11024148,11025172,1024,1952.0,1.90625,geco22,1024
43,44032,45056,11025172,11026196,1024,2040.0,1.9921875,geco22,1024
44,45056,46080,11026196,11027220,1024,2016.0,1.96875,geco22,1024
45,46080,47104,11027220,11028244,1024,2032.0,1.984375,geco22,1024
46,47104,48128,11028244,11029268,1024,1944.0,1.8984375,geco22,1024
47,48128,49152,11029268,11030292,1024,1968.0,1.921875,geco22,1024
48,49152,50176,11030292,11031316,848,1416.0,1.669811320754717,geco22,1024
