window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,0,3072,3072,5950.142098052427,1.9368952142097744,carbon1,3072
1,3072,6144,3072,6144,3072,5990.346319794655,1.9499825259748225,carbon1,3072
2,6144,9216,6144,9216,3072,5907.047301650047,1.9228669601725414,carbon1,3072
3,9216,12288,9216,12288,3072,5907.274754464626,1.9229410008022871,carbon1,3072
4,12288,15360,12288,15360,3072,5919.714318662882,1.9269903381064069,carbon1,3072
5,15360,18432,15360,18432,3072,5734.357684068382,1.866652891949343,carbon1,3072
6,18432,21504,18432,21504,3072,5960.867182672024,1.9403864526927161,carbon1,3072
7,21504,24576,21504,24576,3072,5894.5464571118355,1.9187976748410922,carbon1,3072
8,24576,27648,24576,27648,3072,5865.713200613856,1.9094118491581564,carbon1,3072
9,27648,30720,27648,30720,3072,5874.958193823695,1.912421287051984,carbon1,3072
10,30720,33792,30720,33792,3072,5789.531479669735,1.8846131118716585,carbon1,3072
11,33792,36864,33792,36864,3072,5915.0051356852055,1.9254574009391945,carbon1,3072
12,36864,39936,36864,39936,3072,5931.630454480648,1.9308692885679193,carbon1,3072
13,39936,43008,39936,43008,3072,5844.704075932503,1.9025729413842782,carbon1,3072
14,43008,46080,43008,46080,962,1727.5968270280864,1.7958386975343934,carbon1,3072
