window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.991124868,1.903278848,0.820871562
1,0.004608000,1.977556864,1.892317911,1.034033686
2,0.007680000,2.006536643,1.893847723,0.822647899
3,0.010752000,1.996510983,1.926919142,1.313965787
4,0.013824000,1.464477619,1.941206614,0.938991457
5,0.016896000,1.663233916,1.876055320,0.830763829
6,0.019968000,1.938608011,1.934078852,1.043221960
7,0.023040000,1.676840007,1.912396908,1.066203167
8,0.026112000,1.958021641,1.922201872,0.716165627
9,0.029184000,1.970170339,1.946746508,0.439237247
10,0.032256000,1.840682268,1.929478963,0.399908225
11,0.035328000,1.970550060,1.915591359,0.344617565
12,0.038400000,1.978284200,1.942441146,0.351642778
13,0.041472000,1.969657898,1.942299098,1.962678591
14,0.044544000,1.973391294,1.942362159,1.474425117
15,0.047616000,1.969435771,1.860295991,1.645182371
16,0.050688000,1.949454308,1.928616047,1.943281809
17,0.053760000,1.992476145,1.914224365,1.981005033
18,0.056832000,1.954926809,1.890670968,1.948425611
19,0.059904000,1.937167168,1.920892398,1.934476852
20,0.062976000,1.955489477,1.945385297,1.934383949
21,0.066048000,1.950418949,1.903283050,1.911410729
22,0.069120000,1.959353447,1.928577662,1.955349127
23,0.072192000,1.959961891,1.908259749,1.954998334
24,0.075264000,1.957241694,1.862487151,1.952808857
25,0.078336000,1.650103619,1.922976295,1.648954610
26,0.081408000,1.978668054,1.829502461,1.966416995
27,0.084480000,1.966551463,1.893123495,1.966647466
28,0.087552000,1.957178116,1.940764109,1.931434313
29,0.090624000,1.972781340,1.952688535,1.968110402
30,0.093696000,1.964413643,1.924021373,1.960426490
31,0.096768000,1.964511236,1.932182312,1.962347031
32,0.099840000,1.971859296,1.880861129,1.966748873
33,0.102912000,1.961439768,1.941760818,1.958960215
34,0.105984000,1.968280951,1.943392992,1.959945679
35,0.109056000,1.963591576,1.884960271,1.963115772
36,0.112128000,1.962434292,1.865001783,1.963214238
37,0.115200000,1.957791646,1.881839496,1.963339488
38,0.118272000,1.961496353,1.927456856,1.954710166
39,0.121344000,1.961599032,1.922456622,1.959718386
40,0.124416000,1.961222808,1.943417708,1.889346341
41,0.127488000,1.963873545,1.930647016,1.960556507
42,0.130560000,1.952845573,1.751722581,1.958417416
43,0.133632000,1.961068471,1.897961625,1.960905870
44,0.136704000,1.964651426,1.936853250,1.962637742
45,0.139776000,1.945548415,1.932108561,1.955465953
46,0.142848000,1.953453859,1.883879616,1.957625230
47,0.145920000,1.960946083,1.921328227,1.822440406
48,0.148992000,1.943863869,1.929475466,1.945176601
49,0.152064000,1.961199760,1.673642013,1.967950980
50,0.155136000,1.966176271,1.765577142,1.751904170
51,0.158208000,1.950608889,1.929077749,1.950659275
52,0.161280000,1.961281141,1.831163267,1.955910921
53,0.164352000,1.948834737,1.933248679,1.956505617
54,0.167424000,1.944439570,1.930970351,1.941085418
55,0.170496000,1.954274495,1.929059347,1.956869284
56,0.173568000,1.966103236,1.938519080,1.965894381
57,0.176640000,1.972240130,1.955894629,1.972326914
58,0.179712000,1.962130706,1.950026910,1.968646606
59,0.182784000,1.968711694,1.871858823,1.966218948
60,0.185856000,1.954724948,1.924766526,1.957124233
61,0.188928000,1.965949694,1.921918983,1.962626060
62,0.192000000,1.959597905,1.947666566,1.960372607
63,0.195072000,1.966668129,1.905688345,1.968413035
64,0.198144000,1.951100032,1.946140228,1.959247748
65,0.201216000,1.957568487,1.952515761,1.948372761
66,0.204288000,1.960780144,1.954860846,1.963886261
67,0.207360000,1.945956389,1.933661739,1.953439395
68,0.210432000,1.957285722,1.950239420,1.964590549
69,0.213504000,1.967742125,1.961289406,1.967744668
70,0.216576000,1.955961068,1.941364129,1.958221594
71,0.219648000,1.951911767,1.924168428,1.952291012
72,0.222720000,1.951841990,1.937954108,1.951334953
73,0.225792000,1.954066277,1.943186601,1.958580812
74,0.228864000,1.953863382,1.923367918,1.955785751
75,0.231936000,1.949459553,1.906126653,1.954624335
76,0.235008000,1.956735929,1.913943450,1.957589149
77,0.238080000,1.956188599,1.923162937,1.952913761
78,0.241152000,1.947871129,1.891560793,1.949216048
79,0.244224000,1.949112097,1.924268723,1.953962962
80,0.247296000,1.933375120,1.883585652,1.939940532
81,0.250368000,1.944009781,1.927117348,1.945479870
82,0.253440000,1.961889585,1.849693540,1.964193503
83,0.256512000,1.948617617,1.948390881,1.953359127
84,0.259584000,1.943311373,1.922773043,1.946435452
85,0.262656000,1.944641431,1.929657936,1.948676109
86,0.265728000,1.953150272,1.937884172,1.955834389
87,0.268800000,1.954032103,1.916956410,1.956999381
88,0.271872000,1.949831168,1.900320689,1.955522855
89,0.274944000,1.933650653,1.920396964,1.941768010
90,0.278016000,1.946898778,1.931393782,1.950119019
91,0.281088000,1.954499245,1.928024928,1.960219383
92,0.284160000,1.954962730,1.934692542,1.955914179
