split,species,source_name,sample_bytes,sample_bases,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_bpb,experiment_baseline_percent
train,OrSa,OrSa,25957513,25957513,5117362,10,1.577150168431005,78.85750842155025
train,HoSa,HoSa,113851600,113851600,23168734,12,1.6279953202238704,81.39976601119352
train,DaRe,DaRe,37539012,37539012,7022556,10,1.4965883492085514,74.82941746042758
train,ScPo,ScPo,6391293,6391293,1522675,8,1.9059367173434234,95.29683586717117
train,EsCo,EsCo,2784991,2784991,662674,6,1.9035580366327933,95.17790183163967
train,YeMi,YeMi,44213,44213,10124,3,1.8318594078664645,91.59297039332323
train,BuEb,BuEb,11364,11364,2825,1,1.988736360436466,99.4368180218233
train,AgPh,AgPh,26382,26382,6445,2,1.9543628231369874,97.71814115684937
train,GaGa,GaGa,89119376,89119376,20422738,11,1.8332927286205416,91.66463643102708
train,DrMe,DrMe,19308857,19308857,4478559,10,1.8555459807900592,92.77729903950296
train,EnIn,EnIn,15841852,15841852,3221097,9,1.626626482812742,81.3313241406371
train,PlFa,PlFa,5392027,5392027,1137265,7,1.6873283460932225,84.36641730466113
train,HePy,HePy,1000695,1000695,228964,4,1.8304398443082057,91.52199221541028
train,AeCa,AeCa,954629,954629,229185,5,1.9206204714082644,96.03102357041323
train,HaHi,HaHi,2334003,2334003,540005,5,1.850914501823691,92.54572509118455
train,AnCa,AnCa,85313805,85313805,17835083,5,1.6724217610502778,83.6210880525139
train,WaMe,WaMe,5486659,5486659,1335389,5,1.94710697347876,97.355348673938
val,OrSa,OrSa,8652504,8652504,1883453,10,1.7414177445049432,87.07088722524716
val,HoSa,HoSa,37950533,37950533,7971816,12,1.6804646195614696,84.02323097807349
val,DaRe,DaRe,12513004,12513004,2501798,10,1.5994867419526118,79.97433709763058
val,ScPo,ScPo,2130431,2130431,517968,8,1.9450261472913228,97.25130736456614
val,EsCo,EsCo,928330,928330,223429,6,1.9254273803496602,96.27136901748301
val,YeMi,YeMi,14737,14737,3441,3,1.86795141480627,93.3975707403135
val,BuEb,BuEb,3788,3788,976,1,2.061246040126716,103.0623020063358
val,AgPh,AgPh,8794,8794,2195,2,1.996816010916534,99.8408005458267
val,GaGa,GaGa,29706458,29706458,6819110,11,1.8363979980380023,91.81989990190011
val,DrMe,DrMe,6436285,6436285,1522979,10,1.892991376236447,94.64956881182235
val,EnIn,EnIn,5280617,5280617,1145789,9,1.7358410958416413,86.79205479208207
val,PlFa,PlFa,1797342,1797342,403599,7,1.796426055809078,89.8213027904539
val,HePy,HePy,333565,333565,76378,4,1.8317988997646635,91.58994498823317
val,AeCa,AeCa,318209,318209,76336,5,1.9191411933666238,95.9570596683312
val,HaHi,HaHi,778001,778001,181248,5,1.86373025227474,93.18651261373701
val,AnCa,AnCa,28437935,28437935,5910089,5,1.6625930117640397,83.12965058820198
val,WaMe,WaMe,1828886,1828886,445631,5,1.9493002844354432,97.46501422177217
test,OrSa,OrSa,8652506,8652506,1895249,10,1.7523237776431475,87.61618888215737
test,HoSa,HoSa,37950534,37950534,8077367,12,1.7027148023793288,85.13574011896644
test,DaRe,DaRe,12513004,12513004,2351196,10,1.5032016292810264,75.16008146405132
test,ScPo,ScPo,2130431,2130431,496528,8,1.8645166165907274,93.22583082953638
test,EsCo,EsCo,928331,928331,220664,6,1.9015975982704445,95.07987991352222
test,YeMi,YeMi,14739,14739,3423,3,1.8579279462650111,92.89639731325056
test,BuEb,BuEb,3788,3788,972,1,2.0527983104540657,102.63991552270329
test,AgPh,AgPh,8794,8794,2204,2,2.005003411416875,100.25017057084375
test,GaGa,GaGa,29706460,29706460,6724228,11,1.8108459910739954,90.54229955369976
test,DrMe,DrMe,6436287,6436287,1525479,10,1.8960981696434607,94.80490848217303
test,EnIn,EnIn,5280618,5280618,1162901,9,1.7617650055353369,88.08825027676684
test,PlFa,PlFa,1797343,1797343,406104,7,1.8075748479839406,90.37874239919704
test,HePy,HePy,333565,333565,76946,4,1.8454214321046873,92.27107160523437
test,AeCa,AeCa,318211,318211,75788,5,1.9053521091351335,95.26760545675668
test,HaHi,HaHi,778001,778001,185068,5,1.9030104074416356,95.15052037208179
test,AnCa,AnCa,28437935,28437935,5925743,5,1.6669967070393825,83.34983535196912
test,WaMe,WaMe,1828887,1828887,440571,5,1.927165538384821,96.35827691924105
