window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,25819926,25822998,3071,5007.614335914084,1.6306135903334693,evo21,3072
1,3072,6144,25822998,25826070,3071,3261.3972030008445,1.0619984379683636,evo21,3072
2,6144,9216,25826070,25829142,3071,5202.0231240331195,1.6939183080537674,evo21,3072
3,9216,12288,25829142,25832214,3071,5086.567672675941,1.6563229152315015,evo21,3072
4,12288,15360,25832214,25835286,3071,4942.246489776531,1.6093280657038527,evo21,3072
5,15360,18432,25835286,25838358,3071,4553.05137284426,1.4825956928831847,evo21,3072
6,18432,21504,25838358,25841430,3071,3409.821117205429,1.1103292468920316,evo21,3072
7,21504,24576,25841430,25844502,3071,3452.838578547351,1.1243368865344678,evo21,3072
8,24576,27648,25844502,25847574,3071,3657.4184290152043,1.1909535750619356,evo21,3072
9,27648,30720,25847574,25850646,3071,4976.537959046662,1.6204942881949405,evo21,3072
10,30720,33792,25850646,25853718,3071,4602.713981458917,1.4987671707778956,evo21,3072
11,33792,36864,25853718,25856790,3071,5398.2747027128935,1.757823087825755,evo21,3072
12,36864,39936,25856790,25859862,3071,4787.18877179292,1.5588371122738263,evo21,3072
13,39936,43008,25859862,25862934,3071,4932.555295418948,1.6061723527902794,evo21,3072
14,43008,46080,25862934,25866006,3071,5632.313991129398,1.8340325597946592,evo21,3072
15,46080,49152,25866006,25869078,3071,5466.877290800912,1.7801619312279102,evo21,3072
16,49152,52224,25869078,25872150,847,777.5548686301336,0.918010470637702,evo21,3072
