window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,1557280,1560352,3072,5049.011888454088,1.6435585574394818,megabyte1,3072
1,3072,6144,1560352,1563424,3072,4818.086311386618,1.568387471154498,megabyte1,3072
2,6144,9216,1563424,1566496,3072,5467.185486599055,1.77968277558563,megabyte1,3072
3,9216,12288,1566496,1569568,3072,5512.498111145564,1.7944329788885298,megabyte1,3072
4,12288,15360,1569568,1572640,3072,5579.233033250104,1.8161565863444349,megabyte1,3072
5,15360,18432,1572640,1575712,3072,5621.984043546439,1.83007293084194,megabyte1,3072
6,18432,21504,1575712,1578784,3072,5083.542668567417,1.654799045757623,megabyte1,3072
7,21504,24576,1578784,1581856,3072,5049.110633558363,1.6435907010281128,megabyte1,3072
8,24576,27648,1581856,1584928,3072,5461.380909733855,1.7777932648873227,megabyte1,3072
9,27648,30720,1584928,1588000,3072,5575.508446964838,1.8149441559130333,megabyte1,3072
10,30720,33792,1588000,1591072,3072,5436.154117935761,1.7695814185988805,megabyte1,3072
11,33792,36864,1591072,1594144,3072,5747.996212930998,1.8710925172301425,megabyte1,3072
12,36864,39936,1594144,1597216,3072,5625.736557171946,1.8312944522044095,megabyte1,3072
13,39936,43008,1597216,1600288,3072,5740.586461418823,1.8686804887431065,megabyte1,3072
14,43008,46080,1600288,1603360,3072,5708.919868876985,1.8583723531500602,megabyte1,3072
15,46080,49152,1603360,1606432,3072,5676.54214367605,1.8478327290612142,megabyte1,3072
