window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,532343,535415,3072,5018.39324613189,1.6335915514752246,megabyte1,3072
1,3072,6144,535415,538487,3072,5459.504125419049,1.7771823324931801,megabyte1,3072
2,6144,9216,538487,541559,3072,5630.621144089339,1.8328844870082486,megabyte1,3072
3,9216,12288,541559,544631,3072,5589.592021952775,1.819528652979419,megabyte1,3072
4,12288,15360,544631,547703,3072,4850.720721359048,1.5790106514840652,megabyte1,3072
5,15360,18432,547703,550775,3072,5713.601640826271,1.8598963674564686,megabyte1,3072
6,18432,21504,550775,553847,3072,5737.825755759204,1.8677818215361992,megabyte1,3072
7,21504,24576,553847,556919,3072,5522.647799911539,1.797736914033704,megabyte1,3072
8,24576,27648,556919,559991,3072,5205.141612514384,1.6943820353236927,megabyte1,3072
9,27648,30720,559991,563063,3072,5146.8304482161175,1.6754005365286841,megabyte1,3072
10,30720,33792,563063,566135,3072,5356.086755353868,1.7435178240084206,megabyte1,3072
11,33792,36864,566135,569207,3072,4934.373529325347,1.606241383243928,megabyte1,3072
12,36864,39936,569207,572279,3072,5617.04473165644,1.828465081919414,megabyte1,3072
13,39936,43008,572279,575351,3072,5774.2743814552305,1.8796466085466246,megabyte1,3072
14,43008,46080,575351,578423,3072,4519.213458201612,1.471098130925004,megabyte1,3072
15,46080,49152,578423,581495,3072,5443.721217163795,1.7720446670455061,megabyte1,3072
16,49152,52224,581495,584567,846,1612.6067090188158,1.9061545023863071,megabyte1,3072
0,0,3072,532343,535415,3072,6128.764,1.9950403645833334,geco22,3072
1,3072,6144,535415,538487,3072,6085.244000000001,1.9808736979166668,geco22,3072
2,6144,9216,538487,541559,3072,6034.316,1.9642955729166667,geco22,3072
3,9216,12288,541559,544631,3072,6137.624,1.9979244791666666,geco22,3072
4,12288,15360,544631,547703,3072,6042.746999999999,1.9670400390624998,geco22,3072
5,15360,18432,547703,550775,3072,6045.057,1.9677919921875,geco22,3072
6,18432,21504,550775,553847,3072,5965.777,1.9419847005208333,geco22,3072
7,21504,24576,553847,556919,3072,5929.1630000000005,1.9300660807291667,geco22,3072
8,24576,27648,556919,559991,3072,5982.653,1.9474781901041667,geco22,3072
9,27648,30720,559991,563063,3072,5985.073,1.9482659505208335,geco22,3072
10,30720,33792,563063,566135,3072,5973.856000000001,1.9446145833333335,geco22,3072
11,33792,36864,566135,569207,3072,5916.334,1.9258899739583333,geco22,3072
12,36864,39936,569207,572279,3072,6075.090999999999,1.9775686848958332,geco22,3072
13,39936,43008,572279,575351,3072,6066.922,1.9749095052083332,geco22,3072
14,43008,46080,575351,578423,3072,6008.126,1.9557701822916667,geco22,3072
15,46080,49152,578423,581495,3072,6040.941999999999,1.9664524739583331,geco22,3072
16,49152,52224,581495,584567,848,1680.288,1.9814716981132077,geco22,3072
