record_index	seqid	official_length	official_acgt_length	local_acgt_start_0based	local_acgt_end_0based_exclusive
0	NW_004443936.1	1513	1513	0	1513
1	NW_004443935.1	1489	1489	1513	3002
2	NW_004443805.1	1354	1354	3002	4356
3	NW_004443803.1	73813	73213	4356	77569
4	NW_004443801.1	1116	1116	77569	78685
5	NW_004443934.1	2003	2003	78685	80688
6	NW_004443799.1	1195	1195	80688	81883
7	NW_004443797.1	1831	1831	81883	83714
8	NW_004443795.1	12686	12286	83714	96000
9	NW_004443933.1	1508	1508	96000	97508
10	NW_004443932.1	1051	1051	97508	98559
11	NW_004443793.1	66931	65631	98559	164190
12	NW_004443791.1	25592	25192	164190	189382
13	NW_004443931.1	1516	1516	189382	190898
14	NW_004443789.1	65556	64956	190898	255854
15	NW_004443930.1	3043	3043	255854	258897
16	NW_004443929.1	1007	1007	258897	259904
17	NW_004443928.1	1059	1059	259904	260963
18	NW_004443927.1	1008	1008	260963	261971
19	NW_004443787.1	1105	1105	261971	263076
20	NW_004443785.1	20352	19952	263076	283028
21	NW_004443926.1	1045	1045	283028	284073
22	NW_004443783.1	1690	1690	284073	285763
23	NW_004443925.1	1049	1049	285763	286812
24	NW_004443781.1	88686	87186	286812	373998
25	NW_004443924.1	2015	2015	373998	376013
26	NW_004443779.1	1122	1122	376013	377135
27	NW_004443777.1	17128	16628	377135	393763
28	NW_004443923.1	1077	1077	393763	394840
29	NW_004443922.1	1047	1047	394840	395887
30	NW_004443921.1	1165	1165	395887	397052
31	NW_004443920.1	1994	1994	397052	399046
32	NW_004443919.1	1627	1627	399046	400673
33	NW_004443918.1	1451	1451	400673	402124
34	NW_004443775.1	1284	1284	402124	403408
35	NW_004443917.1	1025	1025	403408	404433
36	NW_004443773.1	15712	15712	404433	420145
37	NW_004443916.1	1429	1429	420145	421574
38	NW_004443915.1	1931	1931	421574	423505
39	NW_004443914.1	1837	1837	423505	425342
40	NW_004443913.1	21590	21190	425342	446532
41	NW_004443912.1	1597	1597	446532	448129
42	NW_004443911.1	1248	1248	448129	449377
43	NW_004443770.1	488767	486567	449377	935944
44	NW_004443767.1	815694	809094	935944	1745038
45	NW_004443910.1	2286	2286	1745038	1747324
46	NW_004443909.1	1485	1485	1747324	1748809
47	NW_004443908.1	1519	1519	1748809	1750328
48	NW_004443907.1	1101	1101	1750328	1751429
49	NW_004443765.1	2582	2582	1751429	1754011
50	NW_004443763.1	342971	341671	1754011	2095682
51	NW_004443906.1	1318	1318	2095682	2097000
52	NW_004443905.1	1356	1356	2097000	2098356
53	NW_004443904.1	1083	1083	2098356	2099439
54	NW_004443903.1	1334	1334	2099439	2100773
55	NW_004443761.1	87862	86762	2100773	2187535
56	NW_004443759.1	10517	10417	2187535	2197952
57	NW_004443757.1	11911	11411	2197952	2209363
58	NW_004443755.1	77899	76699	2209363	2286062
59	NW_004443753.1	256818	255218	2286062	2541280
60	NW_004443751.1	23063	22863	2541280	2564143
61	NW_004443902.1	2002	2002	2564143	2566145
62	NW_004443901.1	1214	1214	2566145	2567359
63	NW_004443900.1	2059	2059	2567359	2569418
64	NW_004443750.1	82980	81880	2569418	2651298
65	NW_004443747.1	14449	14049	2651298	2665347
66	NW_004443899.1	1217	1217	2665347	2666564
67	NW_004443898.1	1191	1191	2666564	2667755
68	NW_004443746.1	44214	43214	2667755	2710969
69	NW_004443897.1	1107	1107	2710969	2712076
70	NW_004443744.1	9801	9601	2712076	2721677
71	NW_004443896.1	1496	1496	2721677	2723173
72	NW_004443895.1	1211	1211	2723173	2724384
73	NW_004443742.1	1102	1102	2724384	2725486
74	NW_004443740.1	12870	12770	2725486	2738256
75	NW_004443894.1	1131	1131	2738256	2739387
76	NW_004443738.1	1587	1587	2739387	2740974
77	NW_004443893.1	3849	3749	2740974	2744723
78	NW_004443736.1	144107	142807	2744723	2887530
79	NW_004443892.1	1835	1835	2887530	2889365
80	NW_004443734.1	3569	3469	2889365	2892834
81	NW_004443891.1	1368	1368	2892834	2894202
82	NW_004443732.1	115584	114384	2894202	3008586
83	NW_004443890.1	1406	1406	3008586	3009992
84	NW_004443889.1	1285	1285	3009992	3011277
85	NW_004443730.1	2529	2529	3011277	3013806
86	NW_004443728.1	26378	25878	3013806	3039684
87	NW_004443726.1	1117	1117	3039684	3040801
88	NW_004443724.1	6615	6415	3040801	3047216
89	NW_004443723.1	7023	6923	3047216	3054139
90	NW_004443720.1	224605	223005	3054139	3277144
91	NW_004443717.1	1224	1224	3277144	3278368
92	NW_004443715.1	22746	22446	3278368	3300814
93	NW_004443888.1	1044	1044	3300814	3301858
94	NW_004443887.1	1340	1340	3301858	3303198
95	NW_004443886.1	31525	31025	3303198	3334223
96	NW_004443713.1	14287	13987	3334223	3348210
97	NW_004443885.1	1015	1015	3348210	3349225
98	NW_004443884.1	1057	1057	3349225	3350282
99	NW_004443883.1	1133	1133	3350282	3351415
100	NW_004443882.1	1018	1018	3351415	3352433
101	NW_004443881.1	13418	13018	3352433	3365451
102	NW_004443711.1	1383	1383	3365451	3366834
103	NW_004443880.1	10986	10686	3366834	3377520
104	NW_004443709.1	10592	10292	3377520	3387812
105	NW_004443879.1	1113	1113	3387812	3388925
106	NW_004443878.1	2338	2338	3388925	3391263
107	NW_004443707.1	32715	32115	3391263	3423378
108	NW_004443877.1	1289	1289	3423378	3424667
109	NW_004443876.1	1112	1112	3424667	3425779
110	NW_004443705.1	44363	44163	3425779	3469942
111	NW_004443875.1	1404	1404	3469942	3471346
112	NW_004443703.1	32638	32038	3471346	3503384
113	NW_004443874.1	1101	1101	3503384	3504485
114	NW_004443873.1	1313	1313	3504485	3505798
