window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10315817,10318889,3071,4821.817210984271,1.5701130612127225,evo21,3072
1,3072,6144,10318889,10321961,3071,5892.5931597314775,1.918786440811292,evo21,3072
2,6144,9216,10321961,10325033,3071,5181.415547147859,1.687207928084617,evo21,3072
3,9216,12288,10325033,10328105,3071,5721.632336331997,1.8631170095512852,evo21,3072
4,12288,15360,10328105,10331177,3071,5256.590465993009,1.711686898727779,evo21,3072
5,15360,18432,10331177,10334249,3071,5842.13760717446,1.9023567590929533,evo21,3072
6,18432,21504,10334249,10337321,3071,5634.247672467027,1.8346622183220538,evo21,3072
7,21504,24576,10337321,10340393,3071,4031.4786397154967,1.3127576163189505,evo21,3072
8,24576,27648,10340393,10343465,3071,5338.173453565629,1.738252508487668,evo21,3072
9,27648,30720,10343465,10346537,3071,5533.233443200588,1.8017692748943628,evo21,3072
10,30720,33792,10346537,10349609,3071,5934.145119488239,1.9323168738157732,evo21,3072
11,33792,36864,10349609,10352681,3071,5822.908401149325,1.896095213659826,evo21,3072
12,36864,39936,10352681,10355753,3071,5733.643188353628,1.8670280652405171,evo21,3072
13,39936,43008,10355753,10358825,3071,5604.025174575043,1.8248209620889102,evo21,3072
14,43008,46080,10358825,10361897,3071,5916.473211769015,1.9265624264959345,evo21,3072
15,46080,49152,10361897,10364969,3071,5828.437498847954,1.8978956362253188,evo21,3072
16,49152,52224,10364969,10368041,847,1599.9072391260415,1.8889105538678177,evo21,3072
