window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,532343,535415,3071,4397.601188517932,1.4319769418814499,evo21,3072
1,3072,6144,535415,538487,3071,4882.189831986208,1.5897720065080458,evo21,3072
2,6144,9216,538487,541559,3071,4793.984007366584,1.561049823304,evo21,3072
3,9216,12288,541559,544631,3071,4984.648128260567,1.6231351769002174,evo21,3072
4,12288,15360,544631,547703,3071,4239.667453320493,1.3805494800783111,evo21,3072
5,15360,18432,547703,550775,3071,5233.7174101851415,1.7042388180348882,evo21,3072
6,18432,21504,550775,553847,3071,4819.898891909048,1.569488405050162,evo21,3072
7,21504,24576,553847,556919,3071,5089.575085626435,1.6573022095820367,evo21,3072
8,24576,27648,556919,559991,3071,4060.577052102133,1.322232840150483,evo21,3072
9,27648,30720,559991,563063,3071,4689.500101799786,1.5270270601757687,evo21,3072
10,30720,33792,563063,566135,3071,5024.092537467048,1.6359793348964662,evo21,3072
11,33792,36864,566135,569207,3071,4471.192223369901,1.4559401573982091,evo21,3072
12,36864,39936,569207,572279,3071,5401.838527785498,1.7589835648927052,evo21,3072
13,39936,43008,572279,575351,3071,5409.951867010212,1.761625485838558,evo21,3072
14,43008,46080,575351,578423,3071,3862.128024068763,1.2576125119077703,evo21,3072
15,46080,49152,578423,581495,3071,5048.859716863895,1.644044193052392,evo21,3072
16,49152,52224,581495,584567,847,1406.0505253702868,1.6600360393982134,evo21,3072
