window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,6892120,6895192,3072,5654.7626953125,1.840743064880371,megabyte1,3072
1,3072,6144,6895192,6898264,3072,5452.328895568848,1.7748466456929843,megabyte1,3072
2,6144,9216,6898264,6901336,3072,5628.29345703125,1.83212677637736,megabyte1,3072
3,9216,12288,6901336,6904408,3072,5526.736328125,1.7990678151448567,megabyte1,3072
4,12288,15360,6904408,6907480,3072,5650.447601318359,1.8393384118874867,megabyte1,3072
5,15360,18432,6907480,6910552,3072,5623.934326171875,1.8307077884674072,megabyte1,3072
6,18432,21504,6910552,6913624,3072,5641.2431640625,1.836342175801595,megabyte1,3072
7,21504,24576,6913624,6916696,3072,5608.590087890625,1.8257129192352295,megabyte1,3072
8,24576,27648,6916696,6919768,3072,5477.45768737793,1.7830265909433365,megabyte1,3072
9,27648,30720,6919768,6922840,3072,5602.992431640625,1.8238907655080159,megabyte1,3072
10,30720,33792,6922840,6925912,3072,5623.43017578125,1.8305436770121257,megabyte1,3072
11,33792,36864,6925912,6928984,3072,5662.633056640625,1.8433050314585369,megabyte1,3072
12,36864,39936,6928984,6932056,3072,5445.216644287109,1.7725314597288768,megabyte1,3072
13,39936,43008,6932056,6935128,3072,5530.507873535156,1.8002955317497253,megabyte1,3072
14,43008,46080,6935128,6938200,3072,5685.0087890625,1.8505887985229492,megabyte1,3072
15,46080,49152,6938200,6941272,3072,5654.141662597656,1.8405409057935078,megabyte1,3072
16,49152,52224,6941272,6944344,848,1556.2255859375,1.8351716815300707,megabyte1,3072
0,0,3072,6892120,6895192,3072,5613.55908203125,1.8273304303487141,geco22,3072
1,3072,6144,6895192,6898264,3072,5420.892517089844,1.7646134495735168,geco22,3072
2,6144,9216,6898264,6901336,3072,5577.72314453125,1.8156650861104329,geco22,3072
3,9216,12288,6901336,6904408,3072,5557.665771484375,1.8091359933217366,geco22,3072
4,12288,15360,6904408,6907480,3072,5645.784973144531,1.8378206292788188,geco22,3072
5,15360,18432,6907480,6910552,3072,5566.720703125,1.8120835622151692,geco22,3072
6,18432,21504,6910552,6913624,3072,5619.1358642578125,1.8291457891464233,geco22,3072
7,21504,24576,6913624,6916696,3072,5591.7080078125,1.820217450459798,geco22,3072
8,24576,27648,6916696,6919768,3072,5577.391937255859,1.8155572712421417,geco22,3072
9,27648,30720,6919768,6922840,3072,5325.473205566406,1.7335524757703145,geco22,3072
10,30720,33792,6922840,6925912,3072,5616.333984375,1.8282337188720703,geco22,3072
11,33792,36864,6925912,6928984,3072,5676.793701171875,1.8479146162668865,geco22,3072
12,36864,39936,6928984,6932056,3072,5513.803573608398,1.7948579341173172,geco22,3072
13,39936,43008,6932056,6935128,3072,5565.292541503906,1.8116186658541362,geco22,3072
14,43008,46080,6935128,6938200,3072,5644.18359375,1.8372993469238281,geco22,3072
15,46080,49152,6938200,6941272,3072,5624.51318359375,1.830896218617757,geco22,3072
16,49152,52224,6941272,6944344,848,1553.15380859375,1.8315493025869694,geco22,3072
