window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,2012990,2016062,3071,2017.9121702178963,0.6570863465379018,evo21,3072
1,3072,6144,2016062,2019134,3071,2431.0872872290784,0.7916272508072544,evo21,3072
2,6144,9216,2019134,2022206,3071,2159.649258006393,0.7032397453618995,evo21,3072
3,9216,12288,2022206,2025278,3071,2516.6261166870245,0.8194809888267744,evo21,3072
4,12288,15360,2025278,2028350,3071,3444.456164146599,1.121607347491566,evo21,3072
5,15360,18432,2028350,2031422,3071,2159.3009670746396,0.7031263324892998,evo21,3072
6,18432,21504,2031422,2034494,3071,3137.5303531332756,1.021664068099406,evo21,3072
7,21504,24576,2034494,2037566,3071,3687.7628925131867,1.200834546568931,evo21,3072
8,24576,27648,2037566,2040638,3071,3079.6229550215066,1.0028078655231216,evo21,3072
9,27648,30720,2040638,2043710,3071,3933.0025811587693,1.280691169377652,evo21,3072
10,30720,33792,2043710,2046782,3071,2854.012437340105,0.9293430274634011,evo21,3072
11,33792,36864,2046782,2049854,3071,4305.887389735319,1.4021124681651966,evo21,3072
12,36864,39936,2049854,2052926,3071,5161.436429389287,1.6807021912697124,evo21,3072
13,39936,43008,2052926,2055998,3071,2562.753180231579,0.8345011983821488,evo21,3072
14,43008,46080,2055998,2059070,3071,2961.6903976743633,0.96440586052568,evo21,3072
15,46080,49152,2059070,2062142,3071,2526.7465244636987,0.8227764651461084,evo21,3072
16,49152,52224,2062142,2065214,847,706.3218396363081,0.8339100822152399,evo21,3072
