window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,171874,174946,3072,5582.108331680298,1.8170925558855135,megabyte1,3072
1,3072,6144,174946,178018,3072,4141.66559535265,1.3481984359871906,megabyte1,3072
2,6144,9216,178018,181090,3072,4831.018754959106,1.5725972509632509,megabyte1,3072
3,9216,12288,181090,184162,3072,5448.8499755859375,1.7737141847610474,megabyte1,3072
4,12288,15360,184162,187234,3072,4187.893036603928,1.3632464311861743,megabyte1,3072
5,15360,18432,187234,190306,3072,5178.49444270134,1.6857078264001757,megabyte1,3072
6,18432,21504,190306,193378,3072,4439.580298900604,1.4451758785483737,megabyte1,3072
7,21504,24576,193378,196450,3072,3979.336165189743,1.295356824606036,megabyte1,3072
8,24576,27648,196450,199522,3072,4860.956073760986,1.5823424719274044,megabyte1,3072
9,27648,30720,199522,202594,3072,5351.133319854736,1.7419053775568802,megabyte1,3072
10,30720,33792,202594,205666,3072,5425.26953125,1.7660382588704426,megabyte1,3072
11,33792,36864,205666,208738,3072,5110.9132080078125,1.6637087265650432,megabyte1,3072
12,36864,39936,208738,211810,3072,5002.873464584351,1.6285395392527182,megabyte1,3072
13,39936,43008,211810,214882,3072,5664.339292526245,1.843860446785887,megabyte1,3072
14,43008,46080,214882,217954,3072,5880.477966308594,1.9142180879910786,megabyte1,3072
15,46080,49152,217954,221026,3072,5750.077331542969,1.8717699646949768,megabyte1,3072
16,49152,52224,221026,224098,848,1522.16845703125,1.79500997291421,megabyte1,3072
0,0,3072,171874,174946,3072,5795.11279296875,1.8864299456278484,geco22,3072
1,3072,6144,174946,178018,3072,5442.8857421875,1.7717727025349934,geco22,3072
2,6144,9216,178018,181090,3072,5443.217132568359,1.7718805770079296,geco22,3072
3,9216,12288,181090,184162,3072,5676.509521484375,1.847822109858195,geco22,3072
4,12288,15360,184162,187234,3072,5605.99072265625,1.824866771697998,geco22,3072
5,15360,18432,187234,190306,3072,5604.4521484375,1.8243659337361653,geco22,3072
6,18432,21504,190306,193378,3072,5652.30029296875,1.8399415016174316,geco22,3072
7,21504,24576,193378,196450,3072,5590.107666015625,1.8196965058644612,geco22,3072
8,24576,27648,196450,199522,3072,5741.1845703125,1.8688751856486003,geco22,3072
9,27648,30720,199522,202594,3072,5673.30908203125,1.8467803001403809,geco22,3072
10,30720,33792,202594,205666,3072,5671.6630859375,1.84624449412028,geco22,3072
11,33792,36864,205666,208738,3072,5602.761962890625,1.8238157431284587,geco22,3072
12,36864,39936,208738,211810,3072,5597.128662109375,1.8219819863637288,geco22,3072
13,39936,43008,211810,214882,3072,6139.054931640625,1.9983902772267659,geco22,3072
14,43008,46080,214882,217954,3072,6295.9482421875,2.04946231842041,geco22,3072
15,46080,49152,217954,221026,3072,5922.399963378906,1.9278645714124043,geco22,3072
16,49152,52224,221026,224098,848,1609.1669921875,1.8976025851267688,geco22,3072
