window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.993380706,1.607939246,1.943995317
1,0.004608000,1.982381344,1.593938114,1.916164110
2,0.007680000,1.985276540,1.593095588,1.948019743
3,0.010752000,1.979701201,1.799743650,1.943353573
4,0.013824000,1.963306586,0.930241475,1.946976662
5,0.016896000,1.984448632,1.754873878,1.316670934
6,0.019968000,1.993887424,1.785001816,1.517966340
7,0.023040000,1.957493305,1.283008137,1.944765409
8,0.026112000,1.957180182,1.556119401,1.928451081
9,0.029184000,1.960692565,1.449855150,1.943820477
10,0.032256000,1.918662707,0.853535713,1.934255759
11,0.035328000,1.970831394,1.652921770,1.946806033
12,0.038400000,1.943755388,1.653556469,1.927871992
13,0.041472000,1.965181192,1.738966198,1.936800659
14,0.044544000,1.929524740,1.715443129,1.910827796
15,0.047616000,1.922838529,1.563218466,1.935087204
16,0.050688000,1.937971751,1.717467618,1.948265950
17,0.053760000,1.952990850,1.573595057,1.948090712
18,0.056832000,1.975315173,1.836330644,1.959652623
19,0.059904000,1.945545177,1.742779293,1.931529999
20,0.062976000,1.927480857,1.673751153,1.931354205
21,0.066048000,1.843244801,1.704529172,1.855842272
22,0.069120000,1.939857960,1.660279493,1.939937035
23,0.072192000,1.911109368,1.596983352,1.895044044
24,0.075264000,1.928066095,1.703020295,1.934150537
25,0.078336000,1.937402089,1.567048475,1.942591111
26,0.081408000,1.932748795,1.255298264,1.939463774
27,0.084480000,1.974002838,1.697763847,1.965433200
28,0.087552000,1.956087589,1.439403411,1.953009605
29,0.090624000,1.949721813,1.580251736,1.954711596
30,0.093696000,1.930858135,1.441959598,1.941788197
31,0.096768000,1.923440933,1.349309829,1.934318384
32,0.099840000,1.925489426,1.356735775,1.939778805
33,0.102912000,1.947222153,1.533733086,1.955994527
34,0.105984000,1.952836672,1.379750772,1.959045092
35,0.109056000,1.933840911,1.245378392,1.941787521
36,0.112128000,1.922154665,1.769203156,1.916529795
37,0.115200000,1.929712137,1.481567798,1.946438471
38,0.118272000,1.953953584,1.757339436,1.959873120
39,0.121344000,1.954090754,1.520780863,1.945542336
40,0.124416000,1.939737956,1.096113971,1.921715816
41,0.127488000,1.860953232,1.145493668,1.863159378
42,0.130560000,1.928622365,1.803092619,1.945067565
43,0.133632000,1.915149371,1.246420475,1.944196701
44,0.136704000,1.934408665,1.819807785,1.943247795
45,0.139776000,1.905650477,1.602095620,1.906618019
46,0.142848000,1.941497644,1.343142841,1.949554284
47,0.145920000,1.950368563,1.848382437,1.958281835
48,0.148992000,1.960057735,1.600811396,1.959597111
49,0.152064000,1.999429544,1.866420031,1.979834557
50,0.155136000,1.988682111,1.865228256,1.976651351
51,0.158208000,1.945155938,1.674233506,1.949091911
52,0.161280000,1.949623903,1.717762194,1.953707377
53,0.164352000,1.924288750,1.646579836,1.926550110
54,0.167424000,1.927276293,1.643043920,1.948990345
55,0.170496000,1.923676173,1.593501537,1.935515881
56,0.173568000,1.891645585,1.383037916,1.914410626
57,0.176640000,1.934094111,1.622054475,1.947674990
58,0.179712000,1.947528044,1.797318507,1.956424077
59,0.182784000,1.923937956,1.628468820,1.943335374
60,0.185856000,1.932452361,1.563484488,1.942645550
61,0.188928000,1.943981965,1.451936478,1.955531756
62,0.192000000,1.939206521,1.324041704,1.941428900
63,0.195072000,1.951952140,1.464546265,1.963125865
64,0.198144000,1.951742808,1.555596379,1.969453653
65,0.201216000,1.956890106,1.539777866,1.965975285
66,0.204288000,1.913677057,1.379136031,1.939854463
67,0.207360000,1.930806001,1.246091877,1.951698303
68,0.210432000,1.926208496,1.640832296,1.943719149
69,0.213504000,1.923932950,1.774648153,1.943082492
70,0.216576000,1.917227392,1.634105786,1.921461076
71,0.219648000,1.949309349,1.544607685,1.954526265
72,0.222720000,1.957405090,1.486615594,1.484688525
73,0.225792000,2.025894165,1.025277110,0.163794617
74,0.228864000,1.997491678,1.214870067,1.078713824
