window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,360757,363829,3072,4663.853370666504,1.518181435763836,megabyte1,3072
1,3072,6144,363829,366901,3072,4446.491469979286,1.4474256087172155,megabyte1,3072
2,6144,9216,366901,369973,3072,5293.069396018982,1.7230043606832623,megabyte1,3072
3,9216,12288,369973,373045,3072,5091.434578895569,1.6573680269842346,megabyte1,3072
4,12288,15360,373045,376117,3072,5122.552489757538,1.6674975552596152,megabyte1,3072
5,15360,18432,376117,379189,3072,5005.537793934345,1.629406833963003,megabyte1,3072
6,18432,21504,379189,382261,3072,5012.279764413834,1.6316014858117949,megabyte1,3072
7,21504,24576,382261,385333,3072,5562.388671875,1.8106733957926433,megabyte1,3072
8,24576,27648,385333,388405,3072,5476.339141845703,1.7826624810695648,megabyte1,3072
9,27648,30720,388405,391477,3072,4813.256146669388,1.566815151910608,megabyte1,3072
10,30720,33792,391477,394549,3072,5166.072194337845,1.6816641257610172,megabyte1,3072
11,33792,36864,394549,397621,3072,5121.5377740859985,1.6671672441686194,megabyte1,3072
12,36864,39936,397621,400693,3072,5333.943132400513,1.7363096134116252,megabyte1,3072
13,39936,43008,400693,403765,3072,4682.690459012985,1.524313300459956,megabyte1,3072
14,43008,46080,403765,406837,3072,5381.9157474040985,1.7519256990247716,megabyte1,3072
15,46080,49152,406837,409909,3072,5190.8944482803345,1.689744286549588,megabyte1,3072
16,49152,52224,409909,412981,848,1282.7904739379883,1.5127246154929108,megabyte1,3072
0,0,3072,360757,363829,3072,5610.8427734375,1.8264462153116863,geco22,3072
1,3072,6144,363829,366901,3072,5638.556640625,1.8354676564534504,geco22,3072
2,6144,9216,366901,369973,3072,5658.485107421875,1.8419547875722249,geco22,3072
3,9216,12288,369973,373045,3072,5602.5595703125,1.8237498601277669,geco22,3072
4,12288,15360,373045,376117,3072,5658.63037109375,1.8420020739237468,geco22,3072
5,15360,18432,376117,379189,3072,5695.099609375,1.853873570760091,geco22,3072
6,18432,21504,379189,382261,3072,5764.435546875,1.876443862915039,geco22,3072
7,21504,24576,382261,385333,3072,5625.934326171875,1.831358830134074,geco22,3072
8,24576,27648,385333,388405,3072,5632.279541015625,1.8334243297576904,geco22,3072
9,27648,30720,388405,391477,3072,5693.9808349609375,1.8535093863805134,geco22,3072
10,30720,33792,391477,394549,3072,5566.72412109375,1.812084674835205,geco22,3072
11,33792,36864,394549,397621,3072,5559.484375,1.8097279866536458,geco22,3072
12,36864,39936,397621,400693,3072,5671.734069824219,1.8462676008542378,geco22,3072
13,39936,43008,400693,403765,3072,5744.642578125,1.8700008392333984,geco22,3072
14,43008,46080,403765,406837,3072,5666.39697265625,1.8445302645365398,geco22,3072
15,46080,49152,406837,409909,3072,5595.57177734375,1.8214751879374187,geco22,3072
16,49152,52224,409909,412981,848,1586.71240234375,1.8711231159714032,geco22,3072
