model,model_window_position,base_count,mean_bpb
megabyte1,0,15,1.9950520833333334
megabyte1,1,15,1.9268880208333334
megabyte1,2,15,1.9666666666666666
megabyte1,3,15,2.13203125
megabyte1,4,15,2.0746744791666667
megabyte1,5,15,1.9727864583333334
megabyte1,6,15,2.0805338541666667
megabyte1,7,15,1.966015625
megabyte1,8,15,2.0057942708333334
megabyte1,9,15,2.141861979166667
megabyte1,10,15,2.0930989583333335
megabyte1,11,15,1.9878255208333333
megabyte1,12,15,2.1192057291666666
megabyte1,13,15,1.8686848958333333
megabyte1,14,15,1.8570963541666667
megabyte1,15,15,2.0315755208333335
megabyte1,16,15,1.9279296875
megabyte1,17,15,2.199934895833333
megabyte1,18,15,1.9125651041666667
megabyte1,19,15,1.8654947916666667
megabyte1,20,15,2.025130208333333
megabyte1,21,15,1.88203125
megabyte1,22,15,1.7262044270833334
megabyte1,23,15,1.8167887369791667
megabyte1,24,15,1.7019048055013022
megabyte1,25,15,1.9811492919921876
megabyte1,26,15,1.936358642578125
megabyte1,27,15,1.7161387125651042
megabyte1,28,15,1.8349222819010416
megabyte1,29,15,2.1061197916666665
megabyte1,30,15,2.025801595052083
megabyte1,31,15,1.70126953125
megabyte1,32,15,1.9493133544921875
megabyte1,33,15,1.8143758138020833
megabyte1,34,15,1.8598958333333333
megabyte1,35,15,1.7558268229166667
megabyte1,36,15,1.6841145833333333
megabyte1,37,15,1.9642740885416667
megabyte1,38,15,1.8384358723958334
megabyte1,39,15,1.9456380208333333
megabyte1,40,15,1.5605794270833333
megabyte1,41,15,1.8938130696614583
megabyte1,42,15,1.7347152709960938
megabyte1,43,15,1.7172932942708334
megabyte1,44,15,1.8742594401041666
megabyte1,45,15,1.8356648763020833
megabyte1,46,15,1.6630452473958333
megabyte1,47,15,2.4508463541666665
megabyte1,48,15,2.13984375
megabyte1,49,15,1.93046875
megabyte1,50,15,2.0972005208333333
megabyte1,51,15,1.9926432291666667
megabyte1,52,15,2.0741536458333334
megabyte1,53,15,1.8010416666666667
megabyte1,54,15,2.004166666666667
megabyte1,55,15,2.0693359375
megabyte1,56,15,2.0493489583333333
megabyte1,57,15,1.8171875
megabyte1,58,15,1.7419921875
megabyte1,59,15,1.8626302083333333
megabyte1,60,15,1.7964192708333333
megabyte1,61,15,1.8849609375
megabyte1,62,15,1.8548177083333333
megabyte1,63,15,1.9810546875
megabyte1,64,15,1.7319661458333333
megabyte1,65,15,1.7858072916666667
megabyte1,66,15,1.6717447916666666
megabyte1,67,15,1.9965494791666667
megabyte1,68,15,1.801171875
megabyte1,69,15,1.8897135416666666
megabyte1,70,15,1.8624348958333334
megabyte1,71,15,1.8929036458333333
megabyte1,72,15,1.8931966145833334
megabyte1,73,15,2.2075520833333333
megabyte1,74,15,1.8442057291666667
megabyte1,75,15,1.773046875
megabyte1,76,15,1.634765625
megabyte1,77,15,1.893359375
megabyte1,78,15,2.0132161458333333
megabyte1,79,15,2.063671875
megabyte1,80,15,1.9838541666666667
megabyte1,81,15,1.7878255208333333
megabyte1,82,15,1.759765625
megabyte1,83,15,1.9130859375
megabyte1,84,15,2.0021484375
megabyte1,85,15,1.8513020833333333
megabyte1,86,15,1.6450520833333333
megabyte1,87,15,1.7784505208333334
megabyte1,88,15,1.8312174479166667
megabyte1,89,15,2.1946614583333335
megabyte1,90,15,1.98828125
megabyte1,91,15,1.9442708333333334
megabyte1,92,15,1.8539713541666667
megabyte1,93,15,1.8551432291666667
megabyte1,94,15,1.9114583333333333
megabyte1,95,15,2.0421875
megabyte1,96,15,1.7027994791666667
megabyte1,97,15,1.8651041666666666
megabyte1,98,15,2.0607421875
megabyte1,99,15,1.87509765625
megabyte1,100,15,1.858203125
megabyte1,101,15,1.8255208333333333
megabyte1,102,15,1.7001627604166667
megabyte1,103,15,1.9018880208333333
megabyte1,104,15,2.0029947916666666
megabyte1,105,15,1.6763997395833334
megabyte1,106,15,1.78173828125
megabyte1,107,15,1.984765625
megabyte1,108,15,1.7192057291666667
megabyte1,109,15,1.8604166666666666
megabyte1,110,15,2.1005859375
megabyte1,111,15,1.8380208333333334
megabyte1,112,15,1.9795572916666666
megabyte1,113,15,2.2060546875
megabyte1,114,15,1.8135091145833333
