window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10194283,10197355,3072,5845.269900202751,1.9027571289722498,carbon1,3072
1,3072,6144,10197355,10200427,3072,5794.347890764475,1.8861809540248942,carbon1,3072
2,6144,9216,10200427,10203499,3072,5846.942776978016,1.903301685214198,carbon1,3072
3,9216,12288,10203499,10206571,3072,5974.605069279671,1.9448584209894761,carbon1,3072
4,12288,15360,10206571,10209643,3072,5893.226822376251,1.9183681062422693,carbon1,3072
5,15360,18432,10209643,10212715,3072,5887.512264609337,1.916507898635852,carbon1,3072
6,18432,21504,10212715,10215787,3072,5938.545709073544,1.9331203480057109,carbon1,3072
7,21504,24576,10215787,10218859,3072,5834.242291510105,1.8991674126009457,carbon1,3072
8,24576,27648,10218859,10221931,3072,5898.442381203175,1.9200658792979084,carbon1,3072
9,27648,30720,10221931,10225003,3072,5927.1129555255175,1.9293987485434627,carbon1,3072
10,30720,33792,10225003,10228075,3072,5799.612836839631,1.8878948036587342,carbon1,3072
11,33792,36864,10228075,10231147,3072,5858.599244773388,1.9070961083246705,carbon1,3072
12,36864,39936,10231147,10234219,3072,5844.432757601142,1.9024846216149551,carbon1,3072
13,39936,43008,10234219,10237291,3072,5578.217252926028,1.815825928686858,carbon1,3072
14,43008,46080,10237291,10240363,3072,5934.060700088739,1.9316603841434699,carbon1,3072
15,46080,49152,10240363,10243435,3072,5855.561070524156,1.9061071193112487,carbon1,3072
16,49152,52224,10243435,10246507,848,1594.82989731431,1.8806956336253657,carbon1,3072
