window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1796899.9193470478,1.7968999193470478,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1792705.3749361038,1.7927053749361037,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1799743.6587729454,1.7997436587729454,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1806264.74716115,1.80626474716115,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1781736.8251974583,1.7817368251974584,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1797736.2369209528,1.7977362369209529,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1810313.6707524061,1.8103136707524061,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1805975.8800497055,1.8059758800497054,megabyte1,1000000
8,8000000,8986710,8000000,8986710,986710,1777171.3326443434,1.8011080587450652,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1741789.4078788757,1.7417894078788758,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1684081.5156707764,1.6840815156707765,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1668410.471868515,1.668410471868515,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1660155.658794403,1.660155658794403,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1675455.1429023743,1.6754551429023743,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1730274.0147800446,1.7302740147800446,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1725102.9891719818,1.7251029891719818,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1749341.878479004,1.7493418784790038,geco22,1000000
8,8000000,8986712,8000000,8986712,986712,1770449.7816371918,1.7942923382275595,geco22,1000000
