window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,1.199489000,1.893910925,1.883597215,1.586217095
1,1.202561000,1.238353729,1.869604905,1.160166500
2,1.205633000,1.809014767,1.905696551,1.506670532
3,1.208705000,1.858114421,1.909655730,1.399094805
4,1.211777000,1.784628799,1.897595088,1.356663192
5,1.214849000,1.853483200,1.893571377,1.371626899
6,1.217921000,1.806768576,1.890755455,1.573324159
7,1.220993000,1.813858370,1.876217326,1.857161085
8,1.224065000,1.355451167,1.853141179,1.872715751
9,1.227137000,1.893101215,1.862052421,0.985375710
10,1.230209000,1.887329578,1.787041133,0.917056829
11,1.233281000,1.868431211,1.822437420,1.536279184
12,1.236353000,1.584196428,1.885688305,1.173860860
13,1.239425000,1.420200398,1.895491441,1.230399042
14,1.242497000,1.082158377,1.917996566,1.020273832
15,1.245569000,1.621157805,1.896657308,1.473055080
16,1.248641000,1.912654638,1.881498178,1.724007656
17,1.251713000,1.946079731,1.883124828,1.953063170
18,1.254785000,1.156588872,1.891122500,1.219793186
19,1.257857000,1.681762536,1.895573616,1.512284527
20,1.260929000,1.939412594,1.858621635,0.953894258
21,1.264001000,1.902553320,1.909057697,1.624318356
22,1.267073000,1.949907939,1.921541532,1.959063530
23,1.270145000,1.936085860,1.873526772,1.943410397
24,1.273217000,1.637688374,1.903608004,1.713997498
25,1.276289000,1.889249484,1.854391098,1.891668479
26,1.279361000,1.925821304,1.938165347,1.549584374
27,1.282433000,1.917668422,1.920801640,1.095076084
28,1.285505000,1.821085970,1.926060217,1.741837798
29,1.288577000,1.924907366,1.903278748,1.932016214
30,1.291649000,1.927027225,1.863491456,1.932146390
31,1.294721000,1.822710415,1.907881260,1.725195177
32,1.297793000,1.657479107,1.907413006,0.982376859
33,1.300865000,1.810582409,1.892742276,1.089409160
34,1.303937000,1.700819016,1.908821424,1.343927309
35,1.307009000,1.789795240,1.918909868,1.472949733
36,1.310081000,1.935704867,1.913762728,1.939969222
37,1.313153000,1.928122520,1.941434066,1.923023065
38,1.316225000,1.953421593,1.915114482,1.960135937
39,1.319297000,1.866927902,1.901087791,1.769279609
40,1.322369000,1.903127432,1.885070483,1.132913580
41,1.325441000,1.929439545,1.908150593,1.937809626
42,1.328513000,1.906718095,1.913431883,1.913564126
43,1.331585000,1.876451492,1.872627417,1.889914036
44,1.334657000,1.638022592,1.865752220,1.600428312
45,1.337729000,1.878282229,1.857617060,1.194935272
46,1.340801000,1.825829615,1.869036992,1.180947227
47,1.343873000,0.970179752,1.920566718,0.698385037
48,1.346945000,1.627529715,1.911330382,0.958392695
49,1.350017000,1.201471716,1.892443895,0.819012302
50,1.353089000,1.125562092,1.802080919,1.712680409
51,1.356161000,1.934763114,1.791737141,1.937579155
52,1.359233000,1.932760874,1.829379380,1.944363753
53,1.362305000,1.911502838,1.906018575,1.648252115
54,1.365377000,1.855102574,1.901475588,1.811053947
55,1.368449000,1.907594681,1.889793555,1.915920456
56,1.371521000,1.638014992,1.874682824,1.643464342
57,1.374593000,0.779355864,1.893291235,0.925168246
58,1.377665000,1.338352809,1.904348294,0.585243517
59,1.380737000,1.920106252,1.902437131,1.930455844
60,1.383809000,1.934452136,1.912792683,1.944788297
61,1.386881000,1.915267944,1.868546724,1.266514808
62,1.389953000,1.933247884,1.865229766,1.945089420
63,1.393025000,1.918652058,1.840579430,1.030281489
64,1.396097000,1.249688072,1.914743026,0.968656518
65,1.399169000,1.828262607,1.887110233,1.703935073
66,1.402241000,1.882509540,1.879047235,1.888543844
67,1.405313000,1.906487147,1.873650233,1.901811729
68,1.408385000,1.841117183,1.856587052,1.352130706
69,1.411457000,1.807357848,1.863895997,1.710204611
70,1.414529000,1.921423912,1.898867647,1.895381292
71,1.417601000,1.882068237,1.764614185,1.879148801
72,1.420673000,1.857901474,1.862963930,1.813626349
73,1.423745000,1.891654968,1.850323816,1.902054310
74,1.426817000,1.856696089,1.905124823,1.647129387
75,1.429889000,1.767032484,1.892700493,1.169182852
76,1.432961000,1.936763128,1.876794934,1.350467230
77,1.436033000,1.900075595,1.846566677,1.643678556
78,1.439105000,1.737417807,1.855174243,1.227915928
79,1.442177000,1.727084915,1.895493825,1.612028681
80,1.445249000,1.666397363,1.887292107,1.602968775
81,1.448321000,1.445600828,1.905070464,1.098280001
82,1.451393000,1.865701795,1.901411851,1.450168791
83,1.454465000,1.805362662,1.873035749,1.454850584
84,1.457537000,1.620739321,1.888251146,1.367657989
85,1.460609000,1.844313383,1.886811097,1.406945313
86,1.463681000,1.798502892,1.885528406,1.372134609
87,1.466753000,1.870464881,1.876426379,1.487145419
88,1.469825000,1.893149376,1.864037315,1.098189900
89,1.472897000,1.863957167,1.875867526,1.420355231
90,1.475969000,1.528403461,1.923585574,1.256333930
91,1.479041000,1.436332335,1.918563207,1.217745282
92,1.482113000,1.904722850,1.900291182,1.731775368
93,1.485185000,1.625858297,1.895621518,1.268048309
94,1.488257000,1.161256035,1.856104533,1.847717772
95,1.491329000,1.898131867,1.889474710,1.909848909
96,1.494401000,1.873548826,1.860399922,1.885287603
97,1.497473000,1.911575953,1.853820086,1.916016738
98,1.500545000,1.913989385,1.911717892,1.832213581
99,1.503617000,1.867182891,1.903117339,1.788801695
100,1.506689000,1.577730189,1.877960205,0.589156811
101,1.509761000,1.741458009,1.915637970,0.446565870
102,1.512833000,1.844751885,1.903223753,1.162544911
103,1.515905000,1.917929808,1.879483667,1.927833875
104,1.518977000,1.930422624,1.889766842,1.935385625
105,1.522049000,1.925128778,1.856394677,1.933276176
106,1.525121000,1.932582696,1.873656591,1.941067378
107,1.528193000,1.919467290,1.901936849,1.927880287
108,1.531265000,1.921309710,1.868963977,1.930014133
109,1.534337000,1.934131463,1.889155785,1.942338308
110,1.537409000,1.945464134,1.919134458,1.956459363
111,1.540481000,1.114005114,1.896649837,0.964298735
112,1.543553000,1.940268199,1.642457489,0.925373512
113,1.546625000,1.857862453,1.895347277,1.322058856
114,1.549697000,1.676841140,1.882935127,1.417256796
115,1.552769000,1.888058364,1.905243456,1.295137122
116,1.555841000,1.464686041,1.835290313,1.353037172
117,1.558913000,1.575797081,1.844557762,1.108309165
118,1.561985000,1.865159372,1.895665963,1.839691033
119,1.565057000,1.942076325,1.900959015,1.795705616
120,1.568129000,1.921942870,1.890162781,1.929649512
121,1.571201000,1.925806999,1.910408219,1.936029991
122,1.574273000,1.852265298,1.927595297,1.840265324
123,1.577345000,1.914625168,1.906578064,1.927146276
124,1.580417000,1.932005088,1.930858294,1.937441190
125,1.583489000,1.895985395,1.889517903,1.908312559
126,1.586561000,1.961315393,1.893267035,1.965181828
127,1.589633000,1.919726213,1.897987525,1.931232929
128,1.592705000,1.909060717,1.819362104,1.915182908
129,1.595777000,1.928491036,1.893103520,1.937590281
130,1.598849000,1.924467087,1.873669465,1.932014704
131,1.601921000,1.931958040,1.920650562,1.940178156
132,1.604993000,1.907486916,1.923204700,1.916259925
133,1.608065000,1.931012154,1.913267016,1.944764773
134,1.611137000,1.940842470,1.906522274,1.945866028
135,1.614209000,0.620289723,1.616724903,0.815383558
136,1.617281000,1.777517378,1.841593971,1.939922015
137,1.620353000,1.933574835,1.922742685,1.897321661
138,1.623425000,1.923209667,1.863633504,1.908866048
139,1.626497000,1.936291059,1.897915443,1.943086863
140,1.629569000,1.944284916,1.874437479,1.952243328
141,1.632641000,1.918907642,1.905631860,1.942157189
142,1.635713000,1.778780962,1.921833674,1.768110474
143,1.638785000,1.938219786,1.905469845,1.943375786
144,1.641857000,1.932401657,1.793268488,1.907754739
145,1.644929000,1.906347632,1.811095200,1.890572776
146,1.648001000,1.957819144,1.806853682,1.946370284
147,1.651073000,1.945545038,1.889647007,1.953420639
148,1.654145000,1.945617199,1.893831889,1.954821587
149,1.657217000,1.920273463,1.883657138,1.929336230
150,1.660289000,1.786009679,1.912500461,1.732823167
151,1.663361000,0.730115205,1.903418859,0.788270846
152,1.666433000,1.765364980,1.892522335,1.839554787
153,1.669505000,1.855118473,1.896342595,1.420839570
154,1.672577000,1.431809366,1.837144828,0.638231794
155,1.675649000,1.918055852,1.876519402,1.589880139
156,1.678721000,1.616217375,1.856351852,1.594677384
157,1.681793000,1.899217049,1.871345441,1.817417999
158,1.684865000,1.888980230,1.852618456,1.898606936
159,1.687937000,1.899682840,1.878818432,1.910030206
160,1.691009000,1.844658524,1.867000480,1.831758877
161,1.694081000,1.742695997,1.887264570,1.331151042
162,1.697153000,1.709953636,1.912873904,1.310661194
163,1.700225000,1.070912778,1.895765622,0.853802857
164,1.703297000,1.357022891,1.869076490,1.422581499
165,1.706369000,1.852116346,1.826375688,0.794290975
166,1.709441000,1.294533273,1.892431378,1.084402363
167,1.712513000,1.614592691,1.886630456,1.558946361
168,1.715585000,1.293280065,1.869865564,1.670100550
169,1.718657000,1.876592159,1.836683676,0.811508457
170,1.721729000,1.887071013,1.889261057,1.039639929
171,1.724801000,1.878967683,1.802207887,0.913386320
172,1.727873000,1.736048758,1.883509636,0.944841246
173,1.730945000,1.888917704,1.886925062,1.004052810
174,1.734017000,1.878608942,1.896438599,0.768383697
175,1.737089000,1.190098236,1.831193527,1.379684458
176,1.740161000,0.789379189,1.801269015,1.051032235
177,1.743233000,1.464250982,1.877650976,0.975337237
178,1.746305000,1.743299884,1.897425175,1.141708756
179,1.749377000,1.897206108,1.843445579,1.555478732
180,1.752449000,1.871487558,1.880138993,1.314031271
181,1.755521000,1.342546503,1.892806689,1.229834047
182,1.758593000,1.632446239,1.903258801,0.915013812
183,1.761665000,1.839384149,1.890245716,1.646263232
184,1.764737000,1.886122545,1.885948817,1.885731121
185,1.767809000,1.641883473,1.878894965,1.445111272
186,1.770881000,1.804046864,1.894686858,1.070598212
187,1.773953000,1.726788521,1.883594036,1.233169814
188,1.777025000,1.627766391,1.913713137,1.376677740
189,1.780097000,1.729443451,1.749855796,1.022872215
190,1.783169000,1.656054735,1.900197188,1.250330704
191,1.786241000,1.625329385,1.914820035,0.890073014
192,1.789313000,1.886220555,1.891939799,1.808766603
193,1.792385000,1.582082778,1.927953720,1.053449968
194,1.795457000,1.596890897,1.853412330,1.778977056
195,1.798529000,1.813809911,1.900985003,1.502102663
196,1.801601000,1.620470206,1.868257682,1.652851741
197,1.804673000,1.904579957,1.901509444,1.909748157
198,1.807745000,1.867324114,1.868553400,1.669326822
199,1.810817000,1.628343324,1.879759312,1.359803458
200,1.813889000,1.642641654,1.875952164,1.480348450
201,1.816961000,1.645402854,1.868599335,1.252716059
202,1.820033000,1.803791811,1.901629130,1.422121080
203,1.823105000,1.844897876,1.889070253,1.202260512
204,1.826177000,1.875470440,1.871603171,1.024071842
205,1.829249000,1.845708966,1.875434399,0.981657498
206,1.832321000,1.847605268,1.823289643,1.422503335
207,1.835393000,1.883759181,1.876020988,1.844355504
208,1.838465000,1.850332280,1.872465134,1.683524748
209,1.841537000,1.937208096,1.887900591,1.945196946
210,1.844609000,1.915915489,1.905879656,1.839111209
211,1.847681000,1.899191459,1.890151938,1.548478494
212,1.850753000,1.473056048,1.894131025,1.807067163
213,1.853825000,1.898296555,1.896461487,1.877168775
214,1.856897000,1.862387538,1.805197368,1.855941017
215,1.859969000,1.822596590,1.856960014,1.471129907
216,1.863041000,1.521430184,1.886405428,1.384550203
217,1.866113000,1.787809034,1.902588844,1.560999945
218,1.869185000,1.466462602,1.926529566,1.328846981
219,1.872257000,1.893753211,1.877975345,1.731331686
