window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10315817,10318889,3072,5445.928730964661,1.7727632587775588,megabyte1,3072
1,3072,6144,10318889,10321961,3072,5974.6109619140625,1.9448603391647339,megabyte1,3072
2,6144,9216,10321961,10325033,3072,5814.14697265625,1.8926259676615398,megabyte1,3072
3,9216,12288,10325033,10328105,3072,5924.374267578125,1.9285072485605876,megabyte1,3072
4,12288,15360,10328105,10331177,3072,5797.818767547607,1.8873107967277367,megabyte1,3072
5,15360,18432,10331177,10334249,3072,5912.83642578125,1.9247514406840007,megabyte1,3072
6,18432,21504,10334249,10337321,3072,6024.1005859375,1.9609702428181965,megabyte1,3072
7,21504,24576,10337321,10340393,3072,5648.985534667969,1.8388624787330627,megabyte1,3072
8,24576,27648,10340393,10343465,3072,5903.9991455078125,1.921874721844991,megabyte1,3072
9,27648,30720,10343465,10346537,3072,5965.921875,1.9420318603515625,megabyte1,3072
10,30720,33792,10346537,10349609,3072,5964.441650390625,1.9415500164031982,megabyte1,3072
11,33792,36864,10349609,10352681,3072,5989.113220214844,1.9495811263720195,megabyte1,3072
12,36864,39936,10352681,10355753,3072,5937.202880859375,1.9326832294464111,megabyte1,3072
13,39936,43008,10355753,10358825,3072,5947.9560546875,1.9361836115519206,megabyte1,3072
14,43008,46080,10358825,10361897,3072,5969.80419921875,1.9432956377665203,megabyte1,3072
15,46080,49152,10361897,10364969,3072,5908.8857421875,1.923465410868327,megabyte1,3072
16,49152,52224,10364969,10368041,848,1654.302734375,1.9508286961969339,megabyte1,3072
0,0,3072,10315817,10318889,3072,5895.098968505859,1.918977528810501,geco22,3072
1,3072,6144,10318889,10321961,3072,5871.118865966797,1.9111715058485668,geco22,3072
2,6144,9216,10321961,10325033,3072,6022.2479248046875,1.9603671630223591,geco22,3072
3,9216,12288,10325033,10328105,3072,5940.3813400268555,1.9337178841233253,geco22,3072
4,12288,15360,10328105,10331177,3072,6026.212890625,1.9616578420003254,geco22,3072
5,15360,18432,10331177,10334249,3072,5990.3212890625,1.9499743779500325,geco22,3072
6,18432,21504,10334249,10337321,3072,6026.1962890625,1.961652437845866,geco22,3072
7,21504,24576,10337321,10340393,3072,5987.358703613281,1.9490099946657817,geco22,3072
8,24576,27648,10340393,10343465,3072,5278.2545166015625,1.718181808789571,geco22,3072
9,27648,30720,10343465,10346537,3072,5998.84130859375,1.9527478218078613,geco22,3072
10,30720,33792,10346537,10349609,3072,4303.03787612915,1.4007284753024578,geco22,3072
11,33792,36864,10349609,10352681,3072,5874.87190246582,1.9123931974172592,geco22,3072
12,36864,39936,10352681,10355753,3072,5986.333984375,1.9486764272054036,geco22,3072
13,39936,43008,10355753,10358825,3072,5972.1552734375,1.9440609614054363,geco22,3072
14,43008,46080,10358825,10361897,3072,5971.9326171875,1.9439884821573894,geco22,3072
15,46080,49152,10361897,10364969,3072,5995.53759765625,1.9516723950703938,geco22,3072
16,49152,52224,10364969,10368041,848,1651.09375,1.9470445165094339,geco22,3072
