window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,0,3072,3072,5744.37505691886,1.8699137555074412,megabyte1,3072
1,3072,6144,3072,6144,3072,5720.280796037506,1.8620705716267922,megabyte1,3072
2,6144,9216,6144,9216,3072,5543.205752950255,1.8044289560384945,megabyte1,3072
3,9216,12288,9216,12288,3072,5567.3640408505125,1.812292982047693,megabyte1,3072
4,12288,15360,12288,15360,3072,5674.190400458037,1.8470671876491007,megabyte1,3072
5,15360,18432,15360,18432,3072,5553.216168685267,1.8076875549105687,megabyte1,3072
6,18432,21504,18432,21504,3072,5437.54981744132,1.7700357478650128,megabyte1,3072
7,21504,24576,21504,24576,3072,5464.863783271584,1.7789270127837187,megabyte1,3072
8,24576,27648,24576,27648,3072,5698.987111923056,1.8551390338291196,megabyte1,3072
9,27648,30720,27648,30720,3072,5583.893065285018,1.8176735238558,megabyte1,3072
10,30720,33792,30720,33792,3072,5636.214399554176,1.8347052081882085,megabyte1,3072
11,33792,36864,33792,36864,3072,5817.3200224529955,1.8936588614755845,megabyte1,3072
12,36864,39936,36864,39936,3072,5646.888135300873,1.8381797315432529,megabyte1,3072
13,39936,43008,39936,43008,3072,5730.52992555833,1.8654068768093524,megabyte1,3072
14,43008,46080,43008,46080,960,1590.3259509265704,1.6565895322151776,megabyte1,3072
0,0,3072,0,3072,3072,6050.883,1.9696884765625,geco22,3072
1,3072,6144,3072,6144,3072,5980.98,1.9469335937499999,geco22,3072
2,6144,9216,6144,9216,3072,5958.6900000000005,1.9396777343750002,geco22,3072
3,9216,12288,9216,12288,3072,5900.0470000000005,1.9205882161458334,geco22,3072
4,12288,15360,12288,15360,3072,5931.13,1.9307063802083333,geco22,3072
5,15360,18432,15360,18432,3072,5927.111,1.9293981119791666,geco22,3072
6,18432,21504,18432,21504,3072,5920.360000000001,1.9272005208333336,geco22,3072
7,21504,24576,21504,24576,3072,5950.629999999999,1.937054036458333,geco22,3072
8,24576,27648,24576,27648,3072,5955.2,1.9385416666666666,geco22,3072
9,27648,30720,27648,30720,3072,5838.8718,1.9006744140625,geco22,3072
10,30720,33792,30720,33792,3072,6021.918,1.9602597656249998,geco22,3072
11,33792,36864,33792,36864,3072,6010.610000000001,1.9565787760416669,geco22,3072
12,36864,39936,36864,39936,3072,5996.598,1.952017578125,geco22,3072
13,39936,43008,39936,43008,3072,5990.34,1.94998046875,geco22,3072
14,43008,46080,43008,46080,962,1792.1926,1.8629860706860708,geco22,3072
