window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,29.051127000,1.825585666,1.895603339,1.832415938
1,29.054199000,1.900602182,1.893093626,1.913062096
2,29.057271000,1.898867607,1.885062059,1.912620385
3,29.060343000,1.870717049,1.854863365,1.877376735
4,29.063415000,1.944495837,1.871742864,1.949595332
5,29.066487000,1.890006383,1.873484651,1.897524595
6,29.069559000,1.898273627,1.893367926,1.911701520
7,29.072631000,1.847846118,1.836081028,1.851329575
8,29.075703000,1.899161140,1.878991048,1.907049338
9,29.078775000,1.881924505,1.857240498,1.883717716
10,29.081847000,1.901949525,1.880340606,1.919359446
11,29.084919000,1.704478368,1.874850154,1.778203150
12,29.087991000,1.627710859,1.644798741,1.644648090
13,29.091063000,1.873879058,1.858390073,1.877403945
14,29.094135000,1.887809912,1.869853040,1.897717714
15,29.097207000,1.894225121,1.881722371,1.909634749
16,29.100279000,1.797285318,1.887682041,1.807789604
17,29.103351000,1.909441312,1.901095390,1.922068596
18,29.106423000,1.897874673,1.889452060,1.908922752
19,29.109495000,1.849965893,1.855527629,1.896065851
20,29.112567000,1.882500321,1.871049702,1.900434961
21,29.115639000,1.940061728,1.848025799,1.949339708
22,29.118711000,1.895426949,1.879553556,1.901173890
23,29.121783000,1.901415666,1.893240929,1.913279851
24,29.124855000,1.888982296,1.874738216,1.907528400
25,29.127927000,1.892566999,1.911599636,1.917230407
26,29.130999000,1.712375478,1.838358363,1.844426294
27,29.134071000,1.898093939,1.872827152,1.907950958
28,29.137143000,1.865640402,1.845046937,1.876332601
29,29.140215000,1.896264712,1.890217145,1.906560977
30,29.143287000,1.889666418,1.872997095,1.907968680
31,29.146359000,1.774303128,1.797955081,1.766982426
32,29.149431000,1.895430565,1.882346233,1.908228119
33,29.152503000,1.896371524,1.882392804,1.906760931
34,29.155575000,1.738743937,1.796158468,1.758630772
35,29.158647000,1.888624052,1.870864868,1.901447773
36,29.161719000,1.898660501,1.885759830,1.909663041
37,29.164791000,1.875274181,1.859320521,1.887426416
38,29.167863000,1.884321610,1.871987621,1.885805726
39,29.170935000,1.838861908,1.805257142,1.830914855
40,29.174007000,1.816286494,1.799945061,1.838568370
41,29.177079000,1.897117774,1.882937421,1.906105717
42,29.180151000,1.884381533,1.863018433,1.885620475
43,29.183223000,1.876720428,1.868464390,1.881703039
44,29.186295000,1.807262858,1.846585751,1.890506516
45,29.189367000,1.882007917,1.867800633,1.890206377
46,29.192439000,1.917196433,1.881842653,1.926436106
47,29.195511000,1.678384975,1.690663708,1.699913534
48,29.198583000,1.894072294,1.872404496,1.908863783
49,29.201655000,1.835111588,1.867132107,1.863709042
50,29.204727000,1.886544387,1.872061412,1.897048314
51,29.207799000,1.895286878,1.881825209,1.908645312
52,29.210871000,1.890726089,1.871816317,1.904156208
53,29.213943000,1.885534177,1.894667963,1.895615697
54,29.217015000,1.802030986,1.879232804,1.854238550
55,29.220087000,1.908762773,1.896781683,1.919376055
56,29.223159000,1.891718229,1.879579306,1.909715811
57,29.226231000,1.892957846,1.882275939,1.903555791
58,29.229303000,1.891875029,1.876745780,1.903667450
59,29.232375000,1.893056393,1.877719839,1.900476714
60,29.235447000,1.896604300,1.891983112,1.909144719
61,29.238519000,1.908121745,1.891749620,1.919172645
62,29.241591000,1.801115572,1.867862771,1.791554516
63,29.244663000,1.787613524,1.799343030,1.801957423
64,29.247735000,1.851196433,1.822975119,1.877872586
65,29.250807000,1.888426622,1.873651743,1.899836222
66,29.253879000,1.634618476,1.844375327,1.866061072
67,29.256951000,1.907463789,1.890419006,1.917257309
68,29.260023000,1.907103856,1.888460070,1.916154861
69,29.263095000,1.895688415,1.884924908,1.904682676
70,29.266167000,1.905883312,1.888563156,1.915170511
71,29.269239000,1.887377342,1.864027103,1.897986492
72,29.272311000,1.900092681,1.889951388,1.911328952
73,29.275383000,1.890502810,1.871254047,1.901807070
74,29.278455000,1.895164132,1.888221939,1.904670238
75,29.281527000,1.885597229,1.866658707,1.893855214
76,29.284599000,1.894643148,1.875363827,1.906654914
77,29.287671000,1.895462195,1.886825244,1.909328620
78,29.290743000,1.930780331,1.897625685,1.931430578
79,29.293815000,1.857781038,1.854205390,1.860899384
80,29.296887000,1.840300864,1.854900827,1.854849299
81,29.299959000,1.905533314,1.902385950,1.920317332
82,29.303031000,1.895469666,1.881985982,1.905945619
83,29.306103000,1.901967684,1.886686961,1.914510171
84,29.309175000,1.899712722,1.881963690,1.909861604
85,29.312247000,1.898630142,1.891081015,1.911846638
86,29.315319000,1.898143609,1.892310063,1.906486273
87,29.318391000,1.904434363,1.896896362,1.918216705
88,29.321463000,1.725054502,1.821014429,1.715755810
89,29.324535000,1.888418595,1.871276299,1.894415299
90,29.327607000,1.888285756,1.869522413,1.894915422
91,29.330679000,1.759947897,1.777509034,1.769994408
92,29.333751000,1.890212695,1.877827485,1.909159025
93,29.336823000,1.890865962,1.882673899,1.904937744
94,29.339895000,1.888582408,1.879211525,1.903117160
95,29.342967000,1.890616099,1.874142408,1.905442794
96,29.346039000,1.890132268,1.875655135,1.901420712
97,29.349111000,1.909009457,1.895089388,1.916875164
98,29.352183000,1.892378807,1.879257441,1.901810646
99,29.355255000,1.803626696,1.760360052,1.844379564
100,29.358327000,1.903101921,1.899437269,1.918647925
101,29.361399000,1.709839048,1.753616981,1.740240345
102,29.364471000,1.853891850,1.839673837,1.874428988
103,29.367543000,1.910112540,1.906142950,1.917891264
104,29.370615000,1.888348485,1.868422002,1.898618152
105,29.373687000,1.877877235,1.859349489,1.892738819
106,29.376759000,1.876023233,1.848767598,1.886231363
107,29.379831000,1.890104771,1.884368896,1.903628906
108,29.382903000,1.905296803,1.888326963,1.915720463
109,29.385975000,1.873133982,1.860801498,1.875294209
110,29.389047000,1.893820127,1.886481921,1.909220457
111,29.392119000,1.867657994,1.863881906,1.869229356
112,29.395191000,1.733132032,1.893439770,1.783792913
113,29.398263000,1.731933206,1.880553166,1.740868549
114,29.401335000,1.902721882,1.891515255,1.911686023
115,29.404407000,1.907971303,1.893950860,1.918701013
116,29.407479000,1.895826538,1.886412621,1.903788368
117,29.410551000,1.893964767,1.864739617,1.906696161
118,29.413623000,1.894207557,1.886737188,1.913005670
119,29.416695000,1.901567618,1.891212106,1.914141178
120,29.419767000,1.885546366,1.876299421,1.900512576
121,29.422839000,1.893165906,1.873637120,1.906369925
122,29.425911000,1.776970128,1.887271464,1.781497295
123,29.428983000,1.852833976,1.879685640,1.876613031
124,29.432055000,1.866319870,1.847674986,1.872625420
125,29.435127000,1.830828910,1.856149018,1.811901515
126,29.438199000,1.893547813,1.883027355,1.907389323
127,29.441271000,1.876123587,1.858247519,1.888163805
128,29.444343000,1.906894366,1.898822069,1.919551690
129,29.447415000,1.866734266,1.847852310,1.880962769
130,29.450487000,1.879760663,1.862989028,1.894560258
131,29.453559000,1.918685436,1.889563004,1.931785266
132,29.456631000,1.890900056,1.869512359,1.901058674
133,29.459703000,1.904628118,1.895933151,1.903920472
134,29.462775000,1.896540483,1.878054619,1.910159826
135,29.465847000,1.899882476,1.879064679,1.906989058
136,29.468919000,1.889904340,1.868999163,1.903256694
137,29.471991000,1.876201749,1.853211125,1.888912519
138,29.475063000,1.886678894,1.859147986,1.892836809
139,29.478135000,1.911101977,1.898748716,1.916814009
140,29.481207000,1.876003802,1.849878450,1.888990084
141,29.484279000,1.905431430,1.897399584,1.919998646
142,29.487351000,1.801067829,1.885683060,1.829452400
143,29.490423000,1.869060119,1.847285469,1.878782074
144,29.493495000,1.887776693,1.876913071,1.899548133
145,29.496567000,1.875336081,1.857282182,1.892087698
146,29.499639000,1.886612157,1.876957277,1.899899711
147,29.502711000,1.897472699,1.882633408,1.911232432
