window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,6247617,6250689,3072,5961.019102141261,1.9404359056449418,carbon1,3072
1,3072,6144,6250689,6253761,3072,5821.7901003062725,1.895113964943448,carbon1,3072
2,6144,9216,6253761,6256833,3072,5765.510503939353,1.8767937838344249,carbon1,3072
3,9216,12288,6256833,6259905,3072,5848.221014842391,1.9037177782690076,carbon1,3072
4,12288,15360,6259905,6262977,3072,5640.229152046144,1.8360120937650208,carbon1,3072
5,15360,18432,6262977,6266049,3072,5917.466664791107,1.9262586799450219,carbon1,3072
6,18432,21504,6266049,6269121,3072,5813.938985973597,1.89255826366328,carbon1,3072
7,21504,24576,6269121,6272193,3072,4707.275570520433,1.5323162664454533,carbon1,3072
8,24576,27648,6272193,6275265,3072,5810.001405254006,1.891276499106122,carbon1,3072
9,27648,30720,6275265,6278337,3072,5886.730542436242,1.916253431782631,carbon1,3072
10,30720,33792,6278337,6281409,3072,5808.385423652828,1.890750463428655,carbon1,3072
11,33792,36864,6281409,6284481,3072,5863.464862883091,1.9086799683864228,carbon1,3072
12,36864,39936,6284481,6287553,3072,5778.815720036626,1.881124908866089,carbon1,3072
13,39936,43008,6287553,6290625,3072,5689.496518759988,1.8520496480338504,carbon1,3072
14,43008,46080,6290625,6293697,3072,5856.222160369158,1.9063223178285018,carbon1,3072
15,46080,49152,6293697,6296769,3072,5811.455382436514,1.8917497989702194,carbon1,3072
16,49152,52224,6296769,6299841,848,1665.2712605595589,1.9637632789617439,carbon1,3072
