window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,1016627,1019699,3072,5202.838335657817,1.6936322707219456,megabyte1,3072
1,3072,6144,1019699,1022771,3072,5431.455528416615,1.768051929823117,megabyte1,3072
2,6144,9216,1022771,1025843,3072,5482.914192520335,1.7848027970443798,megabyte1,3072
3,9216,12288,1025843,1028915,3072,5028.4574807554,1.6368676695167317,megabyte1,3072
4,12288,15360,1028915,1031987,3072,5163.941200466103,1.6809704428600594,megabyte1,3072
5,15360,18432,1031987,1035059,3072,5488.476871419254,1.7866135649151218,megabyte1,3072
6,18432,21504,1035059,1038131,3072,5068.489630379796,1.6498989682225897,megabyte1,3072
7,21504,24576,1038131,1041203,3072,5388.835315744807,1.754178162677346,megabyte1,3072
8,24576,27648,1041203,1044275,3072,5428.393482187666,1.7670551699829644,megabyte1,3072
9,27648,30720,1044275,1047347,3072,5682.835920000265,1.8498814843750864,megabyte1,3072
10,30720,33792,1047347,1050419,3072,5672.890055670014,1.8466438983300826,megabyte1,3072
11,33792,36864,1050419,1053491,3072,5650.777404728498,1.8394457697683915,megabyte1,3072
12,36864,39936,1053491,1056563,3072,5384.899588671418,1.752897001520644,megabyte1,3072
13,39936,43008,1056563,1059635,3072,5359.645673294651,1.744676325942269,megabyte1,3072
14,43008,46080,1059635,1062707,3072,5584.353443711536,1.817823386624849,megabyte1,3072
15,46080,49152,1062707,1065779,3072,5438.433988349912,1.770323563915987,megabyte1,3072
