split,species,source_name,sample_bytes,sample_bases,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_bpb,experiment_baseline_percent
val,OrSa,OrSa,60000,60000,14736,10,1.9648,98.24000000000001
val,HoSa,HoSa,60000,60000,14179,12,1.8905333333333334,94.52666666666667
val,DaRe,DaRe,60000,60000,8018,10,1.0690666666666666,53.45333333333333
val,ScPo,ScPo,60000,60000,14931,8,1.9908,99.53999999999999
val,EsCo,EsCo,60000,60000,14670,6,1.956,97.8
val,YeMi,YeMi,14737,14737,3441,3,1.86795141480627,93.3975707403135
val,BuEb,BuEb,3788,3788,976,1,2.061246040126716,103.0623020063358
val,AgPh,AgPh,8794,8794,2195,2,1.996816010916534,99.8408005458267
val,GaGa,GaGa,60000,60000,14648,11,1.9530666666666667,97.65333333333334
val,DrMe,DrMe,60000,60000,14820,10,1.976,98.8
val,EnIn,EnIn,60000,60000,14692,9,1.9589333333333334,97.94666666666667
val,PlFa,PlFa,60000,60000,14079,7,1.8772,93.86
val,HePy,HePy,60000,60000,14009,4,1.8678666666666666,93.39333333333333
val,AeCa,AeCa,60000,60000,14752,5,1.9669333333333334,98.34666666666666
val,HaHi,HaHi,60000,60000,14208,5,1.8944,94.72
val,AnCa,AnCa,60000,60000,14444,5,1.9258666666666666,96.29333333333334
val,WaMe,WaMe,60000,60000,14912,5,1.9882666666666666,99.41333333333333
test,OrSa,OrSa,60000,60000,14750,10,1.9666666666666666,98.33333333333333
test,HoSa,HoSa,60000,60000,14370,12,1.916,95.8
test,DaRe,DaRe,60000,60000,14189,10,1.8918666666666666,94.59333333333333
test,ScPo,ScPo,60000,60000,12743,8,1.6990666666666667,84.95333333333333
test,EsCo,EsCo,60000,60000,14737,6,1.9649333333333334,98.24666666666667
test,YeMi,YeMi,14739,14739,3423,3,1.8579279462650111,92.89639731325056
test,BuEb,BuEb,3788,3788,972,1,2.0527983104540657,102.63991552270329
test,AgPh,AgPh,8794,8794,2204,2,2.005003411416875,100.25017057084375
test,GaGa,GaGa,60000,60000,14368,11,1.9157333333333333,95.78666666666666
test,DrMe,DrMe,60000,60000,14880,10,1.984,99.2
test,EnIn,EnIn,60000,60000,14487,9,1.9316,96.58
test,PlFa,PlFa,60000,60000,12901,7,1.7201333333333333,86.00666666666666
test,HePy,HePy,60000,60000,14193,4,1.8924,94.62
test,AeCa,AeCa,60000,60000,14680,5,1.9573333333333334,97.86666666666667
test,HaHi,HaHi,60000,60000,14812,5,1.9749333333333334,98.74666666666667
test,AnCa,AnCa,60000,60000,13712,5,1.8282666666666667,91.41333333333334
test,WaMe,WaMe,60000,60000,14922,5,1.9896,99.48
train,OrSa,OrSa,60000,60000,14773,10,1.9697333333333333,98.48666666666666
train,HoSa,HoSa,60000,60000,14061,12,1.8748,93.74
train,DaRe,DaRe,60000,60000,11539,10,1.5385333333333333,76.92666666666666
train,ScPo,ScPo,60000,60000,14389,8,1.9185333333333334,95.92666666666668
train,EsCo,EsCo,60000,60000,14776,6,1.9701333333333333,98.50666666666666
train,YeMi,YeMi,44213,44213,10124,3,1.8318594078664645,91.59297039332323
train,BuEb,BuEb,11364,11364,2825,1,1.988736360436466,99.4368180218233
train,AgPh,AgPh,26382,26382,6445,2,1.9543628231369874,97.71814115684937
train,GaGa,GaGa,60000,60000,14318,11,1.9090666666666667,95.45333333333333
train,DrMe,DrMe,60000,60000,13938,10,1.8584,92.92
train,EnIn,EnIn,60000,60000,14414,9,1.9218666666666666,96.09333333333333
train,PlFa,PlFa,60000,60000,13783,7,1.8377333333333334,91.88666666666667
train,HePy,HePy,60000,60000,14110,4,1.8813333333333333,94.06666666666666
train,AeCa,AeCa,60000,60000,14873,5,1.9830666666666668,99.15333333333334
train,HaHi,HaHi,60000,60000,14189,5,1.8918666666666666,94.59333333333333
train,AnCa,AnCa,60000,60000,14307,5,1.9076,95.38
train,WaMe,WaMe,60000,60000,14927,5,1.9902666666666666,99.51333333333334
