window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1809343.2195897102,1.8093432195897103,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1751990.6744880676,1.7519906744880676,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1834816.017665863,1.834816017665863,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1819373.556997776,1.819373556997776,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1822609.8655424118,1.8226098655424119,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1802218.1066980362,1.8022181066980363,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1818961.840915203,1.818961840915203,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1820051.96007061,1.82005196007061,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1783561.1724004745,1.7835611724004745,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1805793.0925517082,1.8057930925517083,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1816242.8643407822,1.8162428643407822,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1792612.008890152,1.792612008890152,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1820049.2280416489,1.820049228041649,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1813311.3559699059,1.813311355969906,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1813399.701740265,1.813399701740265,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1837315.4771080017,1.8373154771080018,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1840861.7386837006,1.8408617386837005,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1818724.8081684113,1.8187248081684113,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1826682.5923986435,1.8266825923986434,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1833839.2569980621,1.8338392569980622,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1838130.8627033234,1.8381308627033233,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1824714.7482538223,1.8247147482538224,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1837408.754043579,1.837408754043579,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1842236.111002922,1.842236111002922,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1842406.973897934,1.842406973897934,megabyte1,1000000
25,25000000,26000000,25000000,26000000,1000000,1844810.9398851395,1.8448109398851396,megabyte1,1000000
26,26000000,27000000,26000000,27000000,1000000,1842947.1220471263,1.8429471220471263,megabyte1,1000000
27,27000000,28000000,27000000,28000000,1000000,1850197.3940477371,1.8501973940477372,megabyte1,1000000
28,28000000,29000000,28000000,29000000,1000000,1842259.556388855,1.842259556388855,megabyte1,1000000
29,29000000,30000000,29000000,30000000,1000000,1848603.7823371887,1.8486037823371888,megabyte1,1000000
30,30000000,31000000,30000000,31000000,1000000,1847505.361946106,1.847505361946106,megabyte1,1000000
31,31000000,32000000,31000000,32000000,1000000,1836355.030561924,1.836355030561924,megabyte1,1000000
32,32000000,33000000,32000000,33000000,1000000,1849650.9659881592,1.8496509659881593,megabyte1,1000000
33,33000000,34000000,33000000,34000000,1000000,1845523.755443573,1.845523755443573,megabyte1,1000000
34,34000000,35000000,34000000,35000000,1000000,1842810.584359169,1.8428105843591691,megabyte1,1000000
35,35000000,36000000,35000000,36000000,1000000,1850776.528388977,1.850776528388977,megabyte1,1000000
36,36000000,37000000,36000000,37000000,1000000,1830413.0982208252,1.830413098220825,megabyte1,1000000
37,37000000,38000000,37000000,38000000,1000000,1748722.1870584488,1.7487221870584488,megabyte1,1000000
38,38000000,39000000,38000000,39000000,1000000,1815108.9764387608,1.8151089764387607,megabyte1,1000000
39,39000000,40000000,39000000,40000000,1000000,1838824.1892185211,1.838824189218521,megabyte1,1000000
40,40000000,41000000,40000000,41000000,1000000,1855415.08675766,1.85541508675766,megabyte1,1000000
41,41000000,42000000,41000000,42000000,1000000,1848172.807220459,1.848172807220459,megabyte1,1000000
42,42000000,43000000,42000000,43000000,1000000,1821717.8831005096,1.8217178831005096,megabyte1,1000000
43,43000000,44000000,43000000,44000000,1000000,1840809.9365234375,1.8408099365234376,megabyte1,1000000
44,44000000,45000000,44000000,45000000,1000000,1810869.8527727127,1.8108698527727127,megabyte1,1000000
45,45000000,46000000,45000000,46000000,1000000,1854873.7668762207,1.8548737668762207,megabyte1,1000000
46,46000000,47000000,46000000,47000000,1000000,1847607.4097309113,1.8476074097309112,megabyte1,1000000
47,47000000,48000000,47000000,48000000,1000000,1837185.4462583065,1.8371854462583066,megabyte1,1000000
48,48000000,49000000,48000000,49000000,1000000,1846206.0881557465,1.8462060881557465,megabyte1,1000000
49,49000000,50000000,49000000,50000000,1000000,1857237.878775239,1.857237878775239,megabyte1,1000000
50,50000000,51000000,50000000,51000000,1000000,1845254.5817108154,1.8452545817108155,megabyte1,1000000
51,51000000,52000000,51000000,52000000,1000000,1824450.033668518,1.824450033668518,megabyte1,1000000
52,52000000,53000000,52000000,53000000,1000000,1846796.5663471222,1.8467965663471222,megabyte1,1000000
53,53000000,54000000,53000000,54000000,1000000,1846021.175479889,1.846021175479889,megabyte1,1000000
54,54000000,55000000,54000000,55000000,1000000,1849395.438753128,1.849395438753128,megabyte1,1000000
55,55000000,56000000,55000000,56000000,1000000,1831556.345504284,1.8315563455042838,megabyte1,1000000
56,56000000,57000000,56000000,57000000,1000000,1825166.8526768684,1.8251668526768685,megabyte1,1000000
57,57000000,58000000,57000000,58000000,1000000,1846693.7727460861,1.8466937727460861,megabyte1,1000000
58,58000000,59000000,58000000,59000000,1000000,1818861.1355056763,1.8188611355056763,megabyte1,1000000
59,59000000,60000000,59000000,60000000,1000000,1779951.0991744995,1.7799510991744996,megabyte1,1000000
60,60000000,61000000,60000000,61000000,1000000,1782373.5468959808,1.782373546895981,megabyte1,1000000
61,61000000,62000000,61000000,62000000,1000000,1751476.0293827057,1.7514760293827056,megabyte1,1000000
62,62000000,62565018,62000000,62565018,565018,984024.6273641586,1.7415810246118861,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1433617.2400360107,1.4336172400360108,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1429087.0691070557,1.4290870691070556,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1365326.5435714722,1.365326543571472,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1286288.6322555542,1.2862886322555542,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1263795.4384613037,1.2637954384613037,geco22,1000000
