source,species,dnacorpus_size_bytes,region_start,region_bases,curve_png,carbon_500m_bpb,carbon_500m_bases,carbon_500m_window_bases,evo2_1b_base_bpb,evo2_1b_base_bases,evo2_1b_base_window_bases,evo2_7b_base_bpb,evo2_7b_base_bases,evo2_7b_base_window_bases,geco22_bpb,geco22_bases,geco22_window_bases,megabyte1_bpb,megabyte1_bases,megabyte1_window_bases
HoSa,HoSa,189752667,144627355,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/HoSa/region_bpb_combined_curve.png,1.457165,50000,3072,1.504601,49983,3072,1.358519,49983,3072,1.580140,50000,3072,1.686949,50000,3072
GaGa,GaGa,148532294,3010090,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/GaGa/region_bpb_combined_curve.png,1.859446,50000,3072,1.816142,49983,3072,1.794826,49983,3072,1.867323,50000,3072,1.835239,50000,3072
AnCa,AnCa,142189675,25819926,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/AnCa/region_bpb_combined_curve.png,1.642435,50000,3072,1.618688,49983,3072,1.503451,49983,3072,1.744925,50000,3072,1.865425,50000,3072
DaRe,DaRe,62565020,58881582,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/DaRe/region_bpb_combined_curve.png,1.471794,50000,3072,1.583260,49983,3072,1.327091,49983,3072,1.310331,50000,3072,1.840202,50000,3072
OrSa,OrSa,43262523,16059021,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/OrSa/region_bpb_combined_curve.png,1.819523,50000,3072,1.760955,49983,3072,1.605732,49983,3072,1.395568,50000,3072,1.881060,50000,3072
DrMe,DrMe,32181429,10194283,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/DrMe/region_bpb_combined_curve.png,1.906111,50000,3072,1.869654,49983,3072,1.829000,49983,3072,1.899114,50000,3072,1.907180,50000,3072
EnIn,EnIn,26403087,6247617,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/EnIn/region_bpb_combined_curve.png,1.872906,50000,3072,1.829139,49983,3072,1.811239,49983,3072,1.396191,50000,3072,1.866796,50000,3072
ScPo,ScPo,10652155,10315817,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/ScPo/region_bpb_combined_curve.png,1.855514,50000,3072,1.794467,49983,3072,1.741349,49983,3072,1.895820,50000,3072,1.915689,50000,3072
WaMe,WaMe,9144432,560253,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/WaMe/region_bpb_combined_curve.png,1.806458,50000,3072,1.722450,49983,3072,1.635042,49983,3072,1.942949,50000,3072,1.909373,50000,3072
PlFa,PlFa,8986712,6892120,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/PlFa/region_bpb_combined_curve.png,1.807426,50000,3072,1.772882,49983,3072,1.761921,49983,3072,1.813803,50000,3072,1.820479,50000,3072
EsCo,EsCo,4641652,2012990,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/EsCo/region_bpb_combined_curve.png,1.783562,50000,3072,1.298379,49983,3072,0.993254,49983,3072,1.935113,50000,3072,1.727665,50000,3072
HaHi,HaHi,3890005,171874,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/HaHi/region_bpb_combined_curve.png,1.668001,50000,3072,1.279685,49983,3072,1.091117,49983,3072,1.861264,50000,3072,1.647143,50000,3072
HePy,HePy,1667825,360757,50000,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/HePy/region_bpb_combined_curve.png,1.692370,50000,3072,1.372942,49983,3072,1.211653,49983,3072,1.839441,50000,3072,1.652941,50000,3072
