window_index,source_midpoint_mbase,geco22_bpb,geco21_bpb,megabyte1_bpb,nc_prefix_bpb,nc_prefix_current_bpb
0,5.676813000,1.945363084,1.976399024,1.934783777,1.955605825,1.936283767
1,5.679885000,1.774928654,1.977855841,1.916653534,1.953175863,1.810424959
2,5.682957000,1.820162972,1.960595290,1.921039442,1.943628947,1.864195615
3,5.686029000,1.767543311,1.913835287,1.881122231,1.914039294,1.751379810
4,5.689101000,1.828475197,1.899945974,1.826332053,1.918018977,1.835113272
5,5.692173000,1.916566173,1.940566838,1.880882412,1.932428201,1.911619107
6,5.695245000,1.791010827,1.926333904,1.874125441,1.927763939,1.741592626
7,5.698317000,1.773295229,1.940070311,1.836515903,1.943316460,1.805300444
8,5.701389000,1.862506126,1.946091612,1.848294397,1.943542798,1.860575338
9,5.704461000,1.915432801,1.961032708,1.929269264,1.965505918,1.952734828
10,5.707533000,1.885096212,1.946318467,1.886520147,1.931445758,1.857191284
11,5.710605000,1.845748832,1.870262206,1.896825969,1.944333712,1.814930290
12,5.713677000,1.862636556,1.933120171,1.901246309,1.931463242,1.872271513
13,5.716749000,1.727187224,1.833743970,1.924558242,1.945016543,1.779603443
14,5.719821000,1.952896913,1.964603901,1.886711121,1.951873779,1.953130563
15,5.722893000,1.878429770,1.974237959,1.926710924,1.971029917,1.865703583
16,5.725965000,1.966074944,1.976451317,1.925880233,1.981455167,1.971892913
17,5.729037000,1.902209282,1.971063852,1.846000622,1.962455114,1.957519452
18,5.732109000,1.964603861,1.958620946,1.829053665,1.979496638,1.966837962
19,5.735181000,1.840613465,1.918457747,1.764905150,1.958778063,1.702064614
20,5.738253000,1.972886721,1.975495338,1.576689459,1.973481178,1.977637291
21,5.741325000,1.695746491,1.690662126,1.918467323,1.943985939,1.815334121
22,5.744397000,1.867665256,1.935615798,1.917585691,1.954461416,1.835769281
23,5.747469000,1.785931577,1.932496905,1.863410354,1.945623716,1.788181663
24,5.750541000,1.643496667,1.940381209,1.909079075,1.960663478,1.668125031
25,5.753613000,1.538589130,1.944631139,1.907945871,1.928673108,1.540752098
26,5.756685000,1.963149389,1.974852721,1.932058652,1.963009516,1.959462216
27,5.759757000,1.914436022,1.897923907,1.904114525,1.970760663,1.943089624
28,5.762829000,1.949260632,1.963251273,1.875812968,1.954839706,1.950445334
29,5.765901000,1.970199267,1.966974139,1.737901234,1.974192301,1.967680852
30,5.768973000,1.918213149,1.965959708,1.891207774,1.962025642,1.961361408
31,5.772045000,1.757212525,1.925498406,1.832562079,1.945782026,1.626345824
32,5.775117000,1.965629419,1.968764941,1.928861062,1.965520541,1.884730657
33,5.778189000,1.796684682,1.792969167,1.842516422,1.929714839,1.802576164
34,5.781261000,1.812268424,1.926292409,1.924977859,1.957996686,1.831833919
35,5.784333000,1.529060254,1.926838557,1.862358888,1.922972043,1.649333028
36,5.787405000,1.845997264,1.969754060,1.901307960,1.967890104,1.895868818
37,5.790477000,1.964475314,1.980878909,1.880407214,1.979962349,1.958458046
38,5.793549000,1.966008186,1.971471310,1.947442611,1.970440229,1.968317191
39,5.796621000,1.940924525,1.950995763,1.914478938,1.952514648,1.946055571
40,5.799693000,1.869467179,1.936653455,1.707856856,1.942847570,1.903345585
41,5.802765000,1.438459670,1.902729899,1.786462466,1.901062965,1.124737408
42,5.805837000,1.362756923,1.963927587,1.892237226,1.951874097,1.299119800
43,5.808909000,1.946748336,1.952251752,1.812084356,1.966620763,1.952267607
44,5.811981000,1.910683036,1.930597266,1.898095131,1.944352150,1.831035013
45,5.815053000,1.965403636,1.969393492,1.928196748,1.965605100,1.969311555
46,5.818125000,1.289393043,1.956169526,1.847743869,1.969646772,1.487367973
47,5.821197000,0.481100609,1.938913425,1.820609291,1.940235456,1.294452849
48,5.824269000,1.883768668,1.965849082,1.903950731,1.964546839,1.887904127
