window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,3010090,3013162,3072,5789.9932861328125,1.8847634394963582,megabyte1,3072
1,3072,6144,3013162,3016234,3072,5714.889953613281,1.86031574010849,megabyte1,3072
2,6144,9216,3016234,3019306,3072,5777.23486328125,1.8806103070576985,megabyte1,3072
3,9216,12288,3019306,3022378,3072,5663.592041015625,1.8436172008514404,megabyte1,3072
4,12288,15360,3022378,3025450,3072,5448.234130859375,1.7735137144724529,megabyte1,3072
5,15360,18432,3025450,3028522,3072,5853.9208984375,1.9055732091267903,megabyte1,3072
6,18432,21504,3028522,3031594,3072,5724.03466796875,1.8632925351460774,megabyte1,3072
7,21504,24576,3031594,3034666,3072,5728.774749755859,1.8648355305194855,megabyte1,3072
8,24576,27648,3034666,3037738,3072,5737.8856201171875,1.867801308631897,megabyte1,3072
9,27648,30720,3037738,3040810,3072,5321.3072509765625,1.7321963707605998,megabyte1,3072
10,30720,33792,3040810,3043882,3072,5469.746444702148,1.7805164208014805,megabyte1,3072
11,33792,36864,3043882,3046954,3072,5654.535598754883,1.8406691402196884,megabyte1,3072
12,36864,39936,3046954,3050026,3072,5687.392883300781,1.8513648708661397,megabyte1,3072
13,39936,43008,3050026,3053098,3072,5824.7489013671875,1.8960771163304646,megabyte1,3072
14,43008,46080,3053098,3056170,3072,5749.404296875,1.8715508778889973,megabyte1,3072
15,46080,49152,3056170,3059242,3072,4986.713508605957,1.6232791369160016,megabyte1,3072
16,49152,52224,3059242,3062314,848,1629.51953125,1.9216032208136793,megabyte1,3072
0,0,3072,3010090,3013162,3072,5865.314758300781,1.909282147884369,geco22,3072
1,3072,6144,3013162,3016234,3072,5842.8629150390625,1.9019736051559448,geco22,3072
2,6144,9216,3016234,3019306,3072,5895.075439453125,1.9189698696136475,geco22,3072
3,9216,12288,3019306,3022378,3072,5812.333251953125,1.8920355637868245,geco22,3072
4,12288,15360,3022378,3025450,3072,5596.6408767700195,1.821823202073574,geco22,3072
5,15360,18432,3025450,3028522,3072,5905.900390625,1.922493616739909,geco22,3072
6,18432,21504,3028522,3031594,3072,5851.126953125,1.9046637217203777,geco22,3072
7,21504,24576,3031594,3034666,3072,5863.769317626953,1.908779074748357,geco22,3072
8,24576,27648,3034666,3037738,3072,5850.078857421875,1.9043225447336833,geco22,3072
9,27648,30720,3037738,3040810,3072,5536.188758850098,1.802144778271516,geco22,3072
10,30720,33792,3040810,3043882,3072,5555.101280212402,1.8083011979858081,geco22,3072
11,33792,36864,3043882,3046954,3072,5715.709274291992,1.8605824460585911,geco22,3072
12,36864,39936,3046954,3050026,3072,5791.389373779297,1.8852178951104481,geco22,3072
13,39936,43008,3050026,3053098,3072,5900.5794677734375,1.9207615454991658,geco22,3072
14,43008,46080,3053098,3056170,3072,5847.561096191406,1.9035029609998066,geco22,3072
15,46080,49152,3056170,3059242,3072,4894.797073364258,1.5933584223190944,geco22,3072
16,49152,52224,3059242,3062314,848,1641.7314453125,1.9360040628685142,geco22,3072
