window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,0,3072,3072,5834.0763909723955,1.89911340851966,megabyte1,3072
1,3072,6144,3072,6144,3072,6018.437390529436,1.959126754729634,megabyte1,3072
2,6144,9216,6144,9216,3072,5927.170786123474,1.9294175736079016,megabyte1,3072
3,9216,12288,9216,12288,3072,5990.692332192742,1.9500951602189913,megabyte1,3072
4,12288,15360,12288,15360,3072,5964.2738957077,1.9414954087590168,megabyte1,3072
5,15360,18432,15360,18432,3072,5957.744227302592,1.9393698656583958,megabyte1,3072
6,18432,21504,18432,21504,507,947.6473735087695,1.8691269694453048,megabyte1,3072
0,0,3072,0,3072,3072,5997.0470000000005,1.952163736979167,geco22,3072
1,3072,6144,3072,6144,3072,6042.773999999999,1.9670488281249998,geco22,3072
2,6144,9216,6144,9216,3072,6005.088,1.95478125,geco22,3072
3,9216,12288,9216,12288,3072,6033.753,1.9641123046875,geco22,3072
4,12288,15360,12288,15360,3072,6056.21,1.9714225260416667,geco22,3072
5,15360,18432,15360,18432,3072,6016.29,1.958427734375,geco22,3072
6,18432,21504,18432,21504,508,985.73,1.9404133858267716,geco22,3072
