window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,2012990,2016062,3072,5025.013562679291,1.635746602434665,megabyte1,3072
1,3072,6144,2016062,2019134,3072,4569.530887007713,1.4874775022811566,megabyte1,3072
2,6144,9216,2019134,2022206,3072,5257.309279918671,1.7113636978901923,megabyte1,3072
3,9216,12288,2022206,2025278,3072,4937.016863226891,1.6071018434983368,megabyte1,3072
4,12288,15360,2025278,2028350,3072,5577.461809635162,1.8155800161572795,megabyte1,3072
5,15360,18432,2028350,2031422,3072,5040.78046810627,1.640879058628343,megabyte1,3072
6,18432,21504,2031422,2034494,3072,5394.205007553101,1.7559261092295249,megabyte1,3072
7,21504,24576,2034494,2037566,3072,5530.726570606232,1.8003667222025495,megabyte1,3072
8,24576,27648,2037566,2040638,3072,5242.55895280838,1.7065621591173112,megabyte1,3072
9,27648,30720,2040638,2043710,3072,5720.240497589111,1.862057453642289,megabyte1,3072
10,30720,33792,2043710,2046782,3072,5702.284961700439,1.8562125526368618,megabyte1,3072
11,33792,36864,2046782,2049854,3072,5438.9940185546875,1.7705058654149373,megabyte1,3072
12,36864,39936,2049854,2052926,3072,5740.278350830078,1.8685801923274994,megabyte1,3072
13,39936,43008,2052926,2055998,3072,5194.085201859474,1.690782943313631,megabyte1,3072
14,43008,46080,2055998,2059070,3072,5326.9542989730835,1.7340346025303006,megabyte1,3072
15,46080,49152,2059070,2062142,3072,5188.026735305786,1.6888107862323523,megabyte1,3072
16,49152,52224,2062142,2065214,848,1497.7803678512573,1.76625043378686,megabyte1,3072
0,0,3072,2012990,2016062,3072,5837.897216796875,1.9003571669260662,geco22,3072
1,3072,6144,2016062,2019134,3072,5870.1171875,1.910845438639323,geco22,3072
2,6144,9216,2019134,2022206,3072,5859.1328125,1.907269795735677,geco22,3072
3,9216,12288,2022206,2025278,3072,5936.27001953125,1.9323795636494954,geco22,3072
4,12288,15360,2025278,2028350,3072,5981.44775390625,1.9470858573913574,geco22,3072
5,15360,18432,2028350,2031422,3072,5886.83837890625,1.9162885348002117,geco22,3072
6,18432,21504,2031422,2034494,3072,5932.985168457031,1.93131027619044,geco22,3072
7,21504,24576,2034494,2037566,3072,5928.1820068359375,1.9297467470169067,geco22,3072
8,24576,27648,2037566,2040638,3072,5988.047119140625,1.9492340882619221,geco22,3072
9,27648,30720,2040638,2043710,3072,6100.7958984375,1.985936164855957,geco22,3072
10,30720,33792,2043710,2046782,3072,5992.985168457031,1.95084152619044,geco22,3072
11,33792,36864,2046782,2049854,3072,5968.840576171875,1.9429819583892822,geco22,3072
12,36864,39936,2049854,2052926,3072,6124.5380859375,1.9936647415161133,geco22,3072
13,39936,43008,2052926,2055998,3072,6003.1331787109375,1.9541449149449666,geco22,3072
14,43008,46080,2055998,2059070,3072,5943.052520751953,1.934587409098943,geco22,3072
15,46080,49152,2059070,2062142,3072,5876.233795166016,1.9128365218639374,geco22,3072
16,49152,52224,2062142,2065214,848,1525.1519165039062,1.7985282034244177,geco22,3072
