window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1915129.8922764063,1.9151298922764064,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1910267.3221684098,1.9102673221684099,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1911878.2289090157,1.9118782289090157,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1903557.156069219,1.903557156069219,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1910094.1313661933,1.9100941313661932,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1914257.0195640326,1.9142570195640325,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1909444.8242913485,1.9094448242913484,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1918535.4882521033,1.9185354882521033,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1905359.707451284,1.905359707451284,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1912938.0309942365,1.9129380309942365,megabyte1,1000000
10,10000000,10652154,10000000,10652154,652154,1243054.229623139,1.9060746842358383,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1947736.6227416992,1.9477366227416992,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1939616.348236084,1.939616348236084,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1926833.3006896973,1.9268333006896972,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1895581.1440200806,1.8955811440200805,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1836305.44449234,1.8363054444923401,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1935429.3150024414,1.9354293150024413,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1873720.5208244324,1.8737205208244323,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1938834.4957046509,1.9388344957046508,geco22,1000000
8,8000000,9000000,8000000,9000000,1000000,1825696.2615013123,1.8256962615013121,geco22,1000000
9,9000000,10000000,9000000,10000000,1000000,1824881.0104103088,1.8248810104103088,geco22,1000000
10,10000000,10652155,10000000,10652155,652155,1206381.67029953,1.8498388731199331,geco22,1000000
