window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,12689,15761,3072,5127.924074134574,1.6692461178823483,megabyte1,3072
1,3072,6144,15761,18833,3072,5332.80324209124,1.735938555368242,megabyte1,3072
2,6144,9216,18833,21905,3072,5254.271581073348,1.710374863630647,megabyte1,3072
3,9216,12288,21905,24977,3072,5413.361612505714,1.7621619832375373,megabyte1,3072
4,12288,15360,24977,28049,3072,5366.198970964994,1.7468095608610008,megabyte1,3072
5,15360,18432,28049,31121,3072,5340.710020483963,1.7385123764596233,megabyte1,3072
6,18432,21504,31121,34193,3072,5344.842527047078,1.739857593439804,megabyte1,3072
7,21504,24576,34193,37265,3072,5367.98594264223,1.7473912573705175,megabyte1,3072
8,24576,27648,37265,40337,3072,5181.525197190607,1.6866944001271509,megabyte1,3072
9,27648,30720,40337,43409,3072,5335.36289528849,1.7367717758100554,megabyte1,3072
10,30720,33792,43409,46481,3072,5342.258061140336,1.73901629594412,megabyte1,3072
11,33792,36864,46481,49553,3072,5456.34908025855,1.77615529956333,megabyte1,3072
12,36864,39936,49553,52625,3072,5373.411667265905,1.7491574437714534,megabyte1,3072
13,39936,43008,52625,55697,3072,5314.724458485098,1.7300535346631178,megabyte1,3072
14,43008,46080,55697,58769,3072,5304.838360541509,1.7268354038221059,megabyte1,3072
15,46080,49152,58769,61841,3072,5226.654671207571,1.7013849841170476,megabyte1,3072
16,49152,52224,61841,64913,846,1544.2289038246065,1.8253296735515443,megabyte1,3072
0,0,3072,12689,15761,3072,5718.254500000001,1.8614109700520836,geco22,3072
1,3072,6144,15761,18833,3072,5641.199999999999,1.8363281249999996,geco22,3072
2,6144,9216,18833,21905,3072,5522.1368,1.7975705729166667,geco22,3072
3,9216,12288,21905,24977,3072,5709.661,1.8586136067708334,geco22,3072
4,12288,15360,24977,28049,3072,5598.298000000001,1.8223626302083336,geco22,3072
5,15360,18432,28049,31121,3072,5559.164,1.8096236979166667,geco22,3072
6,18432,21504,31121,34193,3072,5627.998,1.8320305989583332,geco22,3072
7,21504,24576,34193,37265,3072,5541.906000000001,1.8040058593750004,geco22,3072
8,24576,27648,37265,40337,3072,5388.2654999999995,1.7539926757812498,geco22,3072
9,27648,30720,40337,43409,3072,5546.553,1.8055185546874999,geco22,3072
10,30720,33792,43409,46481,3072,5604.146999999999,1.8242666015624998,geco22,3072
11,33792,36864,46481,49553,3072,5583.243,1.8174619140625001,geco22,3072
12,36864,39936,49553,52625,3072,5603.1327,1.82393642578125,geco22,3072
13,39936,43008,52625,55697,3072,5494.6324,1.7886173177083335,geco22,3072
14,43008,46080,55697,58769,3072,5603.9,1.8241861979166665,geco22,3072
15,46080,49152,58769,61841,3072,5493.8051,1.7883480143229165,geco22,3072
16,49152,52224,61841,64913,848,1563.8419999999999,1.8441533018867924,geco22,3072
