window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,560253,563325,3072,6000.217207491398,1.953195705563606,carbon1,3072
1,3072,6144,563325,566397,3072,5793.618089795113,1.88594338860518,carbon1,3072
2,6144,9216,566397,569469,3072,5627.488954718923,1.8318648941142328,carbon1,3072
3,9216,12288,569469,572541,3072,5581.227612624876,1.8168058634846602,carbon1,3072
4,12288,15360,572541,575613,3072,5010.840283972677,1.6311329049390224,carbon1,3072
5,15360,18432,575613,578685,3072,4464.86100430548,1.4534052748390234,carbon1,3072
6,18432,21504,578685,581757,3072,5418.1990577990655,1.7637366724606334,carbon1,3072
7,21504,24576,581757,584829,3072,5927.879379183054,1.9296482354111504,carbon1,3072
8,24576,27648,584829,587901,3072,5609.928638129495,1.826148645224445,carbon1,3072
9,27648,30720,587901,590973,3072,5507.171436207835,1.7926990352239045,carbon1,3072
10,30720,33792,590973,594045,3072,5378.796004175674,1.750910157609269,carbon1,3072
11,33792,36864,594045,597117,3072,5897.674817234278,1.9198160212351165,carbon1,3072
12,36864,39936,597117,600189,3072,5508.324646522058,1.7930744292063991,carbon1,3072
13,39936,43008,600189,603261,3072,5818.945274095982,1.894187914744786,carbon1,3072
14,43008,46080,603261,606333,3072,5498.868059622997,1.7899961131585276,carbon1,3072
15,46080,49152,606333,609405,3072,5701.4115031079855,1.855928223667964,carbon1,3072
16,49152,52224,609405,612477,848,1577.4335048068315,1.8601810198193767,carbon1,3072
