window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,532343,535415,3072,5111.942781448364,1.6640438741693895,megabyte1,3072
1,3072,6144,535415,538487,3072,5485.76254940033,1.7857299965495865,megabyte1,3072
2,6144,9216,538487,541559,3072,5599.997463226318,1.8229158408939838,megabyte1,3072
3,9216,12288,541559,544631,3072,5462.368191719055,1.77811464574188,megabyte1,3072
4,12288,15360,544631,547703,3072,4820.92152929306,1.5693103936500847,megabyte1,3072
5,15360,18432,547703,550775,3072,5718.5035400390625,1.8614920377731323,megabyte1,3072
6,18432,21504,550775,553847,3072,5707.821960449219,1.85801496108373,megabyte1,3072
7,21504,24576,553847,556919,3072,5560.248870849609,1.8099768459796906,megabyte1,3072
8,24576,27648,556919,559991,3072,5352.785455226898,1.742443182040006,megabyte1,3072
9,27648,30720,559991,563063,3072,5411.359191894531,1.761510153611501,megabyte1,3072
10,30720,33792,563063,566135,3072,5398.809237480164,1.7574248819922407,megabyte1,3072
11,33792,36864,566135,569207,3072,5060.744840621948,1.6473778778066237,megabyte1,3072
12,36864,39936,569207,572279,3072,5575.628885269165,1.814983361090223,megabyte1,3072
13,39936,43008,572279,575351,3072,5762.558490753174,1.8758328420420487,megabyte1,3072
14,43008,46080,575351,578423,3072,4507.841744422913,1.4673964011793335,megabyte1,3072
15,46080,49152,578423,581495,3072,5354.973960876465,1.7431555862228076,megabyte1,3072
16,49152,52224,581495,584567,848,1568.08984375,1.8491625515919812,megabyte1,3072
0,0,3072,532343,535415,3072,5835.90966796875,1.8997101783752441,geco22,3072
1,3072,6144,535415,538487,3072,5863.02490234375,1.9085367520650227,geco22,3072
2,6144,9216,538487,541559,3072,5858.5537109375,1.9070812861124675,geco22,3072
3,9216,12288,541559,544631,3072,5996.88623046875,1.9521114031473796,geco22,3072
4,12288,15360,544631,547703,3072,5881.84130859375,1.9146618843078613,geco22,3072
5,15360,18432,547703,550775,3072,5924.66162109375,1.928600788116455,geco22,3072
6,18432,21504,550775,553847,3072,5908.44873046875,1.923323154449463,geco22,3072
7,21504,24576,553847,556919,3072,5842.95849609375,1.9020047187805176,geco22,3072
8,24576,27648,556919,559991,3072,5893.59521484375,1.9184880256652832,geco22,3072
9,27648,30720,559991,563063,3072,5920.7138671875,1.9273157119750977,geco22,3072
10,30720,33792,563063,566135,3072,5903.6923828125,1.9217748641967773,geco22,3072
11,33792,36864,566135,569207,3072,5860.94775390625,1.9078605969746907,geco22,3072
12,36864,39936,569207,572279,3072,6000.85693359375,1.9534039497375488,geco22,3072
13,39936,43008,572279,575351,3072,5984.591796875,1.9481093088785808,geco22,3072
14,43008,46080,575351,578423,3072,5916.7857666015625,1.926037033398946,geco22,3072
15,46080,49152,578423,581495,3072,5982.60693359375,1.9474631945292156,geco22,3072
16,49152,52224,581495,584567,848,1663.322265625,1.9614649358785377,geco22,3072
