window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.137107000,1.861397485,1.842624505,1.861569444
1,0.140179000,1.541737095,1.761281004,1.572865528
2,0.143251000,1.874584754,1.837756475,1.861945848
3,0.146323000,1.857045889,1.821253181,1.857011239
4,0.149395000,1.979081074,1.852472801,1.254555841
5,0.152467000,1.960172574,1.829462236,1.608432631
6,0.155539000,1.903207064,1.836420139,1.914249261
7,0.158611000,1.906806946,1.852512757,1.902359009
8,0.161683000,1.903451125,1.908181111,1.900109172
9,0.164755000,1.876102845,1.815556248,1.865325967
10,0.167827000,1.903507749,1.833781302,1.891090433
11,0.170899000,1.833103816,1.765902281,1.842131774
12,0.173971000,1.899220228,1.801109652,1.893730044
13,0.177043000,1.816181342,1.772132417,1.833057006
14,0.180115000,1.875075857,1.827572485,1.876118263
15,0.183187000,1.942301055,1.921583434,1.928980480
16,0.186259000,1.917082588,1.913428903,1.869178762
17,0.189331000,1.871034702,1.802073638,1.864516695
18,0.192403000,1.869191011,1.790684104,1.866666079
19,0.195475000,1.921348492,1.846095761,1.917806109
20,0.198547000,1.854676108,1.835745494,1.841473798
21,0.201619000,1.828629017,1.762465715,1.833103498
22,0.204691000,1.896327714,1.861913030,1.853019357
23,0.207763000,1.878431360,1.794121861,1.873992165
24,0.210835000,1.907401959,1.855834683,1.902151942
25,0.213907000,1.883293907,1.866972148,1.880161365
26,0.216979000,1.931497971,1.872059464,1.172739600
27,0.220051000,1.919578075,1.876117210,1.896286726
28,0.223123000,1.903142989,1.837247491,1.904376010
29,0.226195000,1.948516210,1.864613136,1.936002970
30,0.229267000,1.954586903,1.919306954,1.964117328
31,0.232339000,1.890387774,1.861224552,1.881939014
32,0.235411000,1.877574444,1.877656857,1.880027135
33,0.238483000,1.935501019,1.796814005,1.898791114
34,0.241555000,1.878419956,1.826849302,1.873519560
35,0.244627000,1.841825883,1.800640821,1.818158766
36,0.247699000,1.852192839,1.835141520,1.855037212
37,0.250771000,1.799913009,1.764283856,1.816006184
38,0.253843000,1.839244525,1.782017430,1.841364622
39,0.256915000,1.914873679,1.867543419,1.900296768
40,0.259987000,1.924082677,1.890030622,1.917637030
41,0.263059000,1.923246861,1.883652409,1.912978371
42,0.266131000,1.898915847,1.814545095,1.904475451
43,0.269203000,1.652087778,1.869435708,1.631076269
44,0.272275000,1.860640287,1.788813512,1.860406637
45,0.275347000,1.902481675,1.842462222,1.899860303
46,0.278419000,1.921797156,1.893170436,1.912997564
47,0.281491000,1.940811793,1.895620624,1.931811094
48,0.284563000,1.931460063,1.905032635,1.929938475
49,0.287635000,1.857577562,1.812687794,1.861903210
50,0.290707000,1.916574379,1.892603149,1.909881473
51,0.293779000,1.916336854,1.882829547,1.908889194
52,0.296851000,1.933262189,1.902261257,1.924885273
53,0.299923000,1.891712189,1.832914790,1.885817687
54,0.302995000,1.919862032,1.869707843,1.912690798
55,0.306067000,1.943814953,1.917508274,1.926935911
56,0.309139000,1.513805757,1.888495088,1.509050588
57,0.312211000,1.949342330,1.913271030,1.937946479
58,0.315283000,1.910041809,1.904799938,1.914106766
59,0.318355000,1.910618703,1.866135955,1.864356041
60,0.321427000,1.905021548,1.858380377,1.906266948
61,0.324499000,1.904404402,1.860203187,1.913350026
62,0.327571000,1.922972202,1.905217767,1.918498278
