window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1864575.6141386032,1.8645756141386032,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1861217.9052228928,1.8612179052228928,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1840419.5575727224,1.8404195575727225,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1865181.7987036705,1.8651817987036705,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1883665.6188807487,1.8836656188807488,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1903241.8054785728,1.903241805478573,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1890719.8554954529,1.890719855495453,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1892077.1677780151,1.892077167778015,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1892286.5072488785,1.8922865072488784,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1890549.952943027,1.890549952943027,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1886965.8626904488,1.8869658626904489,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1879794.206391096,1.8797942063910962,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1902991.3727235794,1.9029913727235794,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1908400.5717782974,1.9084005717782975,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1902851.5880348682,1.9028515880348682,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1879786.8478164673,1.8797868478164672,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1884804.5159692764,1.8848045159692763,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1888381.7570290565,1.8883817570290566,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1882508.355723381,1.882508355723381,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1882133.0297727585,1.8821330297727585,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1890380.3171679974,1.8903803171679974,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1884900.4484865665,1.8849004484865666,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1885705.6994976997,1.8857056994976997,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1882835.209207058,1.882835209207058,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1864867.5902463794,1.8648675902463794,megabyte1,1000000
25,25000000,26000000,25000000,26000000,1000000,1874402.2087540627,1.8744022087540626,megabyte1,1000000
26,26000000,27000000,26000000,27000000,1000000,1891224.8485081792,1.8912248485081793,megabyte1,1000000
27,27000000,28000000,27000000,28000000,1000000,1889766.7260770798,1.8897667260770799,megabyte1,1000000
28,28000000,29000000,28000000,29000000,1000000,1889554.2677183151,1.889554267718315,megabyte1,1000000
29,29000000,30000000,29000000,30000000,1000000,1888040.6976115704,1.8880406976115705,megabyte1,1000000
30,30000000,31000000,30000000,31000000,1000000,1887620.0675441623,1.8876200675441623,megabyte1,1000000
31,31000000,32000000,31000000,32000000,1000000,1895981.8968772888,1.8959818968772888,megabyte1,1000000
32,32000000,32181429,32000000,32181429,181429,344514.23065042496,1.8988928487200225,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1876050.882408142,1.876050882408142,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1875073.142791748,1.875073142791748,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1867477.4748001099,1.86747747480011,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1874574.2992172241,1.874574299217224,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1905995.741241455,1.905995741241455,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1868751.8012962341,1.868751801296234,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1823754.2157440186,1.8237542157440185,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1878295.8101005554,1.8782958101005554,geco22,1000000
8,8000000,9000000,8000000,9000000,1000000,1902625.6955947876,1.9026256955947876,geco22,1000000
9,9000000,10000000,9000000,10000000,1000000,1883847.0471954346,1.8838470471954345,geco22,1000000
10,10000000,11000000,10000000,11000000,1000000,1883970.3832817078,1.8839703832817078,geco22,1000000
11,11000000,12000000,11000000,12000000,1000000,1872855.5138168335,1.8728555138168335,geco22,1000000
12,12000000,13000000,12000000,13000000,1000000,1739119.6487884521,1.7391196487884522,geco22,1000000
13,13000000,14000000,13000000,14000000,1000000,1606068.991596222,1.6060689915962219,geco22,1000000
14,14000000,15000000,14000000,15000000,1000000,1842326.9695472717,1.8423269695472717,geco22,1000000
15,15000000,16000000,15000000,16000000,1000000,1887888.079170227,1.887888079170227,geco22,1000000
16,16000000,17000000,16000000,17000000,1000000,1895272.8235435486,1.8952728235435485,geco22,1000000
17,17000000,18000000,17000000,18000000,1000000,1878277.6201705933,1.8782776201705933,geco22,1000000
18,18000000,19000000,18000000,19000000,1000000,1889783.4692764282,1.8897834692764282,geco22,1000000
19,19000000,20000000,19000000,20000000,1000000,1875226.4183940887,1.8752264183940888,geco22,1000000
