window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,16059021,16062093,3072,5834.55167178087,1.8992681223245018,megabyte1,3072
1,3072,6144,16062093,16065165,3072,5849.8341356943965,1.9042428827130198,megabyte1,3072
2,6144,9216,16065165,16068237,3072,5884.913364543076,1.9156619025205324,megabyte1,3072
3,9216,12288,16068237,16071309,3072,5682.903443397058,1.84990346464748,megabyte1,3072
4,12288,15360,16071309,16074381,3072,5781.265182594732,1.8819222599592227,megabyte1,3072
5,15360,18432,16074381,16077453,3072,5836.446274957642,1.899884855129441,megabyte1,3072
6,18432,21504,16077453,16080525,3072,5883.846152431712,1.9153145027446978,megabyte1,3072
7,21504,24576,16080525,16083597,3072,5546.397569162022,1.8054679587115956,megabyte1,3072
8,24576,27648,16083597,16086669,3072,5568.255399691725,1.8125831379204833,megabyte1,3072
9,27648,30720,16086669,16089741,3072,5913.155271645099,1.9248552316553056,megabyte1,3072
10,30720,33792,16089741,16092813,3072,5726.829447996775,1.8642022942697836,megabyte1,3072
11,33792,36864,16092813,16095885,3072,5683.405116955,1.8500667698421225,megabyte1,3072
12,36864,39936,16095885,16098957,3072,6038.460169565866,1.9656445864472218,megabyte1,3072
13,39936,43008,16098957,16102029,3072,5787.715887764658,1.8840220988817247,megabyte1,3072
14,43008,46080,16102029,16105101,3072,5966.229850609833,1.9421321128287217,megabyte1,3072
15,46080,49152,16105101,16108173,3072,5502.477404832745,1.7911710302189927,megabyte1,3072
16,49152,52224,16108173,16111245,846,1592.2266467191962,1.8820645942307284,megabyte1,3072
0,0,3072,16059021,16062093,3072,6012.655,1.9572444661458333,geco22,3072
1,3072,6144,16062093,16065165,3072,6052.14,1.97009765625,geco22,3072
2,6144,9216,16065165,16068237,3072,6030.252,1.96297265625,geco22,3072
3,9216,12288,16068237,16071309,3072,5864.552,1.9090338541666665,geco22,3072
4,12288,15360,16071309,16074381,3072,5791.877,1.8853766276041668,geco22,3072
5,15360,18432,16074381,16077453,3072,6005.72,1.9549869791666667,geco22,3072
6,18432,21504,16077453,16080525,3072,5603.52,1.8240625000000001,geco22,3072
7,21504,24576,16080525,16083597,3072,5959.1939999999995,1.939841796875,geco22,3072
8,24576,27648,16083597,16086669,3072,6004.599,1.9546220703125001,geco22,3072
9,27648,30720,16086669,16089741,3072,6149.338,2.0017376302083334,geco22,3072
10,30720,33792,16089741,16092813,3072,5756.701,1.8739261067708333,geco22,3072
11,33792,36864,16092813,16095885,3072,5705.957899999999,1.8574081705729164,geco22,3072
12,36864,39936,16095885,16098957,3072,6111.593000000001,1.989450846354167,geco22,3072
13,39936,43008,16098957,16102029,3072,5973.3398,1.9444465494791665,geco22,3072
14,43008,46080,16102029,16105101,3072,6110.26,1.9890169270833333,geco22,3072
15,46080,49152,16105101,16108173,3072,6108.184,1.9883411458333333,geco22,3072
16,49152,52224,16108173,16111245,848,1630.443,1.922692216981132,geco22,3072
